result/ibis_api_cache.0.oracleGeneral.sample10.zst TwoQ cache size    86074, 314957022 req, miss ratio 0.0715, byte miss ratio 0.0715
result/ibis_api_cache.0.oracleGeneral.sample10.zst TwoQ cache size   258224, 314957022 req, miss ratio 0.0564, byte miss ratio 0.0564
result/ibis_api_cache.0.oracleGeneral.sample10.zst TwoQ cache size   860747, 314957022 req, miss ratio 0.0393, byte miss ratio 0.0393
result/ibis_api_cache.0.oracleGeneral.sample10.zst TwoQ cache size  1721495, 314957022 req, miss ratio 0.0332, byte miss ratio 0.0332
result/ibis_api_cache.0.oracleGeneral.sample10.zst TwoQ cache size  3442991, 314957022 req, miss ratio 0.0314, byte miss ratio 0.0314
result/ibis_api_cache.0.oracleGeneral.sample10.zst TwoQ cache size  6885982, 314957022 req, miss ratio 0.0296, byte miss ratio 0.0296
result/ibis_api_cache.0.oracleGeneral.sample10.zst B-LRU cache size     8607, 314957022 req, miss ratio 0.1100, byte miss ratio 0.1100
result/ibis_api_cache.0.oracleGeneral.sample10.zst B-LRU cache size    25822, 314957022 req, miss ratio 0.0923, byte miss ratio 0.0923
result/ibis_api_cache.0.oracleGeneral.sample10.zst B-LRU cache size    86074, 314957022 req, miss ratio 0.0794, byte miss ratio 0.0794
result/ibis_api_cache.0.oracleGeneral.sample10.zst B-LRU cache size   258224, 314957022 req, miss ratio 0.0656, byte miss ratio 0.0656
result/ibis_api_cache.0.oracleGeneral.sample10.zst B-LRU cache size   860747, 314957022 req, miss ratio 0.0439, byte miss ratio 0.0439
result/ibis_api_cache.0.oracleGeneral.sample10.zst B-LRU cache size  1721495, 314957022 req, miss ratio 0.0346, byte miss ratio 0.0346
result/ibis_api_cache.0.oracleGeneral.sample10.zst B-LRU cache size  3442991, 314957022 req, miss ratio 0.0342, byte miss ratio 0.0342
result/ibis_api_cache.0.oracleGeneral.sample10.zst B-LRU cache size  6885982, 314957022 req, miss ratio 0.0342, byte miss ratio 0.0342
result/ibis_api_cache.0.oracleGeneral.sample10.zst S3FIFO cache size     8607, 314957022 req, miss ratio 0.1022, byte miss ratio 0.1022
result/ibis_api_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    25822, 314957022 req, miss ratio 0.0850, byte miss ratio 0.0850
result/ibis_api_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    86074, 314957022 req, miss ratio 0.0695, byte miss ratio 0.0695
result/ibis_api_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   258224, 314957022 req, miss ratio 0.0550, byte miss ratio 0.0550
result/ibis_api_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   860747, 314957022 req, miss ratio 0.0364, byte miss ratio 0.0364
result/ibis_api_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  1721495, 314957022 req, miss ratio 0.0298, byte miss ratio 0.0298
result/ibis_api_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  3442991, 314957022 req, miss ratio 0.0280, byte miss ratio 0.0280
result/ibis_api_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  6885982, 314957022 req, miss ratio 0.0274, byte miss ratio 0.0274
result/ibis_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size     8607, 314957022 req, miss ratio 0.1019, byte miss ratio 0.1019
result/ibis_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    25822, 314957022 req, miss ratio 0.0847, byte miss ratio 0.0847
result/ibis_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    86074, 314957022 req, miss ratio 0.0695, byte miss ratio 0.0695
result/ibis_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   258224, 314957022 req, miss ratio 0.0549, byte miss ratio 0.0549
result/ibis_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   860747, 314957022 req, miss ratio 0.0354, byte miss ratio 0.0354
result/ibis_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  1721495, 314957022 req, miss ratio 0.0297, byte miss ratio 0.0297
result/ibis_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  3442991, 314957022 req, miss ratio 0.0280, byte miss ratio 0.0280
result/ibis_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  6885982, 314957022 req, miss ratio 0.0274, byte miss ratio 0.0274
result/ibis_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     8607, 314957022 req, miss ratio 0.1249, byte miss ratio 0.1249
result/ibis_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    25822, 314957022 req, miss ratio 0.1009, byte miss ratio 0.1009
result/ibis_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    86074, 314957022 req, miss ratio 0.0771, byte miss ratio 0.0771
result/ibis_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   258224, 314957022 req, miss ratio 0.0570, byte miss ratio 0.0570
result/ibis_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   860747, 314957022 req, miss ratio 0.0372, byte miss ratio 0.0372
result/ibis_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1721495, 314957022 req, miss ratio 0.0312, byte miss ratio 0.0312
result/ibis_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  3442991, 314957022 req, miss ratio 0.0292, byte miss ratio 0.0292
result/ibis_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  6885982, 314957022 req, miss ratio 0.0279, byte miss ratio 0.0279
result/ibis_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     8607, 314957022 req, miss ratio 0.1172, byte miss ratio 0.1172
result/ibis_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    25822, 314957022 req, miss ratio 0.1029, byte miss ratio 0.1029
result/ibis_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    86074, 314957022 req, miss ratio 0.0722, byte miss ratio 0.0722
result/ibis_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   258224, 314957022 req, miss ratio 0.0559, byte miss ratio 0.0559
result/ibis_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   860747, 314957022 req, miss ratio 0.0378, byte miss ratio 0.0378
result/ibis_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1721495, 314957022 req, miss ratio 0.0318, byte miss ratio 0.0318
result/ibis_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  3442991, 314957022 req, miss ratio 0.0301, byte miss ratio 0.0301
result/ibis_api_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  6885982, 314957022 req, miss ratio 0.0289, byte miss ratio 0.0289
