result/tencentBlock.ns2009.oracleGeneral.zst B-LRU cache size     2252, 18918362 req, miss ratio 0.9373, byte miss ratio 0.9373
result/tencentBlock.ns2009.oracleGeneral.zst B-LRU cache size     6758, 18918362 req, miss ratio 0.9319, byte miss ratio 0.9319
result/tencentBlock.ns2009.oracleGeneral.zst B-LRU cache size    22528, 18918362 req, miss ratio 0.9087, byte miss ratio 0.9087
result/tencentBlock.ns2009.oracleGeneral.zst B-LRU cache size    67584, 18918362 req, miss ratio 0.8751, byte miss ratio 0.8751
result/tencentBlock.ns2009.oracleGeneral.zst B-LRU cache size   225282, 18918362 req, miss ratio 0.8345, byte miss ratio 0.8345
result/tencentBlock.ns2009.oracleGeneral.zst B-LRU cache size   450564, 18918362 req, miss ratio 0.8202, byte miss ratio 0.8202
result/tencentBlock.ns2009.oracleGeneral.zst B-LRU cache size   901128, 18918362 req, miss ratio 0.8147, byte miss ratio 0.8147
result/tencentBlock.ns2009.oracleGeneral.zst B-LRU cache size  1802257, 18918362 req, miss ratio 0.2147, byte miss ratio 0.2147
result/tencentBlock.ns2009.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2252, 18918362 req, miss ratio 0.9230, byte miss ratio 0.9230
result/tencentBlock.ns2009.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6758, 18918362 req, miss ratio 0.9204, byte miss ratio 0.9204
result/tencentBlock.ns2009.oracleGeneral.zst S4LRU(25:25:25:25) cache size    22528, 18918362 req, miss ratio 0.9127, byte miss ratio 0.9127
result/tencentBlock.ns2009.oracleGeneral.zst S4LRU(25:25:25:25) cache size    67584, 18918362 req, miss ratio 0.8480, byte miss ratio 0.8480
result/tencentBlock.ns2009.oracleGeneral.zst S4LRU(25:25:25:25) cache size   225282, 18918362 req, miss ratio 0.7531, byte miss ratio 0.7531
result/tencentBlock.ns2009.oracleGeneral.zst S4LRU(25:25:25:25) cache size   450564, 18918362 req, miss ratio 0.6716, byte miss ratio 0.6716
result/tencentBlock.ns2009.oracleGeneral.zst S4LRU(25:25:25:25) cache size   901128, 18918362 req, miss ratio 0.5149, byte miss ratio 0.5149
result/tencentBlock.ns2009.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1802257, 18918362 req, miss ratio 0.2729, byte miss ratio 0.2729
result/tencentBlock.ns2009.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2252, 18918362 req, miss ratio 0.9242, byte miss ratio 0.9242
result/tencentBlock.ns2009.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6758, 18918362 req, miss ratio 0.9194, byte miss ratio 0.9194
result/tencentBlock.ns2009.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    22528, 18918362 req, miss ratio 0.9060, byte miss ratio 0.9060
result/tencentBlock.ns2009.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    67584, 18918362 req, miss ratio 0.8781, byte miss ratio 0.8781
result/tencentBlock.ns2009.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   225282, 18918362 req, miss ratio 0.8305, byte miss ratio 0.8305
result/tencentBlock.ns2009.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   450564, 18918362 req, miss ratio 0.7659, byte miss ratio 0.7659
result/tencentBlock.ns2009.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   901128, 18918362 req, miss ratio 0.5876, byte miss ratio 0.5876
result/tencentBlock.ns2009.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1802257, 18918362 req, miss ratio 0.2189, byte miss ratio 0.2189
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO cache size     2252, 18918362 req, miss ratio 0.9225, byte miss ratio 0.9225
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO cache size     6758, 18918362 req, miss ratio 0.9172, byte miss ratio 0.9172
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO cache size    22528, 18918362 req, miss ratio 0.8713, byte miss ratio 0.8713
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO cache size    67584, 18918362 req, miss ratio 0.7964, byte miss ratio 0.7964
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO cache size   225282, 18918362 req, miss ratio 0.7865, byte miss ratio 0.7865
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO cache size   450564, 18918362 req, miss ratio 0.7824, byte miss ratio 0.7824
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO cache size   901128, 18918362 req, miss ratio 0.5958, byte miss ratio 0.5958
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO cache size  1802257, 18918362 req, miss ratio 0.1194, byte miss ratio 0.1194
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO-d cache size     2252, 18918362 req, miss ratio 0.9215, byte miss ratio 0.9215
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO-d cache size     6758, 18918362 req, miss ratio 0.9170, byte miss ratio 0.9170
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO-d cache size    22528, 18918362 req, miss ratio 0.8712, byte miss ratio 0.8712
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO-d cache size    67584, 18918362 req, miss ratio 0.7965, byte miss ratio 0.7965
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO-d cache size   225282, 18918362 req, miss ratio 0.7865, byte miss ratio 0.7865
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO-d cache size   450564, 18918362 req, miss ratio 0.7824, byte miss ratio 0.7824
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO-d cache size   901128, 18918362 req, miss ratio 0.6531, byte miss ratio 0.6531
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO-d cache size  1802257, 18918362 req, miss ratio 0.1194, byte miss ratio 0.1194
result/tencentBlock.ns2009.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2252, 18918362 req, miss ratio 0.9596, byte miss ratio 0.9596
result/tencentBlock.ns2009.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6758, 18918362 req, miss ratio 0.9210, byte miss ratio 0.9210
