result/tencentBlock.ns11753.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    21808, 1573928 req, miss ratio 0.0715, byte miss ratio 0.0715
result/tencentBlock.ns11753.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    43616, 1573928 req, miss ratio 0.0419, byte miss ratio 0.0419
result/tencentBlock.ns11753.oracleGeneral.zst S4LRU(25:25:25:25) cache size       54, 1573928 req, miss ratio 0.2870, byte miss ratio 0.2870
result/tencentBlock.ns11753.oracleGeneral.zst S4LRU(25:25:25:25) cache size      163, 1573928 req, miss ratio 0.1590, byte miss ratio 0.1590
result/tencentBlock.ns11753.oracleGeneral.zst S4LRU(25:25:25:25) cache size      545, 1573928 req, miss ratio 0.1330, byte miss ratio 0.1330
result/tencentBlock.ns11753.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1635, 1573928 req, miss ratio 0.1183, byte miss ratio 0.1183
result/tencentBlock.ns11753.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5452, 1573928 req, miss ratio 0.0993, byte miss ratio 0.0993
result/tencentBlock.ns11753.oracleGeneral.zst S4LRU(25:25:25:25) cache size    10904, 1573928 req, miss ratio 0.0900, byte miss ratio 0.0900
result/tencentBlock.ns11753.oracleGeneral.zst S4LRU(25:25:25:25) cache size    21808, 1573928 req, miss ratio 0.0643, byte miss ratio 0.0643
result/tencentBlock.ns11753.oracleGeneral.zst S4LRU(25:25:25:25) cache size    43616, 1573928 req, miss ratio 0.0364, byte miss ratio 0.0364
result/tencentBlock.ns11753.oracleGeneral.zst TwoQ cache size       54, 1573928 req, miss ratio 0.2142, byte miss ratio 0.2142
result/tencentBlock.ns11753.oracleGeneral.zst TwoQ cache size      163, 1573928 req, miss ratio 0.1542, byte miss ratio 0.1542
result/tencentBlock.ns11753.oracleGeneral.zst TwoQ cache size      545, 1573928 req, miss ratio 0.1298, byte miss ratio 0.1298
result/tencentBlock.ns11753.oracleGeneral.zst TwoQ cache size     1635, 1573928 req, miss ratio 0.1085, byte miss ratio 0.1085
result/tencentBlock.ns11753.oracleGeneral.zst TwoQ cache size     5452, 1573928 req, miss ratio 0.0931, byte miss ratio 0.0931
result/tencentBlock.ns11753.oracleGeneral.zst TwoQ cache size    10904, 1573928 req, miss ratio 0.0741, byte miss ratio 0.0741
result/tencentBlock.ns11753.oracleGeneral.zst TwoQ cache size    21808, 1573928 req, miss ratio 0.0526, byte miss ratio 0.0526
result/tencentBlock.ns11753.oracleGeneral.zst TwoQ cache size    43616, 1573928 req, miss ratio 0.0408, byte miss ratio 0.0408
result/tencentBlock.ns11753.oracleGeneral.zst S3FIFO-d cache size       54, 1573928 req, miss ratio 0.2813, byte miss ratio 0.2813
