result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO-d cache size     2338, 2193373 req, miss ratio 0.1989, byte miss ratio 0.1989
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO-d cache size     4676, 2193373 req, miss ratio 0.1252, byte miss ratio 0.1252
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO-d cache size     9353, 2193373 req, miss ratio 0.0562, byte miss ratio 0.0562
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO-d cache size    18707, 2193373 req, miss ratio 0.0135, byte miss ratio 0.0135
result/cdn2_allcolo.ns3111.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       23, 2193373 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns3111.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       70, 2193373 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns3111.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      233, 2193373 req, miss ratio 0.4603, byte miss ratio 0.4603
result/cdn2_allcolo.ns3111.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      701, 2193373 req, miss ratio 0.3295, byte miss ratio 0.3295
result/cdn2_allcolo.ns3111.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2338, 2193373 req, miss ratio 0.1919, byte miss ratio 0.1919
result/cdn2_allcolo.ns3111.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4676, 2193373 req, miss ratio 0.1183, byte miss ratio 0.1183
result/cdn2_allcolo.ns3111.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9353, 2193373 req, miss ratio 0.0566, byte miss ratio 0.0566
result/cdn2_allcolo.ns3111.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    18707, 2193373 req, miss ratio 0.0145, byte miss ratio 0.0145
result/cdn2_allcolo.ns3111.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       23, 2193373 req, miss ratio 0.7227, byte miss ratio 0.7227
result/cdn2_allcolo.ns3111.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       70, 2193373 req, miss ratio 0.5880, byte miss ratio 0.5880
result/cdn2_allcolo.ns3111.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      233, 2193373 req, miss ratio 0.4385, byte miss ratio 0.4385
result/cdn2_allcolo.ns3111.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      701, 2193373 req, miss ratio 0.3193, byte miss ratio 0.3193
result/cdn2_allcolo.ns3111.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2338, 2193373 req, miss ratio 0.1940, byte miss ratio 0.1940
result/cdn2_allcolo.ns3111.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4676, 2193373 req, miss ratio 0.1188, byte miss ratio 0.1188
result/cdn2_allcolo.ns3111.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9353, 2193373 req, miss ratio 0.0547, byte miss ratio 0.0547
result/cdn2_allcolo.ns3111.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    18707, 2193373 req, miss ratio 0.0141, byte miss ratio 0.0141
