result/cdn2_colo28.ns290.oracleGeneral.zst TwoQ cache size    60857, 9434426 req, miss ratio 0.7608, byte miss ratio 0.7608
result/cdn2_colo28.ns290.oracleGeneral.zst TwoQ cache size   182572, 9434426 req, miss ratio 0.7395, byte miss ratio 0.7395
result/cdn2_colo28.ns290.oracleGeneral.zst TwoQ cache size   608575, 9434426 req, miss ratio 0.7010, byte miss ratio 0.7010
result/cdn2_colo28.ns290.oracleGeneral.zst TwoQ cache size  1217151, 9434426 req, miss ratio 0.6828, byte miss ratio 0.6828
result/cdn2_colo28.ns290.oracleGeneral.zst TwoQ cache size  2434303, 9434426 req, miss ratio 0.6647, byte miss ratio 0.6647
result/cdn2_colo28.ns290.oracleGeneral.zst TwoQ cache size  4868606, 9434426 req, miss ratio 0.6489, byte miss ratio 0.6489
result/cdn2_colo28.ns290.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6085, 9434426 req, miss ratio 0.8164, byte miss ratio 0.8164
result/cdn2_colo28.ns290.oracleGeneral.zst S4LRU(25:25:25:25) cache size    18257, 9434426 req, miss ratio 0.7918, byte miss ratio 0.7918
result/cdn2_colo28.ns290.oracleGeneral.zst S4LRU(25:25:25:25) cache size    60857, 9434426 req, miss ratio 0.7653, byte miss ratio 0.7653
result/cdn2_colo28.ns290.oracleGeneral.zst S4LRU(25:25:25:25) cache size   182572, 9434426 req, miss ratio 0.7359, byte miss ratio 0.7359
result/cdn2_colo28.ns290.oracleGeneral.zst S4LRU(25:25:25:25) cache size   608575, 9434426 req, miss ratio 0.7052, byte miss ratio 0.7052
result/cdn2_colo28.ns290.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1217151, 9434426 req, miss ratio 0.6843, byte miss ratio 0.6843
result/cdn2_colo28.ns290.oracleGeneral.zst S4LRU(25:25:25:25) cache size  2434303, 9434426 req, miss ratio 0.6593, byte miss ratio 0.6593
result/cdn2_colo28.ns290.oracleGeneral.zst S4LRU(25:25:25:25) cache size  4868606, 9434426 req, miss ratio 0.6457, byte miss ratio 0.6457
result/cdn2_colo28.ns290.oracleGeneral.zst B-LRU cache size     6085, 9434426 req, miss ratio 0.8645, byte miss ratio 0.8645
result/cdn2_colo28.ns290.oracleGeneral.zst B-LRU cache size    18257, 9434426 req, miss ratio 0.8417, byte miss ratio 0.8417
result/cdn2_colo28.ns290.oracleGeneral.zst B-LRU cache size    60857, 9434426 req, miss ratio 0.8155, byte miss ratio 0.8155
result/cdn2_colo28.ns290.oracleGeneral.zst B-LRU cache size   182572, 9434426 req, miss ratio 0.7912, byte miss ratio 0.7912
result/cdn2_colo28.ns290.oracleGeneral.zst B-LRU cache size   608575, 9434426 req, miss ratio 0.7718, byte miss ratio 0.7718
result/cdn2_colo28.ns290.oracleGeneral.zst B-LRU cache size  1217151, 9434426 req, miss ratio 0.7686, byte miss ratio 0.7686
result/cdn2_colo28.ns290.oracleGeneral.zst B-LRU cache size  2434303, 9434426 req, miss ratio 0.7686, byte miss ratio 0.7686
result/cdn2_colo28.ns290.oracleGeneral.zst B-LRU cache size  4868606, 9434426 req, miss ratio 0.7686, byte miss ratio 0.7686
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO cache size     6085, 9434426 req, miss ratio 0.8092, byte miss ratio 0.8092
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO cache size    18257, 9434426 req, miss ratio 0.7849, byte miss ratio 0.7849
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO cache size    60857, 9434426 req, miss ratio 0.7571, byte miss ratio 0.7571
