result/tencentBlock.ns3799.oracleGeneral.zst B-LRU cache size      119, 3402055 req, miss ratio 0.3932, byte miss ratio 0.3932
result/tencentBlock.ns3799.oracleGeneral.zst B-LRU cache size      359, 3402055 req, miss ratio 0.2111, byte miss ratio 0.2111
result/tencentBlock.ns3799.oracleGeneral.zst B-LRU cache size     1199, 3402055 req, miss ratio 0.1804, byte miss ratio 0.1804
result/tencentBlock.ns3799.oracleGeneral.zst B-LRU cache size     3597, 3402055 req, miss ratio 0.1592, byte miss ratio 0.1592
result/tencentBlock.ns3799.oracleGeneral.zst B-LRU cache size    11992, 3402055 req, miss ratio 0.1477, byte miss ratio 0.1477
result/tencentBlock.ns3799.oracleGeneral.zst B-LRU cache size    23985, 3402055 req, miss ratio 0.1389, byte miss ratio 0.1389
result/tencentBlock.ns3799.oracleGeneral.zst B-LRU cache size    47970, 3402055 req, miss ratio 0.0907, byte miss ratio 0.0907
result/tencentBlock.ns3799.oracleGeneral.zst B-LRU cache size    95940, 3402055 req, miss ratio 0.0629, byte miss ratio 0.0629
result/tencentBlock.ns3799.oracleGeneral.zst TwoQ cache size      119, 3402055 req, miss ratio 0.3238, byte miss ratio 0.3238
result/tencentBlock.ns3799.oracleGeneral.zst TwoQ cache size      359, 3402055 req, miss ratio 0.1941, byte miss ratio 0.1941
result/tencentBlock.ns3799.oracleGeneral.zst TwoQ cache size     1199, 3402055 req, miss ratio 0.1642, byte miss ratio 0.1642
result/tencentBlock.ns3799.oracleGeneral.zst TwoQ cache size     3597, 3402055 req, miss ratio 0.1404, byte miss ratio 0.1404
result/tencentBlock.ns3799.oracleGeneral.zst TwoQ cache size    11992, 3402055 req, miss ratio 0.1298, byte miss ratio 0.1298
result/tencentBlock.ns3799.oracleGeneral.zst TwoQ cache size    23985, 3402055 req, miss ratio 0.1234, byte miss ratio 0.1234
result/tencentBlock.ns3799.oracleGeneral.zst TwoQ cache size    47970, 3402055 req, miss ratio 0.0734, byte miss ratio 0.0734
result/tencentBlock.ns3799.oracleGeneral.zst TwoQ cache size    95940, 3402055 req, miss ratio 0.0454, byte miss ratio 0.0454
result/tencentBlock.ns3799.oracleGeneral.zst S4LRU(25:25:25:25) cache size      119, 3402055 req, miss ratio 0.3494, byte miss ratio 0.3494
result/tencentBlock.ns3799.oracleGeneral.zst S4LRU(25:25:25:25) cache size      359, 3402055 req, miss ratio 0.2006, byte miss ratio 0.2006
result/tencentBlock.ns3799.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1199, 3402055 req, miss ratio 0.1663, byte miss ratio 0.1663
result/tencentBlock.ns3799.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3597, 3402055 req, miss ratio 0.1436, byte miss ratio 0.1436
result/tencentBlock.ns3799.oracleGeneral.zst S4LRU(25:25:25:25) cache size    11992, 3402055 req, miss ratio 0.1304, byte miss ratio 0.1304
result/tencentBlock.ns3799.oracleGeneral.zst S4LRU(25:25:25:25) cache size    23985, 3402055 req, miss ratio 0.1176, byte miss ratio 0.1176
result/tencentBlock.ns3799.oracleGeneral.zst S4LRU(25:25:25:25) cache size    47970, 3402055 req, miss ratio 0.0882, byte miss ratio 0.0882
result/tencentBlock.ns3799.oracleGeneral.zst S4LRU(25:25:25:25) cache size    95940, 3402055 req, miss ratio 0.0360, byte miss ratio 0.0360
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO cache size      119, 3402055 req, miss ratio 0.3030, byte miss ratio 0.3030
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO cache size      359, 3402055 req, miss ratio 0.1912, byte miss ratio 0.1912
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO cache size     1199, 3402055 req, miss ratio 0.1627, byte miss ratio 0.1627
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO cache size     3597, 3402055 req, miss ratio 0.1397, byte miss ratio 0.1397
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO cache size    11992, 3402055 req, miss ratio 0.1279, byte miss ratio 0.1279
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO cache size    23985, 3402055 req, miss ratio 0.1128, byte miss ratio 0.1128
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO cache size    47970, 3402055 req, miss ratio 0.0774, byte miss ratio 0.0774
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO cache size    95940, 3402055 req, miss ratio 0.0373, byte miss ratio 0.0373
