result/tencentBlock.ns3162.oracleGeneral.zst S4LRU(25:25:25:25) cache size    18169, 1827413 req, miss ratio 0.1132, byte miss ratio 0.1132
result/tencentBlock.ns3162.oracleGeneral.zst S4LRU(25:25:25:25) cache size    36338, 1827413 req, miss ratio 0.0631, byte miss ratio 0.0631
result/tencentBlock.ns3162.oracleGeneral.zst S4LRU(25:25:25:25) cache size    72677, 1827413 req, miss ratio 0.0501, byte miss ratio 0.0501
result/tencentBlock.ns3162.oracleGeneral.zst TwoQ cache size       90, 1827413 req, miss ratio 0.3264, byte miss ratio 0.3264
result/tencentBlock.ns3162.oracleGeneral.zst TwoQ cache size      272, 1827413 req, miss ratio 0.3047, byte miss ratio 0.3047
result/tencentBlock.ns3162.oracleGeneral.zst TwoQ cache size      908, 1827413 req, miss ratio 0.2744, byte miss ratio 0.2744
result/tencentBlock.ns3162.oracleGeneral.zst TwoQ cache size     2725, 1827413 req, miss ratio 0.1790, byte miss ratio 0.1790
result/tencentBlock.ns3162.oracleGeneral.zst TwoQ cache size     9084, 1827413 req, miss ratio 0.1324, byte miss ratio 0.1324
result/tencentBlock.ns3162.oracleGeneral.zst TwoQ cache size    18169, 1827413 req, miss ratio 0.1013, byte miss ratio 0.1013
result/tencentBlock.ns3162.oracleGeneral.zst TwoQ cache size    36338, 1827413 req, miss ratio 0.0704, byte miss ratio 0.0704
result/tencentBlock.ns3162.oracleGeneral.zst TwoQ cache size    72677, 1827413 req, miss ratio 0.0619, byte miss ratio 0.0619
result/tencentBlock.ns3162.oracleGeneral.zst B-LRU cache size       90, 1827413 req, miss ratio 0.3658, byte miss ratio 0.3658
result/tencentBlock.ns3162.oracleGeneral.zst B-LRU cache size      272, 1827413 req, miss ratio 0.3318, byte miss ratio 0.3318
result/tencentBlock.ns3162.oracleGeneral.zst B-LRU cache size      908, 1827413 req, miss ratio 0.3179, byte miss ratio 0.3179
result/tencentBlock.ns3162.oracleGeneral.zst B-LRU cache size     2725, 1827413 req, miss ratio 0.2220, byte miss ratio 0.2220
result/tencentBlock.ns3162.oracleGeneral.zst B-LRU cache size     9084, 1827413 req, miss ratio 0.1695, byte miss ratio 0.1695
result/tencentBlock.ns3162.oracleGeneral.zst B-LRU cache size    18169, 1827413 req, miss ratio 0.1378, byte miss ratio 0.1378
result/tencentBlock.ns3162.oracleGeneral.zst B-LRU cache size    36338, 1827413 req, miss ratio 0.0851, byte miss ratio 0.0851
result/tencentBlock.ns3162.oracleGeneral.zst B-LRU cache size    72677, 1827413 req, miss ratio 0.0815, byte miss ratio 0.0815
result/tencentBlock.ns3162.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       90, 1827413 req, miss ratio 0.4009, byte miss ratio 0.4009
result/tencentBlock.ns3162.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      272, 1827413 req, miss ratio 0.3160, byte miss ratio 0.3160
result/tencentBlock.ns3162.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      908, 1827413 req, miss ratio 0.2929, byte miss ratio 0.2929
result/tencentBlock.ns3162.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2725, 1827413 req, miss ratio 0.2277, byte miss ratio 0.2277
result/tencentBlock.ns3162.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9084, 1827413 req, miss ratio 0.1634, byte miss ratio 0.1634
result/tencentBlock.ns3162.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    18169, 1827413 req, miss ratio 0.1311, byte miss ratio 0.1311
result/tencentBlock.ns3162.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    36338, 1827413 req, miss ratio 0.0890, byte miss ratio 0.0890
result/tencentBlock.ns3162.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    72677, 1827413 req, miss ratio 0.0601, byte miss ratio 0.0601
result/tencentBlock.ns3162.oracleGeneral.zst S3FIFO-d cache size       90, 1827413 req, miss ratio 0.3237, byte miss ratio 0.3237
result/tencentBlock.ns3162.oracleGeneral.zst S3FIFO-d cache size      272, 1827413 req, miss ratio 0.3042, byte miss ratio 0.3042
result/tencentBlock.ns3162.oracleGeneral.zst S3FIFO-d cache size      908, 1827413 req, miss ratio 0.2805, byte miss ratio 0.2805
result/tencentBlock.ns3162.oracleGeneral.zst S3FIFO-d cache size     2725, 1827413 req, miss ratio 0.1877, byte miss ratio 0.1877
result/tencentBlock.ns3162.oracleGeneral.zst S3FIFO-d cache size     9084, 1827413 req, miss ratio 0.1257, byte miss ratio 0.1257
result/tencentBlock.ns3162.oracleGeneral.zst S3FIFO-d cache size    18169, 1827413 req, miss ratio 0.1058, byte miss ratio 0.1058
result/tencentBlock.ns3162.oracleGeneral.zst S3FIFO-d cache size    36338, 1827413 req, miss ratio 0.0587, byte miss ratio 0.0587
result/tencentBlock.ns3162.oracleGeneral.zst S3FIFO-d cache size    72677, 1827413 req, miss ratio 0.0509, byte miss ratio 0.0509
result/tencentBlock.ns3162.oracleGeneral.zst S3FIFO cache size       90, 1827413 req, miss ratio 0.3277, byte miss ratio 0.3277
result/tencentBlock.ns3162.oracleGeneral.zst S3FIFO cache size      272, 1827413 req, miss ratio 0.3050, byte miss ratio 0.3050
result/tencentBlock.ns3162.oracleGeneral.zst S3FIFO cache size      908, 1827413 req, miss ratio 0.2879, byte miss ratio 0.2879
result/tencentBlock.ns3162.oracleGeneral.zst S3FIFO cache size     2725, 1827413 req, miss ratio 0.1883, byte miss ratio 0.1883
result/tencentBlock.ns3162.oracleGeneral.zst S3FIFO cache size     9084, 1827413 req, miss ratio 0.1258, byte miss ratio 0.1258
result/tencentBlock.ns3162.oracleGeneral.zst S3FIFO cache size    18169, 1827413 req, miss ratio 0.1061, byte miss ratio 0.1061
result/tencentBlock.ns3162.oracleGeneral.zst S3FIFO cache size    36338, 1827413 req, miss ratio 0.0587, byte miss ratio 0.0587
result/tencentBlock.ns3162.oracleGeneral.zst S3FIFO cache size    72677, 1827413 req, miss ratio 0.0509, byte miss ratio 0.0509
result/tencentBlock.ns3162.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       90, 1827413 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns3162.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      272, 1827413 req, miss ratio 0.3852, byte miss ratio 0.3852
result/tencentBlock.ns3162.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      908, 1827413 req, miss ratio 0.2846, byte miss ratio 0.2846
result/tencentBlock.ns3162.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2725, 1827413 req, miss ratio 0.1675, byte miss ratio 0.1675
result/tencentBlock.ns3162.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9084, 1827413 req, miss ratio 0.1204, byte miss ratio 0.1204
result/tencentBlock.ns3162.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    18169, 1827413 req, miss ratio 0.0867, byte miss ratio 0.0867
result/tencentBlock.ns3162.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    36338, 1827413 req, miss ratio 0.0547, byte miss ratio 0.0547
result/tencentBlock.ns3162.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    72677, 1827413 req, miss ratio 0.0523, byte miss ratio 0.0523
result/tencentBlock.ns3162.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       90, 1827413 req, miss ratio 0.3560, byte miss ratio 0.3560
result/tencentBlock.ns3162.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      272, 1827413 req, miss ratio 0.3096, byte miss ratio 0.3096
result/tencentBlock.ns3162.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      908, 1827413 req, miss ratio 0.2574, byte miss ratio 0.2574
result/tencentBlock.ns3162.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2725, 1827413 req, miss ratio 0.1702, byte miss ratio 0.1702
result/tencentBlock.ns3162.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9084, 1827413 req, miss ratio 0.1228, byte miss ratio 0.1228
result/tencentBlock.ns3162.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    18169, 1827413 req, miss ratio 0.0909, byte miss ratio 0.0909
result/tencentBlock.ns3162.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    36338, 1827413 req, miss ratio 0.0576, byte miss ratio 0.0576
result/tencentBlock.ns3162.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    72677, 1827413 req, miss ratio 0.0564, byte miss ratio 0.0564
