result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    67469, 468248714 req, miss ratio 0.2292, byte miss ratio 0.2292
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   202409, 468248714 req, miss ratio 0.1455, byte miss ratio 0.1455
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   674698, 468248714 req, miss ratio 0.0824, byte miss ratio 0.0824
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1349396, 468248714 req, miss ratio 0.0551, byte miss ratio 0.0551
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  2698792, 468248714 req, miss ratio 0.0319, byte miss ratio 0.0319
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  5397585, 468248714 req, miss ratio 0.0179, byte miss ratio 0.0179
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO cache size     6746, 468248714 req, miss ratio 0.4417, byte miss ratio 0.4417
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    20240, 468248714 req, miss ratio 0.3163, byte miss ratio 0.3163
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    67469, 468248714 req, miss ratio 0.2049, byte miss ratio 0.2049
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   202409, 468248714 req, miss ratio 0.1298, byte miss ratio 0.1298
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   674698, 468248714 req, miss ratio 0.0736, byte miss ratio 0.0736
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  1349396, 468248714 req, miss ratio 0.0479, byte miss ratio 0.0479
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  2698792, 468248714 req, miss ratio 0.0267, byte miss ratio 0.0267
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  5397585, 468248714 req, miss ratio 0.0152, byte miss ratio 0.0152
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size     6746, 468248714 req, miss ratio 0.4594, byte miss ratio 0.4594
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    20240, 468248714 req, miss ratio 0.3214, byte miss ratio 0.3214
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    67469, 468248714 req, miss ratio 0.2072, byte miss ratio 0.2072
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   202409, 468248714 req, miss ratio 0.1306, byte miss ratio 0.1306
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   674698, 468248714 req, miss ratio 0.0748, byte miss ratio 0.0748
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  1349396, 468248714 req, miss ratio 0.0490, byte miss ratio 0.0490
