result/io_traces.ns453.oracleGeneral.zst TwoQ cache size     7477, 2600000 req, miss ratio 0.4530, byte miss ratio 0.4530
result/io_traces.ns453.oracleGeneral.zst TwoQ cache size    14954, 2600000 req, miss ratio 0.3426, byte miss ratio 0.3426
result/io_traces.ns453.oracleGeneral.zst TwoQ cache size    29908, 2600000 req, miss ratio 0.1172, byte miss ratio 0.1172
result/io_traces.ns453.oracleGeneral.zst B-LRU cache size       37, 2600000 req, miss ratio 0.9998, byte miss ratio 0.9998
result/io_traces.ns453.oracleGeneral.zst B-LRU cache size      112, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst B-LRU cache size      373, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst B-LRU cache size     1121, 2600000 req, miss ratio 0.9829, byte miss ratio 0.9829
result/io_traces.ns453.oracleGeneral.zst B-LRU cache size     3738, 2600000 req, miss ratio 0.7079, byte miss ratio 0.7079
result/io_traces.ns453.oracleGeneral.zst B-LRU cache size     7477, 2600000 req, miss ratio 0.5173, byte miss ratio 0.5173
result/io_traces.ns453.oracleGeneral.zst B-LRU cache size    14954, 2600000 req, miss ratio 0.3369, byte miss ratio 0.3369
result/io_traces.ns453.oracleGeneral.zst B-LRU cache size    29908, 2600000 req, miss ratio 0.1258, byte miss ratio 0.1258
result/io_traces.ns453.oracleGeneral.zst S3FIFO cache size       37, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst S3FIFO cache size      112, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst S3FIFO cache size      373, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst S3FIFO cache size     1121, 2600000 req, miss ratio 0.8605, byte miss ratio 0.8605
result/io_traces.ns453.oracleGeneral.zst S3FIFO cache size     3738, 2600000 req, miss ratio 0.4928, byte miss ratio 0.4928
result/io_traces.ns453.oracleGeneral.zst S3FIFO cache size     7477, 2600000 req, miss ratio 0.4390, byte miss ratio 0.4390
