result/cdn1_lax.ns93.oracleGeneral.bin.zst TwoQ cache size   301309, 2676544 req, miss ratio 0.5631, byte miss ratio 0.5631
result/cdn1_lax.ns93.oracleGeneral.bin.zst TwoQ cache size   602618, 2676544 req, miss ratio 0.5631, byte miss ratio 0.5631
result/cdn1_lax.ns93.oracleGeneral.bin.zst TwoQ cache size  1205237, 2676544 req, miss ratio 0.5629, byte miss ratio 0.5629
result/cdn1_lax.ns93.oracleGeneral.bin.zst B-LRU cache size     1506, 2676544 req, miss ratio 0.7234, byte miss ratio 0.7234
result/cdn1_lax.ns93.oracleGeneral.bin.zst B-LRU cache size     4519, 2676544 req, miss ratio 0.7107, byte miss ratio 0.7107
result/cdn1_lax.ns93.oracleGeneral.bin.zst B-LRU cache size    15065, 2676544 req, miss ratio 0.6987, byte miss ratio 0.6987
result/cdn1_lax.ns93.oracleGeneral.bin.zst B-LRU cache size    45196, 2676544 req, miss ratio 0.6908, byte miss ratio 0.6908
result/cdn1_lax.ns93.oracleGeneral.bin.zst B-LRU cache size   150654, 2676544 req, miss ratio 0.6905, byte miss ratio 0.6905
result/cdn1_lax.ns93.oracleGeneral.bin.zst B-LRU cache size   301309, 2676544 req, miss ratio 0.6905, byte miss ratio 0.6905
result/cdn1_lax.ns93.oracleGeneral.bin.zst B-LRU cache size   602618, 2676544 req, miss ratio 0.6905, byte miss ratio 0.6905
result/cdn1_lax.ns93.oracleGeneral.bin.zst B-LRU cache size  1205237, 2676544 req, miss ratio 0.6905, byte miss ratio 0.6905
result/cdn1_lax.ns93.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1506, 2676544 req, miss ratio 0.6655, byte miss ratio 0.6655
result/cdn1_lax.ns93.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     4519, 2676544 req, miss ratio 0.6330, byte miss ratio 0.6330
result/cdn1_lax.ns93.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    15065, 2676544 req, miss ratio 0.6032, byte miss ratio 0.6032
result/cdn1_lax.ns93.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    45196, 2676544 req, miss ratio 0.5829, byte miss ratio 0.5829
result/cdn1_lax.ns93.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   150654, 2676544 req, miss ratio 0.5714, byte miss ratio 0.5714
result/cdn1_lax.ns93.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   301309, 2676544 req, miss ratio 0.5644, byte miss ratio 0.5644
result/cdn1_lax.ns93.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   602618, 2676544 req, miss ratio 0.5629, byte miss ratio 0.5629
result/cdn1_lax.ns93.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size  1205237, 2676544 req, miss ratio 0.5629, byte miss ratio 0.5629
result/cdn1_lax.ns93.oracleGeneral.bin.zst S3FIFO-d cache size     1506, 2676544 req, miss ratio 0.6571, byte miss ratio 0.6571
result/cdn1_lax.ns93.oracleGeneral.bin.zst S3FIFO-d cache size     4519, 2676544 req, miss ratio 0.6335, byte miss ratio 0.6335
result/cdn1_lax.ns93.oracleGeneral.bin.zst S3FIFO-d cache size    15065, 2676544 req, miss ratio 0.6089, byte miss ratio 0.6089
result/cdn1_lax.ns93.oracleGeneral.bin.zst S3FIFO-d cache size    45196, 2676544 req, miss ratio 0.5897, byte miss ratio 0.5897
result/cdn1_lax.ns93.oracleGeneral.bin.zst S3FIFO-d cache size   150654, 2676544 req, miss ratio 0.5718, byte miss ratio 0.5718
result/cdn1_lax.ns93.oracleGeneral.bin.zst S3FIFO-d cache size   301309, 2676544 req, miss ratio 0.5630, byte miss ratio 0.5630
result/cdn1_lax.ns93.oracleGeneral.bin.zst S3FIFO-d cache size   602618, 2676544 req, miss ratio 0.5629, byte miss ratio 0.5629
result/cdn1_lax.ns93.oracleGeneral.bin.zst S3FIFO-d cache size  1205237, 2676544 req, miss ratio 0.5629, byte miss ratio 0.5629
result/cdn1_lax.ns93.oracleGeneral.bin.zst S3FIFO cache size     1506, 2676544 req, miss ratio 0.6812, byte miss ratio 0.6812
result/cdn1_lax.ns93.oracleGeneral.bin.zst S3FIFO cache size     4519, 2676544 req, miss ratio 0.6494, byte miss ratio 0.6494
result/cdn1_lax.ns93.oracleGeneral.bin.zst S3FIFO cache size    15065, 2676544 req, miss ratio 0.6132, byte miss ratio 0.6132
result/cdn1_lax.ns93.oracleGeneral.bin.zst S3FIFO cache size    45196, 2676544 req, miss ratio 0.5930, byte miss ratio 0.5930
result/cdn1_lax.ns93.oracleGeneral.bin.zst S3FIFO cache size   150654, 2676544 req, miss ratio 0.5724, byte miss ratio 0.5724
result/cdn1_lax.ns93.oracleGeneral.bin.zst S3FIFO cache size   301309, 2676544 req, miss ratio 0.5630, byte miss ratio 0.5630
result/cdn1_lax.ns93.oracleGeneral.bin.zst S3FIFO cache size   602618, 2676544 req, miss ratio 0.5629, byte miss ratio 0.5629
result/cdn1_lax.ns93.oracleGeneral.bin.zst S3FIFO cache size  1205237, 2676544 req, miss ratio 0.5629, byte miss ratio 0.5629
result/cdn1_lax.ns93.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1506, 2676544 req, miss ratio 0.7479, byte miss ratio 0.7479
result/cdn1_lax.ns93.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     4519, 2676544 req, miss ratio 0.7268, byte miss ratio 0.7268
result/cdn1_lax.ns93.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    15065, 2676544 req, miss ratio 0.7058, byte miss ratio 0.7058
result/cdn1_lax.ns93.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    45196, 2676544 req, miss ratio 0.6704, byte miss ratio 0.6704
result/cdn1_lax.ns93.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   150654, 2676544 req, miss ratio 0.6291, byte miss ratio 0.6291
