result/usr_2.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size   737475, 10570046 req, miss ratio 0.7259, byte miss ratio 0.7259
result/usr_2.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1474951, 10570046 req, miss ratio 0.7258, byte miss ratio 0.7258
result/usr_2.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size  2949902, 10570046 req, miss ratio 0.7110, byte miss ratio 0.7110
result/usr_2.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size  5899805, 10570046 req, miss ratio 0.6997, byte miss ratio 0.6997
result/usr_2.IQI.bin.oracleGeneral.zst TwoQ cache size     7374, 10570046 req, miss ratio 0.8557, byte miss ratio 0.8557
result/usr_2.IQI.bin.oracleGeneral.zst TwoQ cache size    22124, 10570046 req, miss ratio 0.8367, byte miss ratio 0.8367
result/usr_2.IQI.bin.oracleGeneral.zst TwoQ cache size    73747, 10570046 req, miss ratio 0.8181, byte miss ratio 0.8181
result/usr_2.IQI.bin.oracleGeneral.zst TwoQ cache size   221242, 10570046 req, miss ratio 0.7686, byte miss ratio 0.7686
result/usr_2.IQI.bin.oracleGeneral.zst TwoQ cache size   737475, 10570046 req, miss ratio 0.7517, byte miss ratio 0.7517
result/usr_2.IQI.bin.oracleGeneral.zst TwoQ cache size  1474951, 10570046 req, miss ratio 0.7381, byte miss ratio 0.7381
result/usr_2.IQI.bin.oracleGeneral.zst TwoQ cache size  2949902, 10570046 req, miss ratio 0.7240, byte miss ratio 0.7240
result/usr_2.IQI.bin.oracleGeneral.zst TwoQ cache size  5899805, 10570046 req, miss ratio 0.7124, byte miss ratio 0.7124
result/usr_2.IQI.bin.oracleGeneral.zst S3FIFO cache size     7374, 10570046 req, miss ratio 0.8551, byte miss ratio 0.8551
result/usr_2.IQI.bin.oracleGeneral.zst S3FIFO cache size    22124, 10570046 req, miss ratio 0.8350, byte miss ratio 0.8350
result/usr_2.IQI.bin.oracleGeneral.zst S3FIFO cache size    73747, 10570046 req, miss ratio 0.8114, byte miss ratio 0.8114
result/usr_2.IQI.bin.oracleGeneral.zst S3FIFO cache size   221242, 10570046 req, miss ratio 0.7664, byte miss ratio 0.7664
result/usr_2.IQI.bin.oracleGeneral.zst S3FIFO cache size   737475, 10570046 req, miss ratio 0.7409, byte miss ratio 0.7409
result/usr_2.IQI.bin.oracleGeneral.zst S3FIFO cache size  1474951, 10570046 req, miss ratio 0.7286, byte miss ratio 0.7286
result/usr_2.IQI.bin.oracleGeneral.zst S3FIFO cache size  2949902, 10570046 req, miss ratio 0.7193, byte miss ratio 0.7193
result/usr_2.IQI.bin.oracleGeneral.zst S3FIFO cache size  5899805, 10570046 req, miss ratio 0.7006, byte miss ratio 0.7006
result/usr_2.IQI.bin.oracleGeneral.zst S3FIFO-d cache size     7374, 10570046 req, miss ratio 0.8540, byte miss ratio 0.8540
result/usr_2.IQI.bin.oracleGeneral.zst S3FIFO-d cache size    22124, 10570046 req, miss ratio 0.8344, byte miss ratio 0.8344
result/usr_2.IQI.bin.oracleGeneral.zst S3FIFO-d cache size    73747, 10570046 req, miss ratio 0.8114, byte miss ratio 0.8114
result/usr_2.IQI.bin.oracleGeneral.zst S3FIFO-d cache size   221242, 10570046 req, miss ratio 0.7709, byte miss ratio 0.7709
result/usr_2.IQI.bin.oracleGeneral.zst S3FIFO-d cache size   737475, 10570046 req, miss ratio 0.7409, byte miss ratio 0.7409
result/usr_2.IQI.bin.oracleGeneral.zst S3FIFO-d cache size  1474951, 10570046 req, miss ratio 0.7286, byte miss ratio 0.7286
result/usr_2.IQI.bin.oracleGeneral.zst S3FIFO-d cache size  2949902, 10570046 req, miss ratio 0.7193, byte miss ratio 0.7193
result/usr_2.IQI.bin.oracleGeneral.zst S3FIFO-d cache size  5899805, 10570046 req, miss ratio 0.7006, byte miss ratio 0.7006
result/usr_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7374, 10570046 req, miss ratio 0.8607, byte miss ratio 0.8607
result/usr_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    22124, 10570046 req, miss ratio 0.8475, byte miss ratio 0.8475
result/usr_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    73747, 10570046 req, miss ratio 0.8432, byte miss ratio 0.8432
result/usr_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   221242, 10570046 req, miss ratio 0.7672, byte miss ratio 0.7672
result/usr_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   737475, 10570046 req, miss ratio 0.7360, byte miss ratio 0.7360
result/usr_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1474951, 10570046 req, miss ratio 0.7310, byte miss ratio 0.7310
result/usr_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  2949902, 10570046 req, miss ratio 0.7252, byte miss ratio 0.7252
result/usr_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  5899805, 10570046 req, miss ratio 0.7127, byte miss ratio 0.7127
result/usr_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7374, 10570046 req, miss ratio 0.8575, byte miss ratio 0.8575
result/usr_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    22124, 10570046 req, miss ratio 0.8441, byte miss ratio 0.8441
result/usr_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    73747, 10570046 req, miss ratio 0.8281, byte miss ratio 0.8281
result/usr_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   221242, 10570046 req, miss ratio 0.7699, byte miss ratio 0.7699
result/usr_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   737475, 10570046 req, miss ratio 0.7313, byte miss ratio 0.7313
result/usr_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1474951, 10570046 req, miss ratio 0.7219, byte miss ratio 0.7219
result/usr_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  2949902, 10570046 req, miss ratio 0.7126, byte miss ratio 0.7126
result/usr_2.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  5899805, 10570046 req, miss ratio 0.6979, byte miss ratio 0.6979
