result/cdn1_sjc.ns764.oracleGeneral.bin.zst TwoQ cache size   148237, 1232453 req, miss ratio 0.3797, byte miss ratio 0.3797
result/cdn1_sjc.ns764.oracleGeneral.bin.zst TwoQ cache size   296474, 1232453 req, miss ratio 0.3139, byte miss ratio 0.3139
result/cdn1_sjc.ns764.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      370, 1232453 req, miss ratio 0.8407, byte miss ratio 0.8407
result/cdn1_sjc.ns764.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1111, 1232453 req, miss ratio 0.8101, byte miss ratio 0.8101
result/cdn1_sjc.ns764.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     3705, 1232453 req, miss ratio 0.7559, byte miss ratio 0.7559
result/cdn1_sjc.ns764.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    11117, 1232453 req, miss ratio 0.6778, byte miss ratio 0.6778
result/cdn1_sjc.ns764.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    37059, 1232453 req, miss ratio 0.5477, byte miss ratio 0.5477
result/cdn1_sjc.ns764.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    74118, 1232453 req, miss ratio 0.4553, byte miss ratio 0.4553
result/cdn1_sjc.ns764.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   148237, 1232453 req, miss ratio 0.3666, byte miss ratio 0.3666
result/cdn1_sjc.ns764.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   296474, 1232453 req, miss ratio 0.3103, byte miss ratio 0.3103
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      370, 1232453 req, miss ratio 0.8453, byte miss ratio 0.8453
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1111, 1232453 req, miss ratio 0.8122, byte miss ratio 0.8122
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     3705, 1232453 req, miss ratio 0.7586, byte miss ratio 0.7586
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    11117, 1232453 req, miss ratio 0.6738, byte miss ratio 0.6738
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    37059, 1232453 req, miss ratio 0.5313, byte miss ratio 0.5313
