result/cdn2_allcolo.ns2892.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   152978, 4237023 req, miss ratio 0.0515, byte miss ratio 0.0515
result/cdn2_allcolo.ns2892.oracleGeneral.zst S4LRU(25:25:25:25) cache size      191, 4237023 req, miss ratio 0.7875, byte miss ratio 0.7875
result/cdn2_allcolo.ns2892.oracleGeneral.zst S4LRU(25:25:25:25) cache size      573, 4237023 req, miss ratio 0.6732, byte miss ratio 0.6732
result/cdn2_allcolo.ns2892.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1912, 4237023 req, miss ratio 0.5175, byte miss ratio 0.5175
result/cdn2_allcolo.ns2892.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5736, 4237023 req, miss ratio 0.3566, byte miss ratio 0.3566
result/cdn2_allcolo.ns2892.oracleGeneral.zst S4LRU(25:25:25:25) cache size    19122, 4237023 req, miss ratio 0.1864, byte miss ratio 0.1864
result/cdn2_allcolo.ns2892.oracleGeneral.zst S4LRU(25:25:25:25) cache size    38244, 4237023 req, miss ratio 0.1122, byte miss ratio 0.1122
result/cdn2_allcolo.ns2892.oracleGeneral.zst S4LRU(25:25:25:25) cache size    76489, 4237023 req, miss ratio 0.0662, byte miss ratio 0.0662
result/cdn2_allcolo.ns2892.oracleGeneral.zst S4LRU(25:25:25:25) cache size   152978, 4237023 req, miss ratio 0.0465, byte miss ratio 0.0465
result/cdn2_allcolo.ns2892.oracleGeneral.zst S3FIFO cache size      191, 4237023 req, miss ratio 0.7695, byte miss ratio 0.7695
result/cdn2_allcolo.ns2892.oracleGeneral.zst S3FIFO cache size      573, 4237023 req, miss ratio 0.6539, byte miss ratio 0.6539
result/cdn2_allcolo.ns2892.oracleGeneral.zst S3FIFO cache size     1912, 4237023 req, miss ratio 0.5011, byte miss ratio 0.5011
result/cdn2_allcolo.ns2892.oracleGeneral.zst S3FIFO cache size     5736, 4237023 req, miss ratio 0.3455, byte miss ratio 0.3455
result/cdn2_allcolo.ns2892.oracleGeneral.zst S3FIFO cache size    19122, 4237023 req, miss ratio 0.1814, byte miss ratio 0.1814
result/cdn2_allcolo.ns2892.oracleGeneral.zst S3FIFO cache size    38244, 4237023 req, miss ratio 0.1106, byte miss ratio 0.1106
result/cdn2_allcolo.ns2892.oracleGeneral.zst S3FIFO cache size    76489, 4237023 req, miss ratio 0.0667, byte miss ratio 0.0667
result/cdn2_allcolo.ns2892.oracleGeneral.zst S3FIFO cache size   152978, 4237023 req, miss ratio 0.0470, byte miss ratio 0.0470
result/cdn2_allcolo.ns2892.oracleGeneral.zst S3FIFO-d cache size      191, 4237023 req, miss ratio 0.8243, byte miss ratio 0.8243
result/cdn2_allcolo.ns2892.oracleGeneral.zst S3FIFO-d cache size      573, 4237023 req, miss ratio 0.6965, byte miss ratio 0.6965
result/cdn2_allcolo.ns2892.oracleGeneral.zst S3FIFO-d cache size     1912, 4237023 req, miss ratio 0.5318, byte miss ratio 0.5318
result/cdn2_allcolo.ns2892.oracleGeneral.zst S3FIFO-d cache size     5736, 4237023 req, miss ratio 0.3602, byte miss ratio 0.3602
