result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO cache size      948, 5256676 req, miss ratio 0.7661, byte miss ratio 0.7661
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO cache size     2844, 5256676 req, miss ratio 0.7351, byte miss ratio 0.7351
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO cache size     9482, 5256676 req, miss ratio 0.6814, byte miss ratio 0.6814
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO cache size    28447, 5256676 req, miss ratio 0.6161, byte miss ratio 0.6161
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO cache size    94825, 5256676 req, miss ratio 0.4347, byte miss ratio 0.4347
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO cache size   189651, 5256676 req, miss ratio 0.3057, byte miss ratio 0.3057
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO cache size   379302, 5256676 req, miss ratio 0.2182, byte miss ratio 0.2182
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO cache size   758605, 5256676 req, miss ratio 0.1836, byte miss ratio 0.1836
result/fiu_ikki-110108-112108.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      948, 5256676 req, miss ratio 0.7815, byte miss ratio 0.7815
result/fiu_ikki-110108-112108.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2844, 5256676 req, miss ratio 0.7549, byte miss ratio 0.7549
result/fiu_ikki-110108-112108.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9482, 5256676 req, miss ratio 0.7164, byte miss ratio 0.7164
result/fiu_ikki-110108-112108.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    28447, 5256676 req, miss ratio 0.6549, byte miss ratio 0.6549
result/fiu_ikki-110108-112108.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    94825, 5256676 req, miss ratio 0.4849, byte miss ratio 0.4849
result/fiu_ikki-110108-112108.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   189651, 5256676 req, miss ratio 0.3880, byte miss ratio 0.3880
result/fiu_ikki-110108-112108.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   379302, 5256676 req, miss ratio 0.2570, byte miss ratio 0.2570
result/fiu_ikki-110108-112108.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   758605, 5256676 req, miss ratio 0.1890, byte miss ratio 0.1890
result/fiu_ikki-110108-112108.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      948, 5256676 req, miss ratio 0.7829, byte miss ratio 0.7829
result/fiu_ikki-110108-112108.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2844, 5256676 req, miss ratio 0.7801, byte miss ratio 0.7801
result/fiu_ikki-110108-112108.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9482, 5256676 req, miss ratio 0.7150, byte miss ratio 0.7150
result/fiu_ikki-110108-112108.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    28447, 5256676 req, miss ratio 0.6526, byte miss ratio 0.6526
result/fiu_ikki-110108-112108.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    94825, 5256676 req, miss ratio 0.4831, byte miss ratio 0.4831
result/fiu_ikki-110108-112108.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   189651, 5256676 req, miss ratio 0.3233, byte miss ratio 0.3233
result/fiu_ikki-110108-112108.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   379302, 5256676 req, miss ratio 0.2347, byte miss ratio 0.2347
result/fiu_ikki-110108-112108.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   758605, 5256676 req, miss ratio 0.2072, byte miss ratio 0.2072
