result/cdn2_allcolo.ns170.oracleGeneral.zst LRB cache size   789858, 26625142 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns170.oracleGeneral.zst LRB cache size  2632860, 26625142 req, miss ratio 0.9895, byte miss ratio 0.9895
result/cdn2_allcolo.ns170.oracleGeneral.zst LRB cache size  5265721, 26625142 req, miss ratio 0.9891, byte miss ratio 0.9891
result/cdn2_allcolo.ns170.oracleGeneral.zst LRB cache size 10531442, 26625142 req, miss ratio 0.9890, byte miss ratio 0.9890
result/cdn2_allcolo.ns170.oracleGeneral.zst LRB cache size 21062884, 26625142 req, miss ratio 0.9889, byte miss ratio 0.9889
result/cdn2_allcolo.ns170.oracleGeneral.zst TwoQ cache size    26328, 26625142 req, miss ratio 0.9911, byte miss ratio 0.9911
result/cdn2_allcolo.ns170.oracleGeneral.zst TwoQ cache size    78985, 26625142 req, miss ratio 0.9907, byte miss ratio 0.9907
result/cdn2_allcolo.ns170.oracleGeneral.zst TwoQ cache size   263286, 26625142 req, miss ratio 0.9903, byte miss ratio 0.9903
result/cdn2_allcolo.ns170.oracleGeneral.zst TwoQ cache size   789858, 26625142 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns170.oracleGeneral.zst TwoQ cache size  2632860, 26625142 req, miss ratio 0.9895, byte miss ratio 0.9895
result/cdn2_allcolo.ns170.oracleGeneral.zst TwoQ cache size  5265721, 26625142 req, miss ratio 0.9891, byte miss ratio 0.9891
result/cdn2_allcolo.ns170.oracleGeneral.zst TwoQ cache size 10531442, 26625142 req, miss ratio 0.9890, byte miss ratio 0.9890
result/cdn2_allcolo.ns170.oracleGeneral.zst TwoQ cache size 21062884, 26625142 req, miss ratio 0.9889, byte miss ratio 0.9889
result/cdn2_allcolo.ns170.oracleGeneral.zst S4LRU(25:25:25:25) cache size    26328, 26625142 req, miss ratio 0.9916, byte miss ratio 0.9916
result/cdn2_allcolo.ns170.oracleGeneral.zst S4LRU(25:25:25:25) cache size    78985, 26625142 req, miss ratio 0.9912, byte miss ratio 0.9912
result/cdn2_allcolo.ns170.oracleGeneral.zst S4LRU(25:25:25:25) cache size   263286, 26625142 req, miss ratio 0.9907, byte miss ratio 0.9907
result/cdn2_allcolo.ns170.oracleGeneral.zst S4LRU(25:25:25:25) cache size   789858, 26625142 req, miss ratio 0.9903, byte miss ratio 0.9903
result/cdn2_allcolo.ns170.oracleGeneral.zst S4LRU(25:25:25:25) cache size  2632860, 26625142 req, miss ratio 0.9898, byte miss ratio 0.9898
result/cdn2_allcolo.ns170.oracleGeneral.zst S4LRU(25:25:25:25) cache size  5265721, 26625142 req, miss ratio 0.9895, byte miss ratio 0.9895
result/cdn2_allcolo.ns170.oracleGeneral.zst S4LRU(25:25:25:25) cache size 10531442, 26625142 req, miss ratio 0.9892, byte miss ratio 0.9892
result/cdn2_allcolo.ns170.oracleGeneral.zst S4LRU(25:25:25:25) cache size 21062884, 26625142 req, miss ratio 0.9889, byte miss ratio 0.9889
result/cdn2_allcolo.ns170.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    26328, 26625142 req, miss ratio 0.9914, byte miss ratio 0.9914
result/cdn2_allcolo.ns170.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    78985, 26625142 req, miss ratio 0.9909, byte miss ratio 0.9909
result/cdn2_allcolo.ns170.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   263286, 26625142 req, miss ratio 0.9905, byte miss ratio 0.9905
