result/cdn1_nyc.ns113.oracleGeneral.bin.zst LRU cache size    35223, 2066009 req, miss ratio 0.1735, byte miss ratio 0.1735
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LRU cache size    70447, 2066009 req, miss ratio 0.1279, byte miss ratio 0.1279
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LRU cache size   140894, 2066009 req, miss ratio 0.0888, byte miss ratio 0.0888
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LeCaR cache size      176, 2066009 req, miss ratio 0.6399, byte miss ratio 0.6399
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LeCaR cache size      528, 2066009 req, miss ratio 0.4985, byte miss ratio 0.4985
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LeCaR cache size     1761, 2066009 req, miss ratio 0.3772, byte miss ratio 0.3772
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LeCaR cache size     5283, 2066009 req, miss ratio 0.2821, byte miss ratio 0.2821
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LeCaR cache size    17611, 2066009 req, miss ratio 0.2100, byte miss ratio 0.2100
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LeCaR cache size    35223, 2066009 req, miss ratio 0.1677, byte miss ratio 0.1677
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LeCaR cache size    70447, 2066009 req, miss ratio 0.1239, byte miss ratio 0.1239
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LeCaR cache size   140894, 2066009 req, miss ratio 0.0887, byte miss ratio 0.0887
result/cdn1_nyc.ns113.oracleGeneral.bin.zst FIFO cache size      176, 2066009 req, miss ratio 0.7065, byte miss ratio 0.7065
result/cdn1_nyc.ns113.oracleGeneral.bin.zst FIFO cache size      528, 2066009 req, miss ratio 0.5671, byte miss ratio 0.5671
result/cdn1_nyc.ns113.oracleGeneral.bin.zst FIFO cache size     1761, 2066009 req, miss ratio 0.4309, byte miss ratio 0.4309
result/cdn1_nyc.ns113.oracleGeneral.bin.zst FIFO cache size     5283, 2066009 req, miss ratio 0.3255, byte miss ratio 0.3255
result/cdn1_nyc.ns113.oracleGeneral.bin.zst FIFO cache size    17611, 2066009 req, miss ratio 0.2381, byte miss ratio 0.2381
result/cdn1_nyc.ns113.oracleGeneral.bin.zst FIFO cache size    35223, 2066009 req, miss ratio 0.1919, byte miss ratio 0.1919
result/cdn1_nyc.ns113.oracleGeneral.bin.zst FIFO cache size    70447, 2066009 req, miss ratio 0.1424, byte miss ratio 0.1424
result/cdn1_nyc.ns113.oracleGeneral.bin.zst FIFO cache size   140894, 2066009 req, miss ratio 0.0960, byte miss ratio 0.0960
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LHD cache size      176, 2066009 req, miss ratio 0.6290, byte miss ratio 0.6290
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LHD cache size      528, 2066009 req, miss ratio 0.4986, byte miss ratio 0.4986
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LHD cache size     1761, 2066009 req, miss ratio 0.3718, byte miss ratio 0.3718
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LHD cache size     5283, 2066009 req, miss ratio 0.2771, byte miss ratio 0.2771
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LHD cache size    17611, 2066009 req, miss ratio 0.2069, byte miss ratio 0.2069
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LHD cache size    35223, 2066009 req, miss ratio 0.1696, byte miss ratio 0.1696
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LHD cache size    70447, 2066009 req, miss ratio 0.1243, byte miss ratio 0.1243
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LHD cache size   140894, 2066009 req, miss ratio 0.0901, byte miss ratio 0.0901
result/cdn1_nyc.ns113.oracleGeneral.bin.zst Clock cache size      176, 2066009 req, miss ratio 0.6570, byte miss ratio 0.6570
result/cdn1_nyc.ns113.oracleGeneral.bin.zst Clock cache size      528, 2066009 req, miss ratio 0.5056, byte miss ratio 0.5056
result/cdn1_nyc.ns113.oracleGeneral.bin.zst Clock cache size     1761, 2066009 req, miss ratio 0.3837, byte miss ratio 0.3837
result/cdn1_nyc.ns113.oracleGeneral.bin.zst Clock cache size     5283, 2066009 req, miss ratio 0.2873, byte miss ratio 0.2873
result/cdn1_nyc.ns113.oracleGeneral.bin.zst Clock cache size    17611, 2066009 req, miss ratio 0.2130, byte miss ratio 0.2130
result/cdn1_nyc.ns113.oracleGeneral.bin.zst Clock cache size    35223, 2066009 req, miss ratio 0.1720, byte miss ratio 0.1720
result/cdn1_nyc.ns113.oracleGeneral.bin.zst Clock cache size    70447, 2066009 req, miss ratio 0.1254, byte miss ratio 0.1254
result/cdn1_nyc.ns113.oracleGeneral.bin.zst Clock cache size   140894, 2066009 req, miss ratio 0.0879, byte miss ratio 0.0879
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO-d-1 cache size      176, 2066009 req, miss ratio 0.5532, byte miss ratio 0.5532
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO-d-1 cache size      528, 2066009 req, miss ratio 0.4467, byte miss ratio 0.4467
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1761, 2066009 req, miss ratio 0.3390, byte miss ratio 0.3390
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO-d-1 cache size     5283, 2066009 req, miss ratio 0.2625, byte miss ratio 0.2625
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO-d-1 cache size    17611, 2066009 req, miss ratio 0.2003, byte miss ratio 0.2003
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO-d-1 cache size    35223, 2066009 req, miss ratio 0.1620, byte miss ratio 0.1620
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO-d-1 cache size    70447, 2066009 req, miss ratio 0.1194, byte miss ratio 0.1194
