result/tencentBlock.ns15754.oracleGeneral.zst B-LRU cache size      472, 3136254 req, miss ratio 0.4674, byte miss ratio 0.4674
result/tencentBlock.ns15754.oracleGeneral.zst B-LRU cache size     1416, 3136254 req, miss ratio 0.4571, byte miss ratio 0.4571
result/tencentBlock.ns15754.oracleGeneral.zst B-LRU cache size     4720, 3136254 req, miss ratio 0.4514, byte miss ratio 0.4514
result/tencentBlock.ns15754.oracleGeneral.zst B-LRU cache size    14161, 3136254 req, miss ratio 0.4245, byte miss ratio 0.4245
result/tencentBlock.ns15754.oracleGeneral.zst B-LRU cache size    47204, 3136254 req, miss ratio 0.3829, byte miss ratio 0.3829
result/tencentBlock.ns15754.oracleGeneral.zst B-LRU cache size    94409, 3136254 req, miss ratio 0.2915, byte miss ratio 0.2915
result/tencentBlock.ns15754.oracleGeneral.zst B-LRU cache size   188819, 3136254 req, miss ratio 0.2374, byte miss ratio 0.2374
result/tencentBlock.ns15754.oracleGeneral.zst B-LRU cache size   377638, 3136254 req, miss ratio 0.2365, byte miss ratio 0.2365
result/tencentBlock.ns15754.oracleGeneral.zst S4LRU(25:25:25:25) cache size      472, 3136254 req, miss ratio 0.4188, byte miss ratio 0.4188
result/tencentBlock.ns15754.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1416, 3136254 req, miss ratio 0.4109, byte miss ratio 0.4109
result/tencentBlock.ns15754.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4720, 3136254 req, miss ratio 0.4048, byte miss ratio 0.4048
result/tencentBlock.ns15754.oracleGeneral.zst S4LRU(25:25:25:25) cache size    14161, 3136254 req, miss ratio 0.3865, byte miss ratio 0.3865
result/tencentBlock.ns15754.oracleGeneral.zst S4LRU(25:25:25:25) cache size    47204, 3136254 req, miss ratio 0.3507, byte miss ratio 0.3507
result/tencentBlock.ns15754.oracleGeneral.zst S4LRU(25:25:25:25) cache size    94409, 3136254 req, miss ratio 0.2809, byte miss ratio 0.2809
result/tencentBlock.ns15754.oracleGeneral.zst S4LRU(25:25:25:25) cache size   188819, 3136254 req, miss ratio 0.1755, byte miss ratio 0.1755
result/tencentBlock.ns15754.oracleGeneral.zst S4LRU(25:25:25:25) cache size   377638, 3136254 req, miss ratio 0.1509, byte miss ratio 0.1509
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO-d cache size      472, 3136254 req, miss ratio 0.4153, byte miss ratio 0.4153
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO-d cache size     1416, 3136254 req, miss ratio 0.4102, byte miss ratio 0.4102
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO-d cache size     4720, 3136254 req, miss ratio 0.4030, byte miss ratio 0.4030
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO-d cache size    14161, 3136254 req, miss ratio 0.3691, byte miss ratio 0.3691
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO-d cache size    47204, 3136254 req, miss ratio 0.3136, byte miss ratio 0.3136
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO-d cache size    94409, 3136254 req, miss ratio 0.2319, byte miss ratio 0.2319
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO-d cache size   188819, 3136254 req, miss ratio 0.1724, byte miss ratio 0.1724
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO-d cache size   377638, 3136254 req, miss ratio 0.1515, byte miss ratio 0.1515
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO cache size      472, 3136254 req, miss ratio 0.4205, byte miss ratio 0.4205
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO cache size     1416, 3136254 req, miss ratio 0.4113, byte miss ratio 0.4113
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO cache size     4720, 3136254 req, miss ratio 0.4030, byte miss ratio 0.4030
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO cache size    14161, 3136254 req, miss ratio 0.3691, byte miss ratio 0.3691
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO cache size    47204, 3136254 req, miss ratio 0.3136, byte miss ratio 0.3136
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO cache size    94409, 3136254 req, miss ratio 0.2335, byte miss ratio 0.2335
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO cache size   188819, 3136254 req, miss ratio 0.1724, byte miss ratio 0.1724
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO cache size   377638, 3136254 req, miss ratio 0.1515, byte miss ratio 0.1515
result/tencentBlock.ns15754.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      472, 3136254 req, miss ratio 0.5405, byte miss ratio 0.5405
result/tencentBlock.ns15754.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1416, 3136254 req, miss ratio 0.4653, byte miss ratio 0.4653
result/tencentBlock.ns15754.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4720, 3136254 req, miss ratio 0.3983, byte miss ratio 0.3983
result/tencentBlock.ns15754.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    14161, 3136254 req, miss ratio 0.3624, byte miss ratio 0.3624
result/tencentBlock.ns15754.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    47204, 3136254 req, miss ratio 0.2865, byte miss ratio 0.2865
result/tencentBlock.ns15754.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    94409, 3136254 req, miss ratio 0.2165, byte miss ratio 0.2165
result/tencentBlock.ns15754.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   188819, 3136254 req, miss ratio 0.1646, byte miss ratio 0.1646
result/tencentBlock.ns15754.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   377638, 3136254 req, miss ratio 0.1529, byte miss ratio 0.1529
result/tencentBlock.ns15754.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      472, 3136254 req, miss ratio 0.4633, byte miss ratio 0.4633
result/tencentBlock.ns15754.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1416, 3136254 req, miss ratio 0.4063, byte miss ratio 0.4063
result/tencentBlock.ns15754.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4720, 3136254 req, miss ratio 0.3812, byte miss ratio 0.3812
result/tencentBlock.ns15754.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    14161, 3136254 req, miss ratio 0.3588, byte miss ratio 0.3588
result/tencentBlock.ns15754.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    47204, 3136254 req, miss ratio 0.2924, byte miss ratio 0.2924
result/tencentBlock.ns15754.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    94409, 3136254 req, miss ratio 0.2183, byte miss ratio 0.2183
result/tencentBlock.ns15754.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   188819, 3136254 req, miss ratio 0.1726, byte miss ratio 0.1726
result/tencentBlock.ns15754.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   377638, 3136254 req, miss ratio 0.1603, byte miss ratio 0.1603
