result/moments_api_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   228224, 207690332 req, miss ratio 0.0277, byte miss ratio 0.0277
result/moments_api_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   456448, 207690332 req, miss ratio 0.0030, byte miss ratio 0.0030
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO cache size      570, 207690332 req, miss ratio 0.0768, byte miss ratio 0.0768
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     1711, 207690332 req, miss ratio 0.0756, byte miss ratio 0.0756
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     5705, 207690332 req, miss ratio 0.0737, byte miss ratio 0.0737
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    17116, 207690332 req, miss ratio 0.0698, byte miss ratio 0.0698
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    57056, 207690332 req, miss ratio 0.0420, byte miss ratio 0.0420
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   114112, 207690332 req, miss ratio 0.0377, byte miss ratio 0.0377
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   228224, 207690332 req, miss ratio 0.0244, byte miss ratio 0.0244
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   456448, 207690332 req, miss ratio 0.0030, byte miss ratio 0.0030
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size      570, 207690332 req, miss ratio 0.0777, byte miss ratio 0.0777
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     1711, 207690332 req, miss ratio 0.0759, byte miss ratio 0.0759
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     5705, 207690332 req, miss ratio 0.0742, byte miss ratio 0.0742
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    17116, 207690332 req, miss ratio 0.0715, byte miss ratio 0.0715
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    57056, 207690332 req, miss ratio 0.0434, byte miss ratio 0.0434
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   114112, 207690332 req, miss ratio 0.0394, byte miss ratio 0.0394
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   228224, 207690332 req, miss ratio 0.0227, byte miss ratio 0.0227
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   456448, 207690332 req, miss ratio 0.0030, byte miss ratio 0.0030
result/moments_api_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size      570, 207690332 req, miss ratio 0.0778, byte miss ratio 0.0778
result/moments_api_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     1711, 207690332 req, miss ratio 0.0759, byte miss ratio 0.0759
result/moments_api_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     5705, 207690332 req, miss ratio 0.0678, byte miss ratio 0.0678
result/moments_api_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    17116, 207690332 req, miss ratio 0.0538, byte miss ratio 0.0538
result/moments_api_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    57056, 207690332 req, miss ratio 0.0406, byte miss ratio 0.0406
result/moments_api_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   114112, 207690332 req, miss ratio 0.0319, byte miss ratio 0.0319
result/moments_api_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   228224, 207690332 req, miss ratio 0.0159, byte miss ratio 0.0159
result/moments_api_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   456448, 207690332 req, miss ratio 0.0030, byte miss ratio 0.0030
result/moments_api_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size      570, 207690332 req, miss ratio 0.0768, byte miss ratio 0.0768
result/moments_api_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     1711, 207690332 req, miss ratio 0.0738, byte miss ratio 0.0738
result/moments_api_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     5705, 207690332 req, miss ratio 0.0669, byte miss ratio 0.0669
result/moments_api_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    17116, 207690332 req, miss ratio 0.0553, byte miss ratio 0.0553
result/moments_api_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    57056, 207690332 req, miss ratio 0.0406, byte miss ratio 0.0406
result/moments_api_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   114112, 207690332 req, miss ratio 0.0322, byte miss ratio 0.0322
result/moments_api_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   228224, 207690332 req, miss ratio 0.0154, byte miss ratio 0.0154
result/moments_api_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   456448, 207690332 req, miss ratio 0.0031, byte miss ratio 0.0031
