result/cdn2_allcolo.ns769.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   704417, 22909474 req, miss ratio 0.2195, byte miss ratio 0.2195
result/cdn2_allcolo.ns769.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1408835, 22909474 req, miss ratio 0.1801, byte miss ratio 0.1801
result/cdn2_allcolo.ns769.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  2817670, 22909474 req, miss ratio 0.1604, byte miss ratio 0.1604
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO-d cache size     3522, 22909474 req, miss ratio 0.6682, byte miss ratio 0.6682
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO-d cache size    10566, 22909474 req, miss ratio 0.5567, byte miss ratio 0.5567
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO-d cache size    35220, 22909474 req, miss ratio 0.4525, byte miss ratio 0.4525
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO-d cache size   105662, 22909474 req, miss ratio 0.3617, byte miss ratio 0.3617
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO-d cache size   352208, 22909474 req, miss ratio 0.2410, byte miss ratio 0.2410
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO-d cache size   704417, 22909474 req, miss ratio 0.2026, byte miss ratio 0.2026
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO-d cache size  1408835, 22909474 req, miss ratio 0.1773, byte miss ratio 0.1773
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO-d cache size  2817670, 22909474 req, miss ratio 0.1559, byte miss ratio 0.1559
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO cache size     3522, 22909474 req, miss ratio 0.6606, byte miss ratio 0.6606
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO cache size    10566, 22909474 req, miss ratio 0.5530, byte miss ratio 0.5530
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO cache size    35220, 22909474 req, miss ratio 0.4390, byte miss ratio 0.4390
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO cache size   105662, 22909474 req, miss ratio 0.3489, byte miss ratio 0.3489
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO cache size   352208, 22909474 req, miss ratio 0.2386, byte miss ratio 0.2386
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO cache size   704417, 22909474 req, miss ratio 0.2022, byte miss ratio 0.2022
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO cache size  1408835, 22909474 req, miss ratio 0.1773, byte miss ratio 0.1773
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO cache size  2817670, 22909474 req, miss ratio 0.1559, byte miss ratio 0.1559
result/cdn2_allcolo.ns769.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3522, 22909474 req, miss ratio 0.6934, byte miss ratio 0.6934
result/cdn2_allcolo.ns769.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    10566, 22909474 req, miss ratio 0.5851, byte miss ratio 0.5851
result/cdn2_allcolo.ns769.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    35220, 22909474 req, miss ratio 0.4605, byte miss ratio 0.4605
result/cdn2_allcolo.ns769.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   105662, 22909474 req, miss ratio 0.3519, byte miss ratio 0.3519
result/cdn2_allcolo.ns769.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   352208, 22909474 req, miss ratio 0.2539, byte miss ratio 0.2539
result/cdn2_allcolo.ns769.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   704417, 22909474 req, miss ratio 0.2084, byte miss ratio 0.2084
result/cdn2_allcolo.ns769.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1408835, 22909474 req, miss ratio 0.1770, byte miss ratio 0.1770
result/cdn2_allcolo.ns769.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  2817670, 22909474 req, miss ratio 0.1567, byte miss ratio 0.1567
result/cdn2_allcolo.ns769.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3522, 22909474 req, miss ratio 0.6988, byte miss ratio 0.6988
result/cdn2_allcolo.ns769.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    10566, 22909474 req, miss ratio 0.5986, byte miss ratio 0.5986
result/cdn2_allcolo.ns769.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    35220, 22909474 req, miss ratio 0.4550, byte miss ratio 0.4550
result/cdn2_allcolo.ns769.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   105662, 22909474 req, miss ratio 0.3498, byte miss ratio 0.3498
result/cdn2_allcolo.ns769.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   352208, 22909474 req, miss ratio 0.2551, byte miss ratio 0.2551
result/cdn2_allcolo.ns769.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   704417, 22909474 req, miss ratio 0.2102, byte miss ratio 0.2102
result/cdn2_allcolo.ns769.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1408835, 22909474 req, miss ratio 0.1818, byte miss ratio 0.1818
result/cdn2_allcolo.ns769.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  2817670, 22909474 req, miss ratio 0.1610, byte miss ratio 0.1610
