result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    49566, 14409991 req, miss ratio 0.1470, byte miss ratio 0.1470
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   165220, 14409991 req, miss ratio 0.1287, byte miss ratio 0.1287
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   330440, 14409991 req, miss ratio 0.1220, byte miss ratio 0.1220
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   660881, 14409991 req, miss ratio 0.1182, byte miss ratio 0.1182
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1321762, 14409991 req, miss ratio 0.1155, byte miss ratio 0.1155
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst LRB cache size     1652, 14409991 req, miss ratio 0.2403, byte miss ratio 0.2403
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst LRB cache size     4956, 14409991 req, miss ratio 0.2024, byte miss ratio 0.2024
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst LRB cache size    16522, 14409991 req, miss ratio 0.1725, byte miss ratio 0.1725
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst LRB cache size    49566, 14409991 req, miss ratio 0.1532, byte miss ratio 0.1532
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst LRB cache size   165220, 14409991 req, miss ratio 0.1339, byte miss ratio 0.1339
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst LRB cache size   330440, 14409991 req, miss ratio 0.1248, byte miss ratio 0.1248
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst LRB cache size   660881, 14409991 req, miss ratio 0.1179, byte miss ratio 0.1179
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst LRB cache size  1321762, 14409991 req, miss ratio 0.1148, byte miss ratio 0.1148
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst TwoQ cache size     1652, 14409991 req, miss ratio 0.3006, byte miss ratio 0.3006
