result/tencentBlock.ns4145.oracleGeneral.zst S4LRU(25:25:25:25) cache size    17964, 38518283 req, miss ratio 0.3987, byte miss ratio 0.3987
result/tencentBlock.ns4145.oracleGeneral.zst S4LRU(25:25:25:25) cache size    59880, 38518283 req, miss ratio 0.3453, byte miss ratio 0.3453
result/tencentBlock.ns4145.oracleGeneral.zst S4LRU(25:25:25:25) cache size   179641, 38518283 req, miss ratio 0.2164, byte miss ratio 0.2164
result/tencentBlock.ns4145.oracleGeneral.zst S4LRU(25:25:25:25) cache size   598805, 38518283 req, miss ratio 0.1768, byte miss ratio 0.1768
result/tencentBlock.ns4145.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1197611, 38518283 req, miss ratio 0.1653, byte miss ratio 0.1653
result/tencentBlock.ns4145.oracleGeneral.zst S4LRU(25:25:25:25) cache size  2395223, 38518283 req, miss ratio 0.1608, byte miss ratio 0.1608
result/tencentBlock.ns4145.oracleGeneral.zst S4LRU(25:25:25:25) cache size  4790446, 38518283 req, miss ratio 0.1558, byte miss ratio 0.1558
result/tencentBlock.ns4145.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5988, 38518283 req, miss ratio 0.4847, byte miss ratio 0.4847
result/tencentBlock.ns4145.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    17964, 38518283 req, miss ratio 0.4101, byte miss ratio 0.4101
result/tencentBlock.ns4145.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    59880, 38518283 req, miss ratio 0.3415, byte miss ratio 0.3415
result/tencentBlock.ns4145.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   179641, 38518283 req, miss ratio 0.2454, byte miss ratio 0.2454
result/tencentBlock.ns4145.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   598805, 38518283 req, miss ratio 0.1881, byte miss ratio 0.1881
result/tencentBlock.ns4145.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1197611, 38518283 req, miss ratio 0.1702, byte miss ratio 0.1702
result/tencentBlock.ns4145.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  2395223, 38518283 req, miss ratio 0.1611, byte miss ratio 0.1611
result/tencentBlock.ns4145.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  4790446, 38518283 req, miss ratio 0.1574, byte miss ratio 0.1574
result/tencentBlock.ns4145.oracleGeneral.zst B-LRU cache size     5988, 38518283 req, miss ratio 0.4612, byte miss ratio 0.4612
result/tencentBlock.ns4145.oracleGeneral.zst B-LRU cache size    17964, 38518283 req, miss ratio 0.4144, byte miss ratio 0.4144
result/tencentBlock.ns4145.oracleGeneral.zst B-LRU cache size    59880, 38518283 req, miss ratio 0.3090, byte miss ratio 0.3090
result/tencentBlock.ns4145.oracleGeneral.zst B-LRU cache size   179641, 38518283 req, miss ratio 0.2248, byte miss ratio 0.2248
result/tencentBlock.ns4145.oracleGeneral.zst B-LRU cache size   598805, 38518283 req, miss ratio 0.1889, byte miss ratio 0.1889
result/tencentBlock.ns4145.oracleGeneral.zst B-LRU cache size  1197611, 38518283 req, miss ratio 0.1885, byte miss ratio 0.1885
result/tencentBlock.ns4145.oracleGeneral.zst B-LRU cache size  2395223, 38518283 req, miss ratio 0.1885, byte miss ratio 0.1885
result/tencentBlock.ns4145.oracleGeneral.zst B-LRU cache size  4790446, 38518283 req, miss ratio 0.1885, byte miss ratio 0.1885
result/tencentBlock.ns4145.oracleGeneral.zst TwoQ cache size     5988, 38518283 req, miss ratio 0.4152, byte miss ratio 0.4152
result/tencentBlock.ns4145.oracleGeneral.zst TwoQ cache size    17964, 38518283 req, miss ratio 0.3853, byte miss ratio 0.3853
result/tencentBlock.ns4145.oracleGeneral.zst TwoQ cache size    59880, 38518283 req, miss ratio 0.2698, byte miss ratio 0.2698
result/tencentBlock.ns4145.oracleGeneral.zst TwoQ cache size   179641, 38518283 req, miss ratio 0.2005, byte miss ratio 0.2005
result/tencentBlock.ns4145.oracleGeneral.zst TwoQ cache size   598805, 38518283 req, miss ratio 0.1794, byte miss ratio 0.1794
result/tencentBlock.ns4145.oracleGeneral.zst TwoQ cache size  1197611, 38518283 req, miss ratio 0.1671, byte miss ratio 0.1671
result/tencentBlock.ns4145.oracleGeneral.zst TwoQ cache size  2395223, 38518283 req, miss ratio 0.1639, byte miss ratio 0.1639
result/tencentBlock.ns4145.oracleGeneral.zst TwoQ cache size  4790446, 38518283 req, miss ratio 0.1607, byte miss ratio 0.1607
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO cache size     5988, 38518283 req, miss ratio 0.4153, byte miss ratio 0.4153
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO cache size    17964, 38518283 req, miss ratio 0.3838, byte miss ratio 0.3838
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO cache size    59880, 38518283 req, miss ratio 0.2619, byte miss ratio 0.2619
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO cache size   179641, 38518283 req, miss ratio 0.1984, byte miss ratio 0.1984
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO cache size   598805, 38518283 req, miss ratio 0.1704, byte miss ratio 0.1704
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO cache size  1197611, 38518283 req, miss ratio 0.1652, byte miss ratio 0.1652
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO cache size  2395223, 38518283 req, miss ratio 0.1587, byte miss ratio 0.1587
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO cache size  4790446, 38518283 req, miss ratio 0.1559, byte miss ratio 0.1559
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO-d cache size     5988, 38518283 req, miss ratio 0.4139, byte miss ratio 0.4139
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO-d cache size    17964, 38518283 req, miss ratio 0.3821, byte miss ratio 0.3821
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO-d cache size    59880, 38518283 req, miss ratio 0.2617, byte miss ratio 0.2617
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO-d cache size   179641, 38518283 req, miss ratio 0.1977, byte miss ratio 0.1977
