result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO cache size   218279, 13662451 req, miss ratio 0.0869, byte miss ratio 0.0869
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO cache size   436558, 13662451 req, miss ratio 0.0826, byte miss ratio 0.0826
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO cache size   873116, 13662451 req, miss ratio 0.0801, byte miss ratio 0.0801
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO-d cache size     1091, 13662451 req, miss ratio 0.2740, byte miss ratio 0.2740
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO-d cache size     3274, 13662451 req, miss ratio 0.2097, byte miss ratio 0.2097
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO-d cache size    10913, 13662451 req, miss ratio 0.1552, byte miss ratio 0.1552
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO-d cache size    32741, 13662451 req, miss ratio 0.1158, byte miss ratio 0.1158
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO-d cache size   109139, 13662451 req, miss ratio 0.0928, byte miss ratio 0.0928
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO-d cache size   218279, 13662451 req, miss ratio 0.0869, byte miss ratio 0.0869
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO-d cache size   436558, 13662451 req, miss ratio 0.0826, byte miss ratio 0.0826
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO-d cache size   873116, 13662451 req, miss ratio 0.0801, byte miss ratio 0.0801
result/cdn2_allcolo.ns783.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1091, 13662451 req, miss ratio 0.2850, byte miss ratio 0.2850
result/cdn2_allcolo.ns783.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3274, 13662451 req, miss ratio 0.2244, byte miss ratio 0.2244
result/cdn2_allcolo.ns783.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    10913, 13662451 req, miss ratio 0.1660, byte miss ratio 0.1660
