result/io_traces.ns193.oracleGeneral.zst TwoQ cache size    14985, 34400000 req, miss ratio 0.1866, byte miss ratio 0.1866
result/io_traces.ns193.oracleGeneral.zst TwoQ cache size    44957, 34400000 req, miss ratio 0.1462, byte miss ratio 0.1462
result/io_traces.ns193.oracleGeneral.zst TwoQ cache size   149859, 34400000 req, miss ratio 0.0886, byte miss ratio 0.0886
result/io_traces.ns193.oracleGeneral.zst TwoQ cache size   299718, 34400000 req, miss ratio 0.0661, byte miss ratio 0.0661
result/io_traces.ns193.oracleGeneral.zst TwoQ cache size   599436, 34400000 req, miss ratio 0.0539, byte miss ratio 0.0539
result/io_traces.ns193.oracleGeneral.zst TwoQ cache size  1198873, 34400000 req, miss ratio 0.0469, byte miss ratio 0.0469
result/io_traces.ns193.oracleGeneral.zst S3FIFO-d cache size     1498, 34400000 req, miss ratio 0.1964, byte miss ratio 0.1964
result/io_traces.ns193.oracleGeneral.zst S3FIFO-d cache size     4495, 34400000 req, miss ratio 0.1958, byte miss ratio 0.1958
result/io_traces.ns193.oracleGeneral.zst S3FIFO-d cache size    14985, 34400000 req, miss ratio 0.1879, byte miss ratio 0.1879
result/io_traces.ns193.oracleGeneral.zst S3FIFO-d cache size    44957, 34400000 req, miss ratio 0.1505, byte miss ratio 0.1505
result/io_traces.ns193.oracleGeneral.zst S3FIFO-d cache size   149859, 34400000 req, miss ratio 0.0855, byte miss ratio 0.0855
result/io_traces.ns193.oracleGeneral.zst S3FIFO-d cache size   299718, 34400000 req, miss ratio 0.0628, byte miss ratio 0.0628
result/io_traces.ns193.oracleGeneral.zst S3FIFO-d cache size   599436, 34400000 req, miss ratio 0.0546, byte miss ratio 0.0546
result/io_traces.ns193.oracleGeneral.zst S3FIFO-d cache size  1198873, 34400000 req, miss ratio 0.0458, byte miss ratio 0.0458
result/io_traces.ns193.oracleGeneral.zst S3FIFO cache size     1498, 34400000 req, miss ratio 0.1975, byte miss ratio 0.1975
result/io_traces.ns193.oracleGeneral.zst S3FIFO cache size     4495, 34400000 req, miss ratio 0.1958, byte miss ratio 0.1958
result/io_traces.ns193.oracleGeneral.zst S3FIFO cache size    14985, 34400000 req, miss ratio 0.1876, byte miss ratio 0.1876
result/io_traces.ns193.oracleGeneral.zst S3FIFO cache size    44957, 34400000 req, miss ratio 0.1538, byte miss ratio 0.1538
result/io_traces.ns193.oracleGeneral.zst S3FIFO cache size   149859, 34400000 req, miss ratio 0.0983, byte miss ratio 0.0983
result/io_traces.ns193.oracleGeneral.zst S3FIFO cache size   299718, 34400000 req, miss ratio 0.0687, byte miss ratio 0.0687
result/io_traces.ns193.oracleGeneral.zst S3FIFO cache size   599436, 34400000 req, miss ratio 0.0551, byte miss ratio 0.0551
result/io_traces.ns193.oracleGeneral.zst S3FIFO cache size  1198873, 34400000 req, miss ratio 0.0458, byte miss ratio 0.0458
result/io_traces.ns193.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1498, 34400000 req, miss ratio 0.2562, byte miss ratio 0.2562
result/io_traces.ns193.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4495, 34400000 req, miss ratio 0.2058, byte miss ratio 0.2058
result/io_traces.ns193.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    14985, 34400000 req, miss ratio 0.1862, byte miss ratio 0.1862
result/io_traces.ns193.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    44957, 34400000 req, miss ratio 0.1618, byte miss ratio 0.1618
result/io_traces.ns193.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   149859, 34400000 req, miss ratio 0.1300, byte miss ratio 0.1300
result/io_traces.ns193.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   299718, 34400000 req, miss ratio 0.1165, byte miss ratio 0.1165
result/io_traces.ns193.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   599436, 34400000 req, miss ratio 0.0821, byte miss ratio 0.0821
result/io_traces.ns193.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1198873, 34400000 req, miss ratio 0.0536, byte miss ratio 0.0536
result/io_traces.ns193.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1498, 34400000 req, miss ratio 0.1994, byte miss ratio 0.1994
result/io_traces.ns193.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4495, 34400000 req, miss ratio 0.1920, byte miss ratio 0.1920
result/io_traces.ns193.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    14985, 34400000 req, miss ratio 0.1831, byte miss ratio 0.1831
result/io_traces.ns193.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    44957, 34400000 req, miss ratio 0.1636, byte miss ratio 0.1636
result/io_traces.ns193.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   149859, 34400000 req, miss ratio 0.1281, byte miss ratio 0.1281
result/io_traces.ns193.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   299718, 34400000 req, miss ratio 0.0941, byte miss ratio 0.0941
result/io_traces.ns193.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   599436, 34400000 req, miss ratio 0.0655, byte miss ratio 0.0655
result/io_traces.ns193.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1198873, 34400000 req, miss ratio 0.0456, byte miss ratio 0.0456
