result/cdn2_allcolo.ns2923.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      155, 1055551 req, miss ratio 0.1862, byte miss ratio 0.1862
result/cdn2_allcolo.ns2923.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      310, 1055551 req, miss ratio 0.0354, byte miss ratio 0.0354
result/cdn2_allcolo.ns2923.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      621, 1055551 req, miss ratio 0.0063, byte miss ratio 0.0063
result/cdn2_allcolo.ns2923.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1242, 1055551 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns2923.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       15, 1055551 req, miss ratio 0.6254, byte miss ratio 0.6254
result/cdn2_allcolo.ns2923.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       46, 1055551 req, miss ratio 0.4748, byte miss ratio 0.4748
result/cdn2_allcolo.ns2923.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      155, 1055551 req, miss ratio 0.1740, byte miss ratio 0.1740
result/cdn2_allcolo.ns2923.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      310, 1055551 req, miss ratio 0.0398, byte miss ratio 0.0398
result/cdn2_allcolo.ns2923.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      621, 1055551 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_allcolo.ns2923.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1242, 1055551 req, miss ratio 0.0017, byte miss ratio 0.0017
