result/cdn1_lax.ns194.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    23239, 4153796 req, miss ratio 0.0759, byte miss ratio 0.0759
result/cdn1_lax.ns194.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    46479, 4153796 req, miss ratio 0.0453, byte miss ratio 0.0453
result/cdn1_lax.ns194.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    92958, 4153796 req, miss ratio 0.0302, byte miss ratio 0.0302
result/cdn1_lax.ns194.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      116, 4153796 req, miss ratio 0.5582, byte miss ratio 0.5582
result/cdn1_lax.ns194.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      348, 4153796 req, miss ratio 0.4887, byte miss ratio 0.4887
result/cdn1_lax.ns194.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1161, 4153796 req, miss ratio 0.3859, byte miss ratio 0.3859
result/cdn1_lax.ns194.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     3485, 4153796 req, miss ratio 0.2707, byte miss ratio 0.2707
result/cdn1_lax.ns194.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    11619, 4153796 req, miss ratio 0.1381, byte miss ratio 0.1381
result/cdn1_lax.ns194.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    23239, 4153796 req, miss ratio 0.0774, byte miss ratio 0.0774
result/cdn1_lax.ns194.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    46479, 4153796 req, miss ratio 0.0437, byte miss ratio 0.0437
result/cdn1_lax.ns194.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    92958, 4153796 req, miss ratio 0.0311, byte miss ratio 0.0311
