result/cdn2_allcolo.ns579.oracleGeneral.zst TwoQ cache size    14826, 1917229 req, miss ratio 0.2957, byte miss ratio 0.2957
result/cdn2_allcolo.ns579.oracleGeneral.zst TwoQ cache size    49422, 1917229 req, miss ratio 0.2806, byte miss ratio 0.2806
result/cdn2_allcolo.ns579.oracleGeneral.zst TwoQ cache size    98844, 1917229 req, miss ratio 0.2727, byte miss ratio 0.2727
result/cdn2_allcolo.ns579.oracleGeneral.zst TwoQ cache size   197688, 1917229 req, miss ratio 0.2670, byte miss ratio 0.2670
result/cdn2_allcolo.ns579.oracleGeneral.zst TwoQ cache size   395377, 1917229 req, miss ratio 0.2611, byte miss ratio 0.2611
result/cdn2_allcolo.ns579.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      494, 1917229 req, miss ratio 0.4565, byte miss ratio 0.4565
result/cdn2_allcolo.ns579.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1482, 1917229 req, miss ratio 0.3855, byte miss ratio 0.3855
result/cdn2_allcolo.ns579.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4942, 1917229 req, miss ratio 0.3390, byte miss ratio 0.3390
result/cdn2_allcolo.ns579.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    14826, 1917229 req, miss ratio 0.3062, byte miss ratio 0.3062
result/cdn2_allcolo.ns579.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    49422, 1917229 req, miss ratio 0.2800, byte miss ratio 0.2800
result/cdn2_allcolo.ns579.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    98844, 1917229 req, miss ratio 0.2686, byte miss ratio 0.2686
result/cdn2_allcolo.ns579.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   197688, 1917229 req, miss ratio 0.2612, byte miss ratio 0.2612
result/cdn2_allcolo.ns579.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   395377, 1917229 req, miss ratio 0.2582, byte miss ratio 0.2582
result/cdn2_allcolo.ns579.oracleGeneral.zst B-LRU cache size      494, 1917229 req, miss ratio 0.4294, byte miss ratio 0.4294
result/cdn2_allcolo.ns579.oracleGeneral.zst B-LRU cache size     1482, 1917229 req, miss ratio 0.3785, byte miss ratio 0.3785
result/cdn2_allcolo.ns579.oracleGeneral.zst B-LRU cache size     4942, 1917229 req, miss ratio 0.3388, byte miss ratio 0.3388
result/cdn2_allcolo.ns579.oracleGeneral.zst B-LRU cache size    14826, 1917229 req, miss ratio 0.3131, byte miss ratio 0.3131
result/cdn2_allcolo.ns579.oracleGeneral.zst B-LRU cache size    49422, 1917229 req, miss ratio 0.3000, byte miss ratio 0.3000
result/cdn2_allcolo.ns579.oracleGeneral.zst B-LRU cache size    98844, 1917229 req, miss ratio 0.2993, byte miss ratio 0.2993
result/cdn2_allcolo.ns579.oracleGeneral.zst B-LRU cache size   197688, 1917229 req, miss ratio 0.2993, byte miss ratio 0.2993
result/cdn2_allcolo.ns579.oracleGeneral.zst B-LRU cache size   395377, 1917229 req, miss ratio 0.2993, byte miss ratio 0.2993
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO cache size      494, 1917229 req, miss ratio 0.4263, byte miss ratio 0.4263
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO cache size     1482, 1917229 req, miss ratio 0.3674, byte miss ratio 0.3674
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO cache size     4942, 1917229 req, miss ratio 0.3164, byte miss ratio 0.3164
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO cache size    14826, 1917229 req, miss ratio 0.2909, byte miss ratio 0.2909
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO cache size    49422, 1917229 req, miss ratio 0.2744, byte miss ratio 0.2744
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO cache size    98844, 1917229 req, miss ratio 0.2672, byte miss ratio 0.2672
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO cache size   197688, 1917229 req, miss ratio 0.2620, byte miss ratio 0.2620
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO cache size   395377, 1917229 req, miss ratio 0.2582, byte miss ratio 0.2582
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO-d cache size      494, 1917229 req, miss ratio 0.4315, byte miss ratio 0.4315
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO-d cache size     1482, 1917229 req, miss ratio 0.3609, byte miss ratio 0.3609
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO-d cache size     4942, 1917229 req, miss ratio 0.3153, byte miss ratio 0.3153
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO-d cache size    14826, 1917229 req, miss ratio 0.2908, byte miss ratio 0.2908
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO-d cache size    49422, 1917229 req, miss ratio 0.2744, byte miss ratio 0.2744
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO-d cache size    98844, 1917229 req, miss ratio 0.2672, byte miss ratio 0.2672
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO-d cache size   197688, 1917229 req, miss ratio 0.2620, byte miss ratio 0.2620
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO-d cache size   395377, 1917229 req, miss ratio 0.2582, byte miss ratio 0.2582
result/cdn2_allcolo.ns579.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      494, 1917229 req, miss ratio 0.4513, byte miss ratio 0.4513
result/cdn2_allcolo.ns579.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1482, 1917229 req, miss ratio 0.3857, byte miss ratio 0.3857
result/cdn2_allcolo.ns579.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4942, 1917229 req, miss ratio 0.3430, byte miss ratio 0.3430
result/cdn2_allcolo.ns579.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    14826, 1917229 req, miss ratio 0.3133, byte miss ratio 0.3133
result/cdn2_allcolo.ns579.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    49422, 1917229 req, miss ratio 0.2885, byte miss ratio 0.2885
result/cdn2_allcolo.ns579.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    98844, 1917229 req, miss ratio 0.2775, byte miss ratio 0.2775
result/cdn2_allcolo.ns579.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   197688, 1917229 req, miss ratio 0.2686, byte miss ratio 0.2686
result/cdn2_allcolo.ns579.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   395377, 1917229 req, miss ratio 0.2603, byte miss ratio 0.2603
result/cdn2_allcolo.ns579.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      494, 1917229 req, miss ratio 0.4558, byte miss ratio 0.4558
result/cdn2_allcolo.ns579.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1482, 1917229 req, miss ratio 0.3707, byte miss ratio 0.3707
result/cdn2_allcolo.ns579.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4942, 1917229 req, miss ratio 0.3211, byte miss ratio 0.3211
result/cdn2_allcolo.ns579.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    14826, 1917229 req, miss ratio 0.2998, byte miss ratio 0.2998
result/cdn2_allcolo.ns579.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    49422, 1917229 req, miss ratio 0.2843, byte miss ratio 0.2843
result/cdn2_allcolo.ns579.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    98844, 1917229 req, miss ratio 0.2758, byte miss ratio 0.2758
result/cdn2_allcolo.ns579.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   197688, 1917229 req, miss ratio 0.2688, byte miss ratio 0.2688
result/cdn2_allcolo.ns579.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   395377, 1917229 req, miss ratio 0.2600, byte miss ratio 0.2600
