result/io_traces.ns215.oracleGeneral.zst TwoQ cache size      291, 8400000 req, miss ratio 0.5371, byte miss ratio 0.5371
result/io_traces.ns215.oracleGeneral.zst TwoQ cache size      875, 8400000 req, miss ratio 0.3885, byte miss ratio 0.3885
result/io_traces.ns215.oracleGeneral.zst TwoQ cache size     2919, 8400000 req, miss ratio 0.2687, byte miss ratio 0.2687
result/io_traces.ns215.oracleGeneral.zst TwoQ cache size     8758, 8400000 req, miss ratio 0.1892, byte miss ratio 0.1892
result/io_traces.ns215.oracleGeneral.zst TwoQ cache size    29194, 8400000 req, miss ratio 0.1144, byte miss ratio 0.1144
result/io_traces.ns215.oracleGeneral.zst TwoQ cache size    58389, 8400000 req, miss ratio 0.0628, byte miss ratio 0.0628
result/io_traces.ns215.oracleGeneral.zst TwoQ cache size   116778, 8400000 req, miss ratio 0.0478, byte miss ratio 0.0478
result/io_traces.ns215.oracleGeneral.zst TwoQ cache size   233557, 8400000 req, miss ratio 0.0407, byte miss ratio 0.0407
result/io_traces.ns215.oracleGeneral.zst S3FIFO cache size      291, 8400000 req, miss ratio 0.5307, byte miss ratio 0.5307
result/io_traces.ns215.oracleGeneral.zst S3FIFO cache size      875, 8400000 req, miss ratio 0.3770, byte miss ratio 0.3770
result/io_traces.ns215.oracleGeneral.zst S3FIFO cache size     2919, 8400000 req, miss ratio 0.2626, byte miss ratio 0.2626
result/io_traces.ns215.oracleGeneral.zst S3FIFO cache size     8758, 8400000 req, miss ratio 0.1798, byte miss ratio 0.1798
result/io_traces.ns215.oracleGeneral.zst S3FIFO cache size    29194, 8400000 req, miss ratio 0.1173, byte miss ratio 0.1173
result/io_traces.ns215.oracleGeneral.zst S3FIFO cache size    58389, 8400000 req, miss ratio 0.0608, byte miss ratio 0.0608
result/io_traces.ns215.oracleGeneral.zst S3FIFO cache size   116778, 8400000 req, miss ratio 0.0417, byte miss ratio 0.0417
result/io_traces.ns215.oracleGeneral.zst S3FIFO cache size   233557, 8400000 req, miss ratio 0.0352, byte miss ratio 0.0352
result/io_traces.ns215.oracleGeneral.zst S3FIFO-d cache size      291, 8400000 req, miss ratio 0.5517, byte miss ratio 0.5517
result/io_traces.ns215.oracleGeneral.zst S3FIFO-d cache size      875, 8400000 req, miss ratio 0.3869, byte miss ratio 0.3869
result/io_traces.ns215.oracleGeneral.zst S3FIFO-d cache size     2919, 8400000 req, miss ratio 0.2681, byte miss ratio 0.2681
result/io_traces.ns215.oracleGeneral.zst S3FIFO-d cache size     8758, 8400000 req, miss ratio 0.1818, byte miss ratio 0.1818
result/io_traces.ns215.oracleGeneral.zst S3FIFO-d cache size    29194, 8400000 req, miss ratio 0.1161, byte miss ratio 0.1161
result/io_traces.ns215.oracleGeneral.zst S3FIFO-d cache size    58389, 8400000 req, miss ratio 0.0623, byte miss ratio 0.0623
result/io_traces.ns215.oracleGeneral.zst S3FIFO-d cache size   116778, 8400000 req, miss ratio 0.0418, byte miss ratio 0.0418
result/io_traces.ns215.oracleGeneral.zst S3FIFO-d cache size   233557, 8400000 req, miss ratio 0.0352, byte miss ratio 0.0352
result/io_traces.ns215.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      291, 8400000 req, miss ratio 0.6233, byte miss ratio 0.6233
result/io_traces.ns215.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      875, 8400000 req, miss ratio 0.4743, byte miss ratio 0.4743
result/io_traces.ns215.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2919, 8400000 req, miss ratio 0.3065, byte miss ratio 0.3065
result/io_traces.ns215.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     8758, 8400000 req, miss ratio 0.1758, byte miss ratio 0.1758
result/io_traces.ns215.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    29194, 8400000 req, miss ratio 0.1053, byte miss ratio 0.1053
result/io_traces.ns215.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    58389, 8400000 req, miss ratio 0.0617, byte miss ratio 0.0617
result/io_traces.ns215.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   116778, 8400000 req, miss ratio 0.0436, byte miss ratio 0.0436
result/io_traces.ns215.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   233557, 8400000 req, miss ratio 0.0365, byte miss ratio 0.0365
result/io_traces.ns215.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      291, 8400000 req, miss ratio 0.5867, byte miss ratio 0.5867
result/io_traces.ns215.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      875, 8400000 req, miss ratio 0.4184, byte miss ratio 0.4184
result/io_traces.ns215.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2919, 8400000 req, miss ratio 0.2752, byte miss ratio 0.2752
result/io_traces.ns215.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     8758, 8400000 req, miss ratio 0.1716, byte miss ratio 0.1716
result/io_traces.ns215.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    29194, 8400000 req, miss ratio 0.1145, byte miss ratio 0.1145
result/io_traces.ns215.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    58389, 8400000 req, miss ratio 0.0611, byte miss ratio 0.0611
result/io_traces.ns215.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   116778, 8400000 req, miss ratio 0.0446, byte miss ratio 0.0446
result/io_traces.ns215.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   233557, 8400000 req, miss ratio 0.0377, byte miss ratio 0.0377
