result/cdn2_allcolo.ns1605.oracleGeneral.zst TwoQ cache size       21, 1724371 req, miss ratio 0.1388, byte miss ratio 0.1388
result/cdn2_allcolo.ns1605.oracleGeneral.zst TwoQ cache size       70, 1724371 req, miss ratio 0.0901, byte miss ratio 0.0901
result/cdn2_allcolo.ns1605.oracleGeneral.zst TwoQ cache size      212, 1724371 req, miss ratio 0.0530, byte miss ratio 0.0530
result/cdn2_allcolo.ns1605.oracleGeneral.zst TwoQ cache size      708, 1724371 req, miss ratio 0.0256, byte miss ratio 0.0256
result/cdn2_allcolo.ns1605.oracleGeneral.zst TwoQ cache size     1416, 1724371 req, miss ratio 0.0153, byte miss ratio 0.0153
result/cdn2_allcolo.ns1605.oracleGeneral.zst TwoQ cache size     2832, 1724371 req, miss ratio 0.0094, byte miss ratio 0.0094
result/cdn2_allcolo.ns1605.oracleGeneral.zst TwoQ cache size     5664, 1724371 req, miss ratio 0.0056, byte miss ratio 0.0056
result/cdn2_allcolo.ns1605.oracleGeneral.zst S4LRU(25:25:25:25) cache size        7, 1724371 req, miss ratio 0.1948, byte miss ratio 0.1948
result/cdn2_allcolo.ns1605.oracleGeneral.zst S4LRU(25:25:25:25) cache size       21, 1724371 req, miss ratio 0.1426, byte miss ratio 0.1426
result/cdn2_allcolo.ns1605.oracleGeneral.zst S4LRU(25:25:25:25) cache size       70, 1724371 req, miss ratio 0.0929, byte miss ratio 0.0929
result/cdn2_allcolo.ns1605.oracleGeneral.zst S4LRU(25:25:25:25) cache size      212, 1724371 req, miss ratio 0.0570, byte miss ratio 0.0570
result/cdn2_allcolo.ns1605.oracleGeneral.zst S4LRU(25:25:25:25) cache size      708, 1724371 req, miss ratio 0.0273, byte miss ratio 0.0273
result/cdn2_allcolo.ns1605.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1416, 1724371 req, miss ratio 0.0159, byte miss ratio 0.0159
result/cdn2_allcolo.ns1605.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2832, 1724371 req, miss ratio 0.0085, byte miss ratio 0.0085
result/cdn2_allcolo.ns1605.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5664, 1724371 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns1605.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size        7, 1724371 req, miss ratio 0.2351, byte miss ratio 0.2351
result/cdn2_allcolo.ns1605.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       21, 1724371 req, miss ratio 0.1756, byte miss ratio 0.1756
result/cdn2_allcolo.ns1605.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       70, 1724371 req, miss ratio 0.1173, byte miss ratio 0.1173
result/cdn2_allcolo.ns1605.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      212, 1724371 req, miss ratio 0.0638, byte miss ratio 0.0638
result/cdn2_allcolo.ns1605.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      708, 1724371 req, miss ratio 0.0308, byte miss ratio 0.0308
result/cdn2_allcolo.ns1605.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1416, 1724371 req, miss ratio 0.0178, byte miss ratio 0.0178
result/cdn2_allcolo.ns1605.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2832, 1724371 req, miss ratio 0.0095, byte miss ratio 0.0095
result/cdn2_allcolo.ns1605.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5664, 1724371 req, miss ratio 0.0052, byte miss ratio 0.0052
result/cdn2_allcolo.ns1605.oracleGeneral.zst B-LRU cache size        7, 1724371 req, miss ratio 0.1972, byte miss ratio 0.1972
result/cdn2_allcolo.ns1605.oracleGeneral.zst B-LRU cache size       21, 1724371 req, miss ratio 0.1590, byte miss ratio 0.1590
result/cdn2_allcolo.ns1605.oracleGeneral.zst B-LRU cache size       70, 1724371 req, miss ratio 0.1029, byte miss ratio 0.1029
result/cdn2_allcolo.ns1605.oracleGeneral.zst B-LRU cache size      212, 1724371 req, miss ratio 0.0631, byte miss ratio 0.0631
result/cdn2_allcolo.ns1605.oracleGeneral.zst B-LRU cache size      708, 1724371 req, miss ratio 0.0304, byte miss ratio 0.0304
result/cdn2_allcolo.ns1605.oracleGeneral.zst B-LRU cache size     1416, 1724371 req, miss ratio 0.0181, byte miss ratio 0.0181
result/cdn2_allcolo.ns1605.oracleGeneral.zst B-LRU cache size     2832, 1724371 req, miss ratio 0.0111, byte miss ratio 0.0111
result/cdn2_allcolo.ns1605.oracleGeneral.zst B-LRU cache size     5664, 1724371 req, miss ratio 0.0073, byte miss ratio 0.0073
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO cache size        7, 1724371 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO cache size       21, 1724371 req, miss ratio 0.1336, byte miss ratio 0.1336
