result/w47.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      298, 14314717 req, miss ratio 0.1773, byte miss ratio 0.1773
result/w47.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      894, 14314717 req, miss ratio 0.1587, byte miss ratio 0.1587
result/w47.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     2982, 14314717 req, miss ratio 0.1502, byte miss ratio 0.1502
result/w47.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     8946, 14314717 req, miss ratio 0.1449, byte miss ratio 0.1449
result/w47.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    29821, 14314717 req, miss ratio 0.1198, byte miss ratio 0.1198
result/w47.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    59642, 14314717 req, miss ratio 0.0777, byte miss ratio 0.0777
result/w47.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   119285, 14314717 req, miss ratio 0.0395, byte miss ratio 0.0395
result/w47.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   238571, 14314717 req, miss ratio 0.0241, byte miss ratio 0.0241
result/w47.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      298, 14314717 req, miss ratio 0.1689, byte miss ratio 0.1689
result/w47.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      894, 14314717 req, miss ratio 0.1523, byte miss ratio 0.1523
result/w47.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     2982, 14314717 req, miss ratio 0.1491, byte miss ratio 0.1491
result/w47.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     8946, 14314717 req, miss ratio 0.1456, byte miss ratio 0.1456
result/w47.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    29821, 14314717 req, miss ratio 0.1228, byte miss ratio 0.1228
result/w47.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    59642, 14314717 req, miss ratio 0.0513, byte miss ratio 0.0513
result/w47.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   119285, 14314717 req, miss ratio 0.0343, byte miss ratio 0.0343
result/w47.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   238571, 14314717 req, miss ratio 0.0218, byte miss ratio 0.0218
result/w47.oracleGeneral.bin.zst TwoQ cache size      298, 14314717 req, miss ratio 0.1627, byte miss ratio 0.1627
result/w47.oracleGeneral.bin.zst TwoQ cache size      894, 14314717 req, miss ratio 0.1512, byte miss ratio 0.1512
result/w47.oracleGeneral.bin.zst TwoQ cache size     2982, 14314717 req, miss ratio 0.1468, byte miss ratio 0.1468
result/w47.oracleGeneral.bin.zst TwoQ cache size     8946, 14314717 req, miss ratio 0.1444, byte miss ratio 0.1444
result/w47.oracleGeneral.bin.zst TwoQ cache size    29821, 14314717 req, miss ratio 0.0875, byte miss ratio 0.0875
result/w47.oracleGeneral.bin.zst TwoQ cache size    59642, 14314717 req, miss ratio 0.0471, byte miss ratio 0.0471
result/w47.oracleGeneral.bin.zst TwoQ cache size   119285, 14314717 req, miss ratio 0.0327, byte miss ratio 0.0327
result/w47.oracleGeneral.bin.zst TwoQ cache size   238571, 14314717 req, miss ratio 0.0254, byte miss ratio 0.0254
result/w47.oracleGeneral.bin.zst S3FIFO cache size      298, 14314717 req, miss ratio 0.1647, byte miss ratio 0.1647
result/w47.oracleGeneral.bin.zst S3FIFO cache size      894, 14314717 req, miss ratio 0.1529, byte miss ratio 0.1529
result/w47.oracleGeneral.bin.zst S3FIFO cache size     2982, 14314717 req, miss ratio 0.1473, byte miss ratio 0.1473
result/w47.oracleGeneral.bin.zst S3FIFO cache size     8946, 14314717 req, miss ratio 0.1450, byte miss ratio 0.1450
result/w47.oracleGeneral.bin.zst S3FIFO cache size    29821, 14314717 req, miss ratio 0.0838, byte miss ratio 0.0838
result/w47.oracleGeneral.bin.zst S3FIFO cache size    59642, 14314717 req, miss ratio 0.0468, byte miss ratio 0.0468
result/w47.oracleGeneral.bin.zst S3FIFO cache size   119285, 14314717 req, miss ratio 0.0328, byte miss ratio 0.0328
result/w47.oracleGeneral.bin.zst S3FIFO cache size   238571, 14314717 req, miss ratio 0.0221, byte miss ratio 0.0221
