result/io_traces.ns276.oracleGeneral.zst S3FIFO-d cache size   904617, 51600000 req, miss ratio 0.1723, byte miss ratio 0.1723
result/io_traces.ns276.oracleGeneral.zst S3FIFO-d cache size  1809234, 51600000 req, miss ratio 0.1271, byte miss ratio 0.1271
result/io_traces.ns276.oracleGeneral.zst S3FIFO-d cache size  3618468, 51600000 req, miss ratio 0.0885, byte miss ratio 0.0885
result/io_traces.ns276.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4523, 51600000 req, miss ratio 0.5954, byte miss ratio 0.5954
result/io_traces.ns276.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    13569, 51600000 req, miss ratio 0.5223, byte miss ratio 0.5223
result/io_traces.ns276.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    45230, 51600000 req, miss ratio 0.4678, byte miss ratio 0.4678
result/io_traces.ns276.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   135692, 51600000 req, miss ratio 0.4074, byte miss ratio 0.4074
result/io_traces.ns276.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   452308, 51600000 req, miss ratio 0.3202, byte miss ratio 0.3202
result/io_traces.ns276.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   904617, 51600000 req, miss ratio 0.2160, byte miss ratio 0.2160
result/io_traces.ns276.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1809234, 51600000 req, miss ratio 0.1497, byte miss ratio 0.1497
result/io_traces.ns276.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  3618468, 51600000 req, miss ratio 0.1022, byte miss ratio 0.1022
result/io_traces.ns276.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4523, 51600000 req, miss ratio 0.5305, byte miss ratio 0.5305
result/io_traces.ns276.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    13569, 51600000 req, miss ratio 0.4463, byte miss ratio 0.4463
result/io_traces.ns276.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    45230, 51600000 req, miss ratio 0.3608, byte miss ratio 0.3608
result/io_traces.ns276.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   135692, 51600000 req, miss ratio 0.2464, byte miss ratio 0.2464
result/io_traces.ns276.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   452308, 51600000 req, miss ratio 0.2055, byte miss ratio 0.2055
result/io_traces.ns276.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   904617, 51600000 req, miss ratio 0.1843, byte miss ratio 0.1843
result/io_traces.ns276.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1809234, 51600000 req, miss ratio 0.1531, byte miss ratio 0.1531
result/io_traces.ns276.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  3618468, 51600000 req, miss ratio 0.1046, byte miss ratio 0.1046
