result/tencentBlock.ns23707.oracleGeneral.zst S4LRU(25:25:25:25) cache size   470280, 5213615 req, miss ratio 0.2404, byte miss ratio 0.2404
result/tencentBlock.ns23707.oracleGeneral.zst S4LRU(25:25:25:25) cache size   940560, 5213615 req, miss ratio 0.2262, byte miss ratio 0.2262
result/tencentBlock.ns23707.oracleGeneral.zst S3FIFO-d cache size     1175, 5213615 req, miss ratio 0.4566, byte miss ratio 0.4566
result/tencentBlock.ns23707.oracleGeneral.zst S3FIFO-d cache size     3527, 5213615 req, miss ratio 0.3928, byte miss ratio 0.3928
result/tencentBlock.ns23707.oracleGeneral.zst S3FIFO-d cache size    11757, 5213615 req, miss ratio 0.3730, byte miss ratio 0.3730
result/tencentBlock.ns23707.oracleGeneral.zst S3FIFO-d cache size    35271, 5213615 req, miss ratio 0.3402, byte miss ratio 0.3402
result/tencentBlock.ns23707.oracleGeneral.zst S3FIFO-d cache size   117570, 5213615 req, miss ratio 0.2864, byte miss ratio 0.2864
result/tencentBlock.ns23707.oracleGeneral.zst S3FIFO-d cache size   235140, 5213615 req, miss ratio 0.2579, byte miss ratio 0.2579
result/tencentBlock.ns23707.oracleGeneral.zst S3FIFO-d cache size   470280, 5213615 req, miss ratio 0.2386, byte miss ratio 0.2386
result/tencentBlock.ns23707.oracleGeneral.zst S3FIFO-d cache size   940560, 5213615 req, miss ratio 0.2266, byte miss ratio 0.2266
result/tencentBlock.ns23707.oracleGeneral.zst S3FIFO cache size     1175, 5213615 req, miss ratio 0.4539, byte miss ratio 0.4539
result/tencentBlock.ns23707.oracleGeneral.zst S3FIFO cache size     3527, 5213615 req, miss ratio 0.3936, byte miss ratio 0.3936
result/tencentBlock.ns23707.oracleGeneral.zst S3FIFO cache size    11757, 5213615 req, miss ratio 0.3733, byte miss ratio 0.3733
result/tencentBlock.ns23707.oracleGeneral.zst S3FIFO cache size    35271, 5213615 req, miss ratio 0.3405, byte miss ratio 0.3405
result/tencentBlock.ns23707.oracleGeneral.zst S3FIFO cache size   117570, 5213615 req, miss ratio 0.2876, byte miss ratio 0.2876
result/tencentBlock.ns23707.oracleGeneral.zst S3FIFO cache size   235140, 5213615 req, miss ratio 0.2585, byte miss ratio 0.2585
result/tencentBlock.ns23707.oracleGeneral.zst S3FIFO cache size   470280, 5213615 req, miss ratio 0.2386, byte miss ratio 0.2386
result/tencentBlock.ns23707.oracleGeneral.zst S3FIFO cache size   940560, 5213615 req, miss ratio 0.2266, byte miss ratio 0.2266
