result/cdn2_colo28.ns552.oracleGeneral.zst S4LRU(25:25:25:25) cache size      469, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst S4LRU(25:25:25:25) cache size      938, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1877, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst B-LRU cache size        7, 1289443 req, miss ratio 0.2383, byte miss ratio 0.2383
result/cdn2_colo28.ns552.oracleGeneral.zst B-LRU cache size       23, 1289443 req, miss ratio 0.1123, byte miss ratio 0.1123
result/cdn2_colo28.ns552.oracleGeneral.zst B-LRU cache size       70, 1289443 req, miss ratio 0.0269, byte miss ratio 0.0269
result/cdn2_colo28.ns552.oracleGeneral.zst B-LRU cache size      234, 1289443 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_colo28.ns552.oracleGeneral.zst B-LRU cache size      469, 1289443 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_colo28.ns552.oracleGeneral.zst B-LRU cache size      938, 1289443 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_colo28.ns552.oracleGeneral.zst B-LRU cache size     1877, 1289443 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_colo28.ns552.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size        7, 1289443 req, miss ratio 0.2912, byte miss ratio 0.2912
result/cdn2_colo28.ns552.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       23, 1289443 req, miss ratio 0.1387, byte miss ratio 0.1387
result/cdn2_colo28.ns552.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       70, 1289443 req, miss ratio 0.0416, byte miss ratio 0.0416
result/cdn2_colo28.ns552.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      234, 1289443 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_colo28.ns552.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      469, 1289443 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_colo28.ns552.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      938, 1289443 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_colo28.ns552.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1877, 1289443 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_colo28.ns552.oracleGeneral.zst TwoQ cache size        7, 1289443 req, miss ratio 0.2109, byte miss ratio 0.2109
result/cdn2_colo28.ns552.oracleGeneral.zst TwoQ cache size       23, 1289443 req, miss ratio 0.0983, byte miss ratio 0.0983
result/cdn2_colo28.ns552.oracleGeneral.zst TwoQ cache size       70, 1289443 req, miss ratio 0.0281, byte miss ratio 0.0281
result/cdn2_colo28.ns552.oracleGeneral.zst TwoQ cache size      234, 1289443 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_colo28.ns552.oracleGeneral.zst TwoQ cache size      469, 1289443 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_colo28.ns552.oracleGeneral.zst TwoQ cache size      938, 1289443 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_colo28.ns552.oracleGeneral.zst TwoQ cache size     1877, 1289443 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO cache size        7, 1289443 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO cache size       23, 1289443 req, miss ratio 0.0914, byte miss ratio 0.0914
result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO cache size       70, 1289443 req, miss ratio 0.0235, byte miss ratio 0.0235
result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO cache size      234, 1289443 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO cache size      469, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO cache size      938, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO cache size     1877, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO-d cache size        7, 1289443 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO-d cache size       23, 1289443 req, miss ratio 0.0918, byte miss ratio 0.0918
result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO-d cache size       70, 1289443 req, miss ratio 0.0272, byte miss ratio 0.0272
result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO-d cache size      234, 1289443 req, miss ratio 0.0019, byte miss ratio 0.0019
