result/w59.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     3075, 10223136 req, miss ratio 0.9828, byte miss ratio 0.9828
result/w59.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    10251, 10223136 req, miss ratio 0.9098, byte miss ratio 0.9098
result/w59.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    30753, 10223136 req, miss ratio 0.8191, byte miss ratio 0.8191
result/w59.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   102510, 10223136 req, miss ratio 0.7557, byte miss ratio 0.7557
result/w59.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   205021, 10223136 req, miss ratio 0.4685, byte miss ratio 0.4685
result/w59.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   410042, 10223136 req, miss ratio 0.2516, byte miss ratio 0.2516
result/w59.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   820085, 10223136 req, miss ratio 0.1254, byte miss ratio 0.1254
result/w59.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1025, 10223136 req, miss ratio 0.9873, byte miss ratio 0.9873
result/w59.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     3075, 10223136 req, miss ratio 0.9675, byte miss ratio 0.9675
result/w59.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    10251, 10223136 req, miss ratio 0.9117, byte miss ratio 0.9117
result/w59.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    30753, 10223136 req, miss ratio 0.8223, byte miss ratio 0.8223
result/w59.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   102510, 10223136 req, miss ratio 0.6419, byte miss ratio 0.6419
result/w59.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   205021, 10223136 req, miss ratio 0.4583, byte miss ratio 0.4583
result/w59.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   410042, 10223136 req, miss ratio 0.2414, byte miss ratio 0.2414
result/w59.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   820085, 10223136 req, miss ratio 0.1197, byte miss ratio 0.1197
