result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO-d-1 cache size      108, 3509388 req, miss ratio 0.0114, byte miss ratio 0.0114
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO-d-1 cache size      362, 3509388 req, miss ratio 0.0109, byte miss ratio 0.0109
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO-d-1 cache size     1087, 3509388 req, miss ratio 0.0106, byte miss ratio 0.0106
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO-d-1 cache size     3625, 3509388 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO-d-1 cache size     7250, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO-d-1 cache size    14501, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO-d-1 cache size    29002, 3509388 req, miss ratio 0.0103, byte miss ratio 0.0103
result/cdn2_allcolo.ns8937.oracleGeneral.zst LRB cache size       36, 3509388 req, miss ratio 0.0134, byte miss ratio 0.0134
result/cdn2_allcolo.ns8937.oracleGeneral.zst LRB cache size      108, 3509388 req, miss ratio 0.0120, byte miss ratio 0.0120
result/cdn2_allcolo.ns8937.oracleGeneral.zst LRB cache size      362, 3509388 req, miss ratio 0.0113, byte miss ratio 0.0113
result/cdn2_allcolo.ns8937.oracleGeneral.zst LRB cache size     1087, 3509388 req, miss ratio 0.0109, byte miss ratio 0.0109
result/cdn2_allcolo.ns8937.oracleGeneral.zst LRB cache size     3625, 3509388 req, miss ratio 0.0106, byte miss ratio 0.0106
result/cdn2_allcolo.ns8937.oracleGeneral.zst LRB cache size     7250, 3509388 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_allcolo.ns8937.oracleGeneral.zst LRB cache size    14501, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns8937.oracleGeneral.zst LRB cache size    29002, 3509388 req, miss ratio 0.0103, byte miss ratio 0.0103
result/cdn2_allcolo.ns8937.oracleGeneral.zst S4LRU(25:25:25:25) cache size       36, 3509388 req, miss ratio 0.0121, byte miss ratio 0.0121
result/cdn2_allcolo.ns8937.oracleGeneral.zst S4LRU(25:25:25:25) cache size      108, 3509388 req, miss ratio 0.0114, byte miss ratio 0.0114
result/cdn2_allcolo.ns8937.oracleGeneral.zst S4LRU(25:25:25:25) cache size      362, 3509388 req, miss ratio 0.0109, byte miss ratio 0.0109
result/cdn2_allcolo.ns8937.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1087, 3509388 req, miss ratio 0.0107, byte miss ratio 0.0107
result/cdn2_allcolo.ns8937.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3625, 3509388 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_allcolo.ns8937.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7250, 3509388 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_allcolo.ns8937.oracleGeneral.zst S4LRU(25:25:25:25) cache size    14501, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns8937.oracleGeneral.zst S4LRU(25:25:25:25) cache size    29002, 3509388 req, miss ratio 0.0103, byte miss ratio 0.0103
result/cdn2_allcolo.ns8937.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       36, 3509388 req, miss ratio 0.0167, byte miss ratio 0.0167
result/cdn2_allcolo.ns8937.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      108, 3509388 req, miss ratio 0.0116, byte miss ratio 0.0116
result/cdn2_allcolo.ns8937.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      362, 3509388 req, miss ratio 0.0112, byte miss ratio 0.0112
result/cdn2_allcolo.ns8937.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1087, 3509388 req, miss ratio 0.0108, byte miss ratio 0.0108
result/cdn2_allcolo.ns8937.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3625, 3509388 req, miss ratio 0.0106, byte miss ratio 0.0106
result/cdn2_allcolo.ns8937.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7250, 3509388 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_allcolo.ns8937.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    14501, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns8937.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    29002, 3509388 req, miss ratio 0.0103, byte miss ratio 0.0103
result/cdn2_allcolo.ns8937.oracleGeneral.zst B-LRU cache size       36, 3509388 req, miss ratio 0.0125, byte miss ratio 0.0125
result/cdn2_allcolo.ns8937.oracleGeneral.zst B-LRU cache size      108, 3509388 req, miss ratio 0.0118, byte miss ratio 0.0118
result/cdn2_allcolo.ns8937.oracleGeneral.zst B-LRU cache size      362, 3509388 req, miss ratio 0.0114, byte miss ratio 0.0114
result/cdn2_allcolo.ns8937.oracleGeneral.zst B-LRU cache size     1087, 3509388 req, miss ratio 0.0112, byte miss ratio 0.0112
result/cdn2_allcolo.ns8937.oracleGeneral.zst B-LRU cache size     3625, 3509388 req, miss ratio 0.0111, byte miss ratio 0.0111
result/cdn2_allcolo.ns8937.oracleGeneral.zst B-LRU cache size     7250, 3509388 req, miss ratio 0.0111, byte miss ratio 0.0111
result/cdn2_allcolo.ns8937.oracleGeneral.zst B-LRU cache size    14501, 3509388 req, miss ratio 0.0111, byte miss ratio 0.0111
result/cdn2_allcolo.ns8937.oracleGeneral.zst B-LRU cache size    29002, 3509388 req, miss ratio 0.0111, byte miss ratio 0.0111
result/cdn2_allcolo.ns8937.oracleGeneral.zst TwoQ cache size       36, 3509388 req, miss ratio 0.0121, byte miss ratio 0.0121
result/cdn2_allcolo.ns8937.oracleGeneral.zst TwoQ cache size      108, 3509388 req, miss ratio 0.0113, byte miss ratio 0.0113
result/cdn2_allcolo.ns8937.oracleGeneral.zst TwoQ cache size      362, 3509388 req, miss ratio 0.0109, byte miss ratio 0.0109
result/cdn2_allcolo.ns8937.oracleGeneral.zst TwoQ cache size     1087, 3509388 req, miss ratio 0.0107, byte miss ratio 0.0107
result/cdn2_allcolo.ns8937.oracleGeneral.zst TwoQ cache size     3625, 3509388 req, miss ratio 0.0106, byte miss ratio 0.0106
result/cdn2_allcolo.ns8937.oracleGeneral.zst TwoQ cache size     7250, 3509388 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_allcolo.ns8937.oracleGeneral.zst TwoQ cache size    14501, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
