result/cdn2_allcolo.ns198.oracleGeneral.zst B-LRU cache size   271275, 95487082 req, miss ratio 0.0534, byte miss ratio 0.0534
result/cdn2_allcolo.ns198.oracleGeneral.zst B-LRU cache size   542551, 95487082 req, miss ratio 0.0307, byte miss ratio 0.0307
result/cdn2_allcolo.ns198.oracleGeneral.zst B-LRU cache size  1085103, 95487082 req, miss ratio 0.0242, byte miss ratio 0.0242
result/cdn2_allcolo.ns198.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1356, 95487082 req, miss ratio 0.6328, byte miss ratio 0.6328
result/cdn2_allcolo.ns198.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4069, 95487082 req, miss ratio 0.4923, byte miss ratio 0.4923
result/cdn2_allcolo.ns198.oracleGeneral.zst S4LRU(25:25:25:25) cache size    13563, 95487082 req, miss ratio 0.3235, byte miss ratio 0.3235
result/cdn2_allcolo.ns198.oracleGeneral.zst S4LRU(25:25:25:25) cache size    40691, 95487082 req, miss ratio 0.1845, byte miss ratio 0.1845
result/cdn2_allcolo.ns198.oracleGeneral.zst S4LRU(25:25:25:25) cache size   135637, 95487082 req, miss ratio 0.0837, byte miss ratio 0.0837
result/cdn2_allcolo.ns198.oracleGeneral.zst S4LRU(25:25:25:25) cache size   271275, 95487082 req, miss ratio 0.0507, byte miss ratio 0.0507
result/cdn2_allcolo.ns198.oracleGeneral.zst S4LRU(25:25:25:25) cache size   542551, 95487082 req, miss ratio 0.0246, byte miss ratio 0.0246
result/cdn2_allcolo.ns198.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1085103, 95487082 req, miss ratio 0.0148, byte miss ratio 0.0148
result/cdn2_allcolo.ns198.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1356, 95487082 req, miss ratio 0.7021, byte miss ratio 0.7021
result/cdn2_allcolo.ns198.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4069, 95487082 req, miss ratio 0.5569, byte miss ratio 0.5569
result/cdn2_allcolo.ns198.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    13563, 95487082 req, miss ratio 0.3691, byte miss ratio 0.3691
result/cdn2_allcolo.ns198.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    40691, 95487082 req, miss ratio 0.2099, byte miss ratio 0.2099
result/cdn2_allcolo.ns198.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   135637, 95487082 req, miss ratio 0.0941, byte miss ratio 0.0941
result/cdn2_allcolo.ns198.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   271275, 95487082 req, miss ratio 0.0547, byte miss ratio 0.0547
result/cdn2_allcolo.ns198.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   542551, 95487082 req, miss ratio 0.0294, byte miss ratio 0.0294
result/cdn2_allcolo.ns198.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1085103, 95487082 req, miss ratio 0.0172, byte miss ratio 0.0172
