result/query_stream_processor_cache.0.oracleGeneral.sample10.zst clock2 cache size   275356, 58463439 req, miss ratio 0.0226, byte miss ratio 0.0226
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst clock2 cache size   550712, 58463439 req, miss ratio 0.0125, byte miss ratio 0.0125
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size      688, 58463439 req, miss ratio 0.3077, byte miss ratio 0.3077
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     2065, 58463439 req, miss ratio 0.1905, byte miss ratio 0.1905
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     6883, 58463439 req, miss ratio 0.1189, byte miss ratio 0.1189
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    20651, 58463439 req, miss ratio 0.0857, byte miss ratio 0.0857
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    68839, 58463439 req, miss ratio 0.0564, byte miss ratio 0.0564
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   137678, 58463439 req, miss ratio 0.0401, byte miss ratio 0.0401
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   275356, 58463439 req, miss ratio 0.0209, byte miss ratio 0.0209
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   550712, 58463439 req, miss ratio 0.0130, byte miss ratio 0.0130
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LRB cache size      688, 58463439 req, miss ratio 0.3701, byte miss ratio 0.3701
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LRB cache size     2065, 58463439 req, miss ratio 0.2207, byte miss ratio 0.2207
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LRB cache size     6883, 58463439 req, miss ratio 0.1355, byte miss ratio 0.1355
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LRB cache size    20651, 58463439 req, miss ratio 0.0962, byte miss ratio 0.0962
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LRB cache size    68839, 58463439 req, miss ratio 0.0618, byte miss ratio 0.0618
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LRB cache size   137678, 58463439 req, miss ratio 0.0407, byte miss ratio 0.0407
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LRB cache size   275356, 58463439 req, miss ratio 0.0226, byte miss ratio 0.0226
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LRB cache size   550712, 58463439 req, miss ratio 0.0128, byte miss ratio 0.0128
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size      688, 58463439 req, miss ratio 0.4235, byte miss ratio 0.4235
