result/cdn2_colo28.ns130.oracleGeneral.zst TwoQ cache size    64940, 2052141 req, miss ratio 0.0440, byte miss ratio 0.0440
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO cache size       81, 2052141 req, miss ratio 0.3099, byte miss ratio 0.3099
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO cache size      243, 2052141 req, miss ratio 0.2503, byte miss ratio 0.2503
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO cache size      811, 2052141 req, miss ratio 0.1877, byte miss ratio 0.1877
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO cache size     2435, 2052141 req, miss ratio 0.1344, byte miss ratio 0.1344
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO cache size     8117, 2052141 req, miss ratio 0.0824, byte miss ratio 0.0824
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO cache size    16235, 2052141 req, miss ratio 0.0590, byte miss ratio 0.0590
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO cache size    32470, 2052141 req, miss ratio 0.0466, byte miss ratio 0.0466
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO cache size    64940, 2052141 req, miss ratio 0.0400, byte miss ratio 0.0400
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO-d cache size       81, 2052141 req, miss ratio 0.3107, byte miss ratio 0.3107
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO-d cache size      243, 2052141 req, miss ratio 0.2502, byte miss ratio 0.2502
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO-d cache size      811, 2052141 req, miss ratio 0.1877, byte miss ratio 0.1877
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO-d cache size     2435, 2052141 req, miss ratio 0.1344, byte miss ratio 0.1344
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO-d cache size     8117, 2052141 req, miss ratio 0.0824, byte miss ratio 0.0824
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO-d cache size    16235, 2052141 req, miss ratio 0.0590, byte miss ratio 0.0590
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO-d cache size    32470, 2052141 req, miss ratio 0.0466, byte miss ratio 0.0466
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO-d cache size    64940, 2052141 req, miss ratio 0.0400, byte miss ratio 0.0400
result/cdn2_colo28.ns130.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       81, 2052141 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns130.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      243, 2052141 req, miss ratio 0.2681, byte miss ratio 0.2681
result/cdn2_colo28.ns130.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      811, 2052141 req, miss ratio 0.2005, byte miss ratio 0.2005
result/cdn2_colo28.ns130.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2435, 2052141 req, miss ratio 0.1425, byte miss ratio 0.1425
result/cdn2_colo28.ns130.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     8117, 2052141 req, miss ratio 0.0884, byte miss ratio 0.0884
result/cdn2_colo28.ns130.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    16235, 2052141 req, miss ratio 0.0654, byte miss ratio 0.0654
result/cdn2_colo28.ns130.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    32470, 2052141 req, miss ratio 0.0522, byte miss ratio 0.0522
result/cdn2_colo28.ns130.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    64940, 2052141 req, miss ratio 0.0418, byte miss ratio 0.0418
result/cdn2_colo28.ns130.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       81, 2052141 req, miss ratio 0.3139, byte miss ratio 0.3139
result/cdn2_colo28.ns130.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      243, 2052141 req, miss ratio 0.2574, byte miss ratio 0.2574
result/cdn2_colo28.ns130.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      811, 2052141 req, miss ratio 0.2104, byte miss ratio 0.2104
result/cdn2_colo28.ns130.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2435, 2052141 req, miss ratio 0.1400, byte miss ratio 0.1400
result/cdn2_colo28.ns130.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     8117, 2052141 req, miss ratio 0.0870, byte miss ratio 0.0870
result/cdn2_colo28.ns130.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    16235, 2052141 req, miss ratio 0.0650, byte miss ratio 0.0650
result/cdn2_colo28.ns130.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    32470, 2052141 req, miss ratio 0.0522, byte miss ratio 0.0522
result/cdn2_colo28.ns130.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    64940, 2052141 req, miss ratio 0.0426, byte miss ratio 0.0426
