result/io_traces.ns292.oracleGeneral.zst S3FIFO-d cache size    39415, 1200000 req, miss ratio 0.0419, byte miss ratio 0.0419
result/io_traces.ns292.oracleGeneral.zst S3FIFO cache size       49, 1200000 req, miss ratio 0.8619, byte miss ratio 0.8619
result/io_traces.ns292.oracleGeneral.zst S3FIFO cache size      147, 1200000 req, miss ratio 0.7827, byte miss ratio 0.7827
result/io_traces.ns292.oracleGeneral.zst S3FIFO cache size      492, 1200000 req, miss ratio 0.7571, byte miss ratio 0.7571
result/io_traces.ns292.oracleGeneral.zst S3FIFO cache size     1478, 1200000 req, miss ratio 0.7220, byte miss ratio 0.7220
result/io_traces.ns292.oracleGeneral.zst S3FIFO cache size     4926, 1200000 req, miss ratio 0.7026, byte miss ratio 0.7026
result/io_traces.ns292.oracleGeneral.zst S3FIFO cache size     9853, 1200000 req, miss ratio 0.6985, byte miss ratio 0.6985
result/io_traces.ns292.oracleGeneral.zst S3FIFO cache size    19707, 1200000 req, miss ratio 0.4255, byte miss ratio 0.4255
result/io_traces.ns292.oracleGeneral.zst S3FIFO cache size    39415, 1200000 req, miss ratio 0.0419, byte miss ratio 0.0419
result/io_traces.ns292.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       49, 1200000 req, miss ratio 1.0000, byte miss ratio 1.0000
result/io_traces.ns292.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      147, 1200000 req, miss ratio 0.7870, byte miss ratio 0.7870
result/io_traces.ns292.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      492, 1200000 req, miss ratio 0.7705, byte miss ratio 0.7705
result/io_traces.ns292.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1478, 1200000 req, miss ratio 0.7540, byte miss ratio 0.7540
result/io_traces.ns292.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4926, 1200000 req, miss ratio 0.6787, byte miss ratio 0.6787
result/io_traces.ns292.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9853, 1200000 req, miss ratio 0.6529, byte miss ratio 0.6529
result/io_traces.ns292.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    19707, 1200000 req, miss ratio 0.3945, byte miss ratio 0.3945
result/io_traces.ns292.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    39415, 1200000 req, miss ratio 0.0436, byte miss ratio 0.0436
result/io_traces.ns292.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       49, 1200000 req, miss ratio 0.8879, byte miss ratio 0.8879
result/io_traces.ns292.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      147, 1200000 req, miss ratio 0.7931, byte miss ratio 0.7931
result/io_traces.ns292.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      492, 1200000 req, miss ratio 0.7832, byte miss ratio 0.7832
result/io_traces.ns292.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1478, 1200000 req, miss ratio 0.7602, byte miss ratio 0.7602
result/io_traces.ns292.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4926, 1200000 req, miss ratio 0.6643, byte miss ratio 0.6643
result/io_traces.ns292.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9853, 1200000 req, miss ratio 0.5729, byte miss ratio 0.5729
result/io_traces.ns292.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    19707, 1200000 req, miss ratio 0.3837, byte miss ratio 0.3837
result/io_traces.ns292.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    39415, 1200000 req, miss ratio 0.0452, byte miss ratio 0.0452
