result/tencentBlock.ns5936.oracleGeneral.zst S4LRU(25:25:25:25) cache size    36465, 3720288 req, miss ratio 0.0294, byte miss ratio 0.0294
result/tencentBlock.ns5936.oracleGeneral.zst S4LRU(25:25:25:25) cache size    72930, 3720288 req, miss ratio 0.0248, byte miss ratio 0.0248
result/tencentBlock.ns5936.oracleGeneral.zst B-LRU cache size       91, 3720288 req, miss ratio 0.2571, byte miss ratio 0.2571
result/tencentBlock.ns5936.oracleGeneral.zst B-LRU cache size      273, 3720288 req, miss ratio 0.1610, byte miss ratio 0.1610
result/tencentBlock.ns5936.oracleGeneral.zst B-LRU cache size      911, 3720288 req, miss ratio 0.1338, byte miss ratio 0.1338
result/tencentBlock.ns5936.oracleGeneral.zst B-LRU cache size     2734, 3720288 req, miss ratio 0.1270, byte miss ratio 0.1270
result/tencentBlock.ns5936.oracleGeneral.zst B-LRU cache size     9116, 3720288 req, miss ratio 0.1118, byte miss ratio 0.1118
result/tencentBlock.ns5936.oracleGeneral.zst B-LRU cache size    18232, 3720288 req, miss ratio 0.0710, byte miss ratio 0.0710
result/tencentBlock.ns5936.oracleGeneral.zst B-LRU cache size    36465, 3720288 req, miss ratio 0.0428, byte miss ratio 0.0428
result/tencentBlock.ns5936.oracleGeneral.zst B-LRU cache size    72930, 3720288 req, miss ratio 0.0417, byte miss ratio 0.0417
result/tencentBlock.ns5936.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       91, 3720288 req, miss ratio 0.3182, byte miss ratio 0.3182
result/tencentBlock.ns5936.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      273, 3720288 req, miss ratio 0.1688, byte miss ratio 0.1688
result/tencentBlock.ns5936.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      911, 3720288 req, miss ratio 0.1270, byte miss ratio 0.1270
result/tencentBlock.ns5936.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2734, 3720288 req, miss ratio 0.1184, byte miss ratio 0.1184
result/tencentBlock.ns5936.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9116, 3720288 req, miss ratio 0.1034, byte miss ratio 0.1034
result/tencentBlock.ns5936.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    18232, 3720288 req, miss ratio 0.0802, byte miss ratio 0.0802
result/tencentBlock.ns5936.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    36465, 3720288 req, miss ratio 0.0476, byte miss ratio 0.0476
result/tencentBlock.ns5936.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    72930, 3720288 req, miss ratio 0.0291, byte miss ratio 0.0291
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO cache size       91, 3720288 req, miss ratio 0.1957, byte miss ratio 0.1957
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO cache size      273, 3720288 req, miss ratio 0.1369, byte miss ratio 0.1369
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO cache size      911, 3720288 req, miss ratio 0.1203, byte miss ratio 0.1203
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO cache size     2734, 3720288 req, miss ratio 0.1107, byte miss ratio 0.1107
