result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 12560974, 190994596 req, miss ratio 0.1760, byte miss ratio 0.1760
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 25121949, 190994596 req, miss ratio 0.1656, byte miss ratio 0.1656
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst TwoQ cache size    31402, 190994596 req, miss ratio 0.6187, byte miss ratio 0.6187
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst TwoQ cache size    94207, 190994596 req, miss ratio 0.5738, byte miss ratio 0.5738
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst TwoQ cache size   314024, 190994596 req, miss ratio 0.4770, byte miss ratio 0.4770
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst TwoQ cache size   942073, 190994596 req, miss ratio 0.3507, byte miss ratio 0.3507
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst TwoQ cache size  3140243, 190994596 req, miss ratio 0.2520, byte miss ratio 0.2520
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst TwoQ cache size  6280487, 190994596 req, miss ratio 0.2016, byte miss ratio 0.2016
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst TwoQ cache size 12560974, 190994596 req, miss ratio 0.1837, byte miss ratio 0.1837
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst TwoQ cache size 25121949, 190994596 req, miss ratio 0.1693, byte miss ratio 0.1693
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst B-LRU cache size    31402, 190994596 req, miss ratio 0.7880, byte miss ratio 0.7880
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst B-LRU cache size    94207, 190994596 req, miss ratio 0.7460, byte miss ratio 0.7460
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst B-LRU cache size   314024, 190994596 req, miss ratio 0.6461, byte miss ratio 0.6461
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst B-LRU cache size   942073, 190994596 req, miss ratio 0.4786, byte miss ratio 0.4786
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst B-LRU cache size  3140243, 190994596 req, miss ratio 0.3775, byte miss ratio 0.3775
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst B-LRU cache size  6280487, 190994596 req, miss ratio 0.3463, byte miss ratio 0.3463
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst B-LRU cache size 12560974, 190994596 req, miss ratio 0.3285, byte miss ratio 0.3285
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst B-LRU cache size 25121949, 190994596 req, miss ratio 0.3186, byte miss ratio 0.3186
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    31402, 190994596 req, miss ratio 0.6516, byte miss ratio 0.6516
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    94207, 190994596 req, miss ratio 0.6015, byte miss ratio 0.6015
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   314024, 190994596 req, miss ratio 0.5127, byte miss ratio 0.5127
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   942073, 190994596 req, miss ratio 0.3612, byte miss ratio 0.3612
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  3140243, 190994596 req, miss ratio 0.2439, byte miss ratio 0.2439
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  6280487, 190994596 req, miss ratio 0.2047, byte miss ratio 0.2047
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 12560974, 190994596 req, miss ratio 0.1784, byte miss ratio 0.1784
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 25121949, 190994596 req, miss ratio 0.1665, byte miss ratio 0.1665
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    31402, 190994596 req, miss ratio 0.6158, byte miss ratio 0.6158
