result/tencentBlock.ns22175.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size        8, 1050312 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns22175.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       28, 1050312 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns22175.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       86, 1050312 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns22175.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      289, 1050312 req, miss ratio 0.0097, byte miss ratio 0.0097
result/tencentBlock.ns22175.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      579, 1050312 req, miss ratio 0.0074, byte miss ratio 0.0074
result/tencentBlock.ns22175.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1158, 1050312 req, miss ratio 0.0059, byte miss ratio 0.0059
result/tencentBlock.ns22175.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2316, 1050312 req, miss ratio 0.0039, byte miss ratio 0.0039
result/tencentBlock.ns22175.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size        8, 1050312 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns22175.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       28, 1050312 req, miss ratio 0.6032, byte miss ratio 0.6032
result/tencentBlock.ns22175.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       86, 1050312 req, miss ratio 0.3042, byte miss ratio 0.3042
result/tencentBlock.ns22175.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      289, 1050312 req, miss ratio 0.0094, byte miss ratio 0.0094
result/tencentBlock.ns22175.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      579, 1050312 req, miss ratio 0.0075, byte miss ratio 0.0075
result/tencentBlock.ns22175.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1158, 1050312 req, miss ratio 0.0063, byte miss ratio 0.0063
result/tencentBlock.ns22175.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2316, 1050312 req, miss ratio 0.0039, byte miss ratio 0.0039
