result/cdn1_lax.ns27.oracleGeneral.bin.zst B-LRU cache size    63999, 3502955 req, miss ratio 0.3764, byte miss ratio 0.3764
result/cdn1_lax.ns27.oracleGeneral.bin.zst B-LRU cache size   127999, 3502955 req, miss ratio 0.2888, byte miss ratio 0.2888
result/cdn1_lax.ns27.oracleGeneral.bin.zst B-LRU cache size   255998, 3502955 req, miss ratio 0.2690, byte miss ratio 0.2690
result/cdn1_lax.ns27.oracleGeneral.bin.zst B-LRU cache size   511996, 3502955 req, miss ratio 0.2688, byte miss ratio 0.2688
result/cdn1_lax.ns27.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      639, 3502955 req, miss ratio 0.8213, byte miss ratio 0.8213
result/cdn1_lax.ns27.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1919, 3502955 req, miss ratio 0.7809, byte miss ratio 0.7809
result/cdn1_lax.ns27.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     6399, 3502955 req, miss ratio 0.6956, byte miss ratio 0.6956
result/cdn1_lax.ns27.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    19199, 3502955 req, miss ratio 0.5555, byte miss ratio 0.5555
result/cdn1_lax.ns27.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    63999, 3502955 req, miss ratio 0.3525, byte miss ratio 0.3525
result/cdn1_lax.ns27.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   127999, 3502955 req, miss ratio 0.2606, byte miss ratio 0.2606
result/cdn1_lax.ns27.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   255998, 3502955 req, miss ratio 0.2091, byte miss ratio 0.2091
result/cdn1_lax.ns27.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   511996, 3502955 req, miss ratio 0.1834, byte miss ratio 0.1834
result/cdn1_lax.ns27.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      639, 3502955 req, miss ratio 0.8390, byte miss ratio 0.8390
result/cdn1_lax.ns27.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1919, 3502955 req, miss ratio 0.8098, byte miss ratio 0.8098
result/cdn1_lax.ns27.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     6399, 3502955 req, miss ratio 0.7350, byte miss ratio 0.7350
result/cdn1_lax.ns27.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    19199, 3502955 req, miss ratio 0.5983, byte miss ratio 0.5983
result/cdn1_lax.ns27.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    63999, 3502955 req, miss ratio 0.3918, byte miss ratio 0.3918
result/cdn1_lax.ns27.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   127999, 3502955 req, miss ratio 0.2898, byte miss ratio 0.2898
result/cdn1_lax.ns27.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   255998, 3502955 req, miss ratio 0.2191, byte miss ratio 0.2191
result/cdn1_lax.ns27.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   511996, 3502955 req, miss ratio 0.1863, byte miss ratio 0.1863
result/cdn1_lax.ns27.oracleGeneral.bin.zst TwoQ cache size      639, 3502955 req, miss ratio 0.8082, byte miss ratio 0.8082
result/cdn1_lax.ns27.oracleGeneral.bin.zst TwoQ cache size     1919, 3502955 req, miss ratio 0.7608, byte miss ratio 0.7608
result/cdn1_lax.ns27.oracleGeneral.bin.zst TwoQ cache size     6399, 3502955 req, miss ratio 0.6803, byte miss ratio 0.6803
result/cdn1_lax.ns27.oracleGeneral.bin.zst TwoQ cache size    19199, 3502955 req, miss ratio 0.5488, byte miss ratio 0.5488
result/cdn1_lax.ns27.oracleGeneral.bin.zst TwoQ cache size    63999, 3502955 req, miss ratio 0.3663, byte miss ratio 0.3663
result/cdn1_lax.ns27.oracleGeneral.bin.zst TwoQ cache size   127999, 3502955 req, miss ratio 0.2812, byte miss ratio 0.2812
result/cdn1_lax.ns27.oracleGeneral.bin.zst TwoQ cache size   255998, 3502955 req, miss ratio 0.2286, byte miss ratio 0.2286
result/cdn1_lax.ns27.oracleGeneral.bin.zst TwoQ cache size   511996, 3502955 req, miss ratio 0.1887, byte miss ratio 0.1887
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO-d cache size      639, 3502955 req, miss ratio 0.8028, byte miss ratio 0.8028
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO-d cache size     1919, 3502955 req, miss ratio 0.7563, byte miss ratio 0.7563
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO-d cache size     6399, 3502955 req, miss ratio 0.6717, byte miss ratio 0.6717
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO-d cache size    19199, 3502955 req, miss ratio 0.5377, byte miss ratio 0.5377
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO-d cache size    63999, 3502955 req, miss ratio 0.3528, byte miss ratio 0.3528
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO-d cache size   127999, 3502955 req, miss ratio 0.2637, byte miss ratio 0.2637
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO-d cache size   255998, 3502955 req, miss ratio 0.2092, byte miss ratio 0.2092
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO-d cache size   511996, 3502955 req, miss ratio 0.1837, byte miss ratio 0.1837
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO cache size      639, 3502955 req, miss ratio 0.8011, byte miss ratio 0.8011
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO cache size     1919, 3502955 req, miss ratio 0.7530, byte miss ratio 0.7530
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO cache size     6399, 3502955 req, miss ratio 0.6690, byte miss ratio 0.6690
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO cache size    19199, 3502955 req, miss ratio 0.5341, byte miss ratio 0.5341
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO cache size    63999, 3502955 req, miss ratio 0.3499, byte miss ratio 0.3499
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO cache size   127999, 3502955 req, miss ratio 0.2641, byte miss ratio 0.2641
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO cache size   255998, 3502955 req, miss ratio 0.2094, byte miss ratio 0.2094
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO cache size   511996, 3502955 req, miss ratio 0.1837, byte miss ratio 0.1837
result/cdn1_lax.ns27.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      639, 3502955 req, miss ratio 0.8024, byte miss ratio 0.8024
result/cdn1_lax.ns27.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1919, 3502955 req, miss ratio 0.7754, byte miss ratio 0.7754
result/cdn1_lax.ns27.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     6399, 3502955 req, miss ratio 0.6738, byte miss ratio 0.6738
result/cdn1_lax.ns27.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    19199, 3502955 req, miss ratio 0.5481, byte miss ratio 0.5481
result/cdn1_lax.ns27.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    63999, 3502955 req, miss ratio 0.4451, byte miss ratio 0.4451
result/cdn1_lax.ns27.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   127999, 3502955 req, miss ratio 0.3264, byte miss ratio 0.3264
result/cdn1_lax.ns27.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   255998, 3502955 req, miss ratio 0.2436, byte miss ratio 0.2436
result/cdn1_lax.ns27.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   511996, 3502955 req, miss ratio 0.1950, byte miss ratio 0.1950
result/cdn1_lax.ns27.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      639, 3502955 req, miss ratio 0.8056, byte miss ratio 0.8056
result/cdn1_lax.ns27.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1919, 3502955 req, miss ratio 0.7603, byte miss ratio 0.7603
result/cdn1_lax.ns27.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     6399, 3502955 req, miss ratio 0.7066, byte miss ratio 0.7066
result/cdn1_lax.ns27.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    19199, 3502955 req, miss ratio 0.6025, byte miss ratio 0.6025
result/cdn1_lax.ns27.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    63999, 3502955 req, miss ratio 0.4420, byte miss ratio 0.4420
result/cdn1_lax.ns27.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   127999, 3502955 req, miss ratio 0.3314, byte miss ratio 0.3314
result/cdn1_lax.ns27.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   255998, 3502955 req, miss ratio 0.2465, byte miss ratio 0.2465
result/cdn1_lax.ns27.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   511996, 3502955 req, miss ratio 0.1969, byte miss ratio 0.1969
