result/cdn2_colo28.ns114.oracleGeneral.zst TwoQ cache size   116267, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
result/cdn2_colo28.ns114.oracleGeneral.zst TwoQ cache size   232535, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
result/cdn2_colo28.ns114.oracleGeneral.zst TwoQ cache size   465070, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst TwoQ cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst B-LRU cache size     1162, 9861230 req, miss ratio 0.1570, byte miss ratio 0.1570
result/cdn2_colo28.ns114.oracleGeneral.zst B-LRU cache size     3488, 9861230 req, miss ratio 0.1569, byte miss ratio 0.1569
result/cdn2_colo28.ns114.oracleGeneral.zst B-LRU cache size    11626, 9861230 req, miss ratio 0.1569, byte miss ratio 0.1569
result/cdn2_colo28.ns114.oracleGeneral.zst B-LRU cache size    34880, 9861230 req, miss ratio 0.1568, byte miss ratio 0.1568
result/cdn2_colo28.ns114.oracleGeneral.zst B-LRU cache size   116267, 9861230 req, miss ratio 0.1568, byte miss ratio 0.1568
result/cdn2_colo28.ns114.oracleGeneral.zst B-LRU cache size   232535, 9861230 req, miss ratio 0.1567, byte miss ratio 0.1567
result/cdn2_colo28.ns114.oracleGeneral.zst B-LRU cache size   465070, 9861230 req, miss ratio 0.1567, byte miss ratio 0.1567
result/cdn2_colo28.ns114.oracleGeneral.zst B-LRU cache size   930141, 9861230 req, miss ratio 0.1567, byte miss ratio 0.1567
result/cdn2_colo28.ns114.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1162, 9861230 req, miss ratio 0.1184, byte miss ratio 0.1184
result/cdn2_colo28.ns114.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3488, 9861230 req, miss ratio 0.1182, byte miss ratio 0.1182
result/cdn2_colo28.ns114.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    11626, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
result/cdn2_colo28.ns114.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    34880, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
result/cdn2_colo28.ns114.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   116267, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   232535, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   465070, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst S3FIFO cache size     1162, 9861230 req, miss ratio 0.1183, byte miss ratio 0.1183
result/cdn2_colo28.ns114.oracleGeneral.zst S3FIFO cache size     3488, 9861230 req, miss ratio 0.1182, byte miss ratio 0.1182
result/cdn2_colo28.ns114.oracleGeneral.zst S3FIFO cache size    11626, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
result/cdn2_colo28.ns114.oracleGeneral.zst S3FIFO cache size    34880, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
result/cdn2_colo28.ns114.oracleGeneral.zst S3FIFO cache size   116267, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst S3FIFO cache size   232535, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst S3FIFO cache size   465070, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst S3FIFO cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst S3FIFO-d cache size     1162, 9861230 req, miss ratio 0.1183, byte miss ratio 0.1183
result/cdn2_colo28.ns114.oracleGeneral.zst S3FIFO-d cache size     3488, 9861230 req, miss ratio 0.1182, byte miss ratio 0.1182
result/cdn2_colo28.ns114.oracleGeneral.zst S3FIFO-d cache size    11626, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
result/cdn2_colo28.ns114.oracleGeneral.zst S3FIFO-d cache size    34880, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
result/cdn2_colo28.ns114.oracleGeneral.zst S3FIFO-d cache size   116267, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst S3FIFO-d cache size   232535, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst S3FIFO-d cache size   465070, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst S3FIFO-d cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1162, 9861230 req, miss ratio 0.1234, byte miss ratio 0.1234
result/cdn2_colo28.ns114.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3488, 9861230 req, miss ratio 0.1190, byte miss ratio 0.1190
result/cdn2_colo28.ns114.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    11626, 9861230 req, miss ratio 0.1189, byte miss ratio 0.1189
result/cdn2_colo28.ns114.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    34880, 9861230 req, miss ratio 0.1186, byte miss ratio 0.1186
result/cdn2_colo28.ns114.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   116267, 9861230 req, miss ratio 0.1183, byte miss ratio 0.1183
result/cdn2_colo28.ns114.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   232535, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
result/cdn2_colo28.ns114.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   465070, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
result/cdn2_colo28.ns114.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1162, 9861230 req, miss ratio 0.1192, byte miss ratio 0.1192
result/cdn2_colo28.ns114.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3488, 9861230 req, miss ratio 0.1189, byte miss ratio 0.1189
result/cdn2_colo28.ns114.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    11626, 9861230 req, miss ratio 0.1184, byte miss ratio 0.1184
result/cdn2_colo28.ns114.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    34880, 9861230 req, miss ratio 0.1182, byte miss ratio 0.1182
result/cdn2_colo28.ns114.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   116267, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
result/cdn2_colo28.ns114.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   232535, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
result/cdn2_colo28.ns114.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   465070, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
result/cdn2_colo28.ns114.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
