result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 18972163, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 37944327, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    47430, 75570781 req, miss ratio 0.6286, byte miss ratio 0.6286
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   142291, 75570781 req, miss ratio 0.6281, byte miss ratio 0.6281
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   474304, 75570781 req, miss ratio 0.6278, byte miss ratio 0.6278
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  1422912, 75570781 req, miss ratio 0.6277, byte miss ratio 0.6277
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  4743040, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  9486081, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst S3FIFO cache size 18972163, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst S3FIFO cache size 37944327, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    47430, 75570781 req, miss ratio 0.6283, byte miss ratio 0.6283
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   142291, 75570781 req, miss ratio 0.6280, byte miss ratio 0.6280
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   474304, 75570781 req, miss ratio 0.6278, byte miss ratio 0.6278
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  1422912, 75570781 req, miss ratio 0.6277, byte miss ratio 0.6277
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  4743040, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  9486081, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size 18972163, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size 37944327, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    47430, 75570781 req, miss ratio 0.6442, byte miss ratio 0.6442
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   142291, 75570781 req, miss ratio 0.6322, byte miss ratio 0.6322
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   474304, 75570781 req, miss ratio 0.6287, byte miss ratio 0.6287
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1422912, 75570781 req, miss ratio 0.6281, byte miss ratio 0.6281
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  4743040, 75570781 req, miss ratio 0.6278, byte miss ratio 0.6278
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  9486081, 75570781 req, miss ratio 0.6277, byte miss ratio 0.6277
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 18972163, 75570781 req, miss ratio 0.6277, byte miss ratio 0.6277
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 37944327, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    47430, 75570781 req, miss ratio 0.6287, byte miss ratio 0.6287
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   142291, 75570781 req, miss ratio 0.6282, byte miss ratio 0.6282
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   474304, 75570781 req, miss ratio 0.6278, byte miss ratio 0.6278
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1422912, 75570781 req, miss ratio 0.6277, byte miss ratio 0.6277
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  4743040, 75570781 req, miss ratio 0.6277, byte miss ratio 0.6277
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  9486081, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 18972163, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
result/exchange_mpx_auction_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 37944327, 75570781 req, miss ratio 0.6276, byte miss ratio 0.6276
