result/cdn2_colo28.ns768.oracleGeneral.zst LRB cache size     4622, 5103806 req, miss ratio 0.0127, byte miss ratio 0.0127
result/cdn2_colo28.ns768.oracleGeneral.zst LRB cache size     9245, 5103806 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_colo28.ns768.oracleGeneral.zst B-LRU cache size       11, 5103806 req, miss ratio 0.9797, byte miss ratio 0.9797
result/cdn2_colo28.ns768.oracleGeneral.zst B-LRU cache size       34, 5103806 req, miss ratio 0.9421, byte miss ratio 0.9421
result/cdn2_colo28.ns768.oracleGeneral.zst B-LRU cache size      115, 5103806 req, miss ratio 0.8159, byte miss ratio 0.8159
result/cdn2_colo28.ns768.oracleGeneral.zst B-LRU cache size      346, 5103806 req, miss ratio 0.5597, byte miss ratio 0.5597
result/cdn2_colo28.ns768.oracleGeneral.zst B-LRU cache size     1155, 5103806 req, miss ratio 0.1602, byte miss ratio 0.1602
result/cdn2_colo28.ns768.oracleGeneral.zst B-LRU cache size     2311, 5103806 req, miss ratio 0.0481, byte miss ratio 0.0481
result/cdn2_colo28.ns768.oracleGeneral.zst B-LRU cache size     4622, 5103806 req, miss ratio 0.0161, byte miss ratio 0.0161
result/cdn2_colo28.ns768.oracleGeneral.zst B-LRU cache size     9245, 5103806 req, miss ratio 0.0044, byte miss ratio 0.0044
result/cdn2_colo28.ns768.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       11, 5103806 req, miss ratio 0.9795, byte miss ratio 0.9795
result/cdn2_colo28.ns768.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       34, 5103806 req, miss ratio 0.9423, byte miss ratio 0.9423
result/cdn2_colo28.ns768.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      115, 5103806 req, miss ratio 0.7894, byte miss ratio 0.7894
result/cdn2_colo28.ns768.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      346, 5103806 req, miss ratio 0.5355, byte miss ratio 0.5355
result/cdn2_colo28.ns768.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1155, 5103806 req, miss ratio 0.1607, byte miss ratio 0.1607
result/cdn2_colo28.ns768.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2311, 5103806 req, miss ratio 0.0554, byte miss ratio 0.0554
result/cdn2_colo28.ns768.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4622, 5103806 req, miss ratio 0.0181, byte miss ratio 0.0181
result/cdn2_colo28.ns768.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9245, 5103806 req, miss ratio 0.0039, byte miss ratio 0.0039
result/cdn2_colo28.ns768.oracleGeneral.zst S4LRU(25:25:25:25) cache size       11, 5103806 req, miss ratio 0.9588, byte miss ratio 0.9588
result/cdn2_colo28.ns768.oracleGeneral.zst S4LRU(25:25:25:25) cache size       34, 5103806 req, miss ratio 0.8851, byte miss ratio 0.8851
result/cdn2_colo28.ns768.oracleGeneral.zst S4LRU(25:25:25:25) cache size      115, 5103806 req, miss ratio 0.7184, byte miss ratio 0.7184
result/cdn2_colo28.ns768.oracleGeneral.zst S4LRU(25:25:25:25) cache size      346, 5103806 req, miss ratio 0.4717, byte miss ratio 0.4717
result/cdn2_colo28.ns768.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1155, 5103806 req, miss ratio 0.1277, byte miss ratio 0.1277
result/cdn2_colo28.ns768.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2311, 5103806 req, miss ratio 0.0426, byte miss ratio 0.0426
result/cdn2_colo28.ns768.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4622, 5103806 req, miss ratio 0.0142, byte miss ratio 0.0142
result/cdn2_colo28.ns768.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9245, 5103806 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_colo28.ns768.oracleGeneral.zst TwoQ cache size       11, 5103806 req, miss ratio 0.9535, byte miss ratio 0.9535
result/cdn2_colo28.ns768.oracleGeneral.zst TwoQ cache size       34, 5103806 req, miss ratio 0.8927, byte miss ratio 0.8927
result/cdn2_colo28.ns768.oracleGeneral.zst TwoQ cache size      115, 5103806 req, miss ratio 0.7349, byte miss ratio 0.7349
result/cdn2_colo28.ns768.oracleGeneral.zst TwoQ cache size      346, 5103806 req, miss ratio 0.4984, byte miss ratio 0.4984
result/cdn2_colo28.ns768.oracleGeneral.zst TwoQ cache size     1155, 5103806 req, miss ratio 0.1519, byte miss ratio 0.1519
result/cdn2_colo28.ns768.oracleGeneral.zst TwoQ cache size     2311, 5103806 req, miss ratio 0.0485, byte miss ratio 0.0485
result/cdn2_colo28.ns768.oracleGeneral.zst TwoQ cache size     4622, 5103806 req, miss ratio 0.0170, byte miss ratio 0.0170
result/cdn2_colo28.ns768.oracleGeneral.zst TwoQ cache size     9245, 5103806 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO cache size       11, 5103806 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO cache size       34, 5103806 req, miss ratio 0.8695, byte miss ratio 0.8695
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO cache size      115, 5103806 req, miss ratio 0.7070, byte miss ratio 0.7070
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO cache size      346, 5103806 req, miss ratio 0.4693, byte miss ratio 0.4693
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO cache size     1155, 5103806 req, miss ratio 0.1217, byte miss ratio 0.1217
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO cache size     2311, 5103806 req, miss ratio 0.0415, byte miss ratio 0.0415
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO cache size     4622, 5103806 req, miss ratio 0.0139, byte miss ratio 0.0139
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO cache size     9245, 5103806 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO-d cache size       11, 5103806 req, miss ratio 0.9425, byte miss ratio 0.9425
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO-d cache size       34, 5103806 req, miss ratio 0.9274, byte miss ratio 0.9274
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO-d cache size      115, 5103806 req, miss ratio 0.8205, byte miss ratio 0.8205
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO-d cache size      346, 5103806 req, miss ratio 0.5369, byte miss ratio 0.5369
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO-d cache size     1155, 5103806 req, miss ratio 0.1404, byte miss ratio 0.1404
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO-d cache size     2311, 5103806 req, miss ratio 0.0434, byte miss ratio 0.0434
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO-d cache size     4622, 5103806 req, miss ratio 0.0141, byte miss ratio 0.0141
result/cdn2_colo28.ns768.oracleGeneral.zst S3FIFO-d cache size     9245, 5103806 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_colo28.ns768.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       11, 5103806 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns768.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       34, 5103806 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns768.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      115, 5103806 req, miss ratio 0.6976, byte miss ratio 0.6976
result/cdn2_colo28.ns768.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      346, 5103806 req, miss ratio 0.4467, byte miss ratio 0.4467
result/cdn2_colo28.ns768.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1155, 5103806 req, miss ratio 0.1127, byte miss ratio 0.1127
