result/cdn2_allcolo.ns312.oracleGeneral.zst TwoQ cache size     1255, 8780879 req, miss ratio 0.6893, byte miss ratio 0.6893
result/cdn2_allcolo.ns312.oracleGeneral.zst TwoQ cache size     3765, 8780879 req, miss ratio 0.5381, byte miss ratio 0.5381
result/cdn2_allcolo.ns312.oracleGeneral.zst TwoQ cache size    12552, 8780879 req, miss ratio 0.3043, byte miss ratio 0.3043
result/cdn2_allcolo.ns312.oracleGeneral.zst TwoQ cache size    25104, 8780879 req, miss ratio 0.1455, byte miss ratio 0.1455
result/cdn2_allcolo.ns312.oracleGeneral.zst TwoQ cache size    50208, 8780879 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns312.oracleGeneral.zst TwoQ cache size   100417, 8780879 req, miss ratio 0.0168, byte miss ratio 0.0168
result/cdn2_allcolo.ns312.oracleGeneral.zst S4LRU(25:25:25:25) cache size      125, 8780879 req, miss ratio 0.8794, byte miss ratio 0.8794
result/cdn2_allcolo.ns312.oracleGeneral.zst S4LRU(25:25:25:25) cache size      376, 8780879 req, miss ratio 0.8069, byte miss ratio 0.8069
result/cdn2_allcolo.ns312.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1255, 8780879 req, miss ratio 0.6824, byte miss ratio 0.6824
result/cdn2_allcolo.ns312.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3765, 8780879 req, miss ratio 0.5231, byte miss ratio 0.5231
result/cdn2_allcolo.ns312.oracleGeneral.zst S4LRU(25:25:25:25) cache size    12552, 8780879 req, miss ratio 0.2785, byte miss ratio 0.2785
result/cdn2_allcolo.ns312.oracleGeneral.zst S4LRU(25:25:25:25) cache size    25104, 8780879 req, miss ratio 0.1220, byte miss ratio 0.1220
result/cdn2_allcolo.ns312.oracleGeneral.zst S4LRU(25:25:25:25) cache size    50208, 8780879 req, miss ratio 0.0210, byte miss ratio 0.0210
result/cdn2_allcolo.ns312.oracleGeneral.zst S4LRU(25:25:25:25) cache size   100417, 8780879 req, miss ratio 0.0144, byte miss ratio 0.0144
result/cdn2_allcolo.ns312.oracleGeneral.zst S3FIFO-d cache size      125, 8780879 req, miss ratio 0.9191, byte miss ratio 0.9191
result/cdn2_allcolo.ns312.oracleGeneral.zst S3FIFO-d cache size      376, 8780879 req, miss ratio 0.8544, byte miss ratio 0.8544
result/cdn2_allcolo.ns312.oracleGeneral.zst S3FIFO-d cache size     1255, 8780879 req, miss ratio 0.7300, byte miss ratio 0.7300
result/cdn2_allcolo.ns312.oracleGeneral.zst S3FIFO-d cache size     3765, 8780879 req, miss ratio 0.5635, byte miss ratio 0.5635
result/cdn2_allcolo.ns312.oracleGeneral.zst S3FIFO-d cache size    12552, 8780879 req, miss ratio 0.3055, byte miss ratio 0.3055
result/cdn2_allcolo.ns312.oracleGeneral.zst S3FIFO-d cache size    25104, 8780879 req, miss ratio 0.1300, byte miss ratio 0.1300
result/cdn2_allcolo.ns312.oracleGeneral.zst S3FIFO-d cache size    50208, 8780879 req, miss ratio 0.0218, byte miss ratio 0.0218
result/cdn2_allcolo.ns312.oracleGeneral.zst S3FIFO-d cache size   100417, 8780879 req, miss ratio 0.0144, byte miss ratio 0.0144
result/cdn2_allcolo.ns312.oracleGeneral.zst S3FIFO cache size      125, 8780879 req, miss ratio 0.8725, byte miss ratio 0.8725
result/cdn2_allcolo.ns312.oracleGeneral.zst S3FIFO cache size      376, 8780879 req, miss ratio 0.7922, byte miss ratio 0.7922
result/cdn2_allcolo.ns312.oracleGeneral.zst S3FIFO cache size     1255, 8780879 req, miss ratio 0.6677, byte miss ratio 0.6677
result/cdn2_allcolo.ns312.oracleGeneral.zst S3FIFO cache size     3765, 8780879 req, miss ratio 0.5145, byte miss ratio 0.5145
result/cdn2_allcolo.ns312.oracleGeneral.zst S3FIFO cache size    12552, 8780879 req, miss ratio 0.2811, byte miss ratio 0.2811
result/cdn2_allcolo.ns312.oracleGeneral.zst S3FIFO cache size    25104, 8780879 req, miss ratio 0.1221, byte miss ratio 0.1221
result/cdn2_allcolo.ns312.oracleGeneral.zst S3FIFO cache size    50208, 8780879 req, miss ratio 0.0217, byte miss ratio 0.0217
result/cdn2_allcolo.ns312.oracleGeneral.zst S3FIFO cache size   100417, 8780879 req, miss ratio 0.0144, byte miss ratio 0.0144
result/cdn2_allcolo.ns312.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      125, 8780879 req, miss ratio 0.8744, byte miss ratio 0.8744
result/cdn2_allcolo.ns312.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      376, 8780879 req, miss ratio 0.7954, byte miss ratio 0.7954
result/cdn2_allcolo.ns312.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1255, 8780879 req, miss ratio 0.6681, byte miss ratio 0.6681
result/cdn2_allcolo.ns312.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3765, 8780879 req, miss ratio 0.5055, byte miss ratio 0.5055
result/cdn2_allcolo.ns312.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    12552, 8780879 req, miss ratio 0.2629, byte miss ratio 0.2629
result/cdn2_allcolo.ns312.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    25104, 8780879 req, miss ratio 0.1144, byte miss ratio 0.1144
result/cdn2_allcolo.ns312.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    50208, 8780879 req, miss ratio 0.0242, byte miss ratio 0.0242
result/cdn2_allcolo.ns312.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   100417, 8780879 req, miss ratio 0.0163, byte miss ratio 0.0163
result/cdn2_allcolo.ns312.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      125, 8780879 req, miss ratio 0.8747, byte miss ratio 0.8747
result/cdn2_allcolo.ns312.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      376, 8780879 req, miss ratio 0.7967, byte miss ratio 0.7967
result/cdn2_allcolo.ns312.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1255, 8780879 req, miss ratio 0.6674, byte miss ratio 0.6674
result/cdn2_allcolo.ns312.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3765, 8780879 req, miss ratio 0.5116, byte miss ratio 0.5116
result/cdn2_allcolo.ns312.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    12552, 8780879 req, miss ratio 0.2694, byte miss ratio 0.2694
result/cdn2_allcolo.ns312.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    25104, 8780879 req, miss ratio 0.1185, byte miss ratio 0.1185
result/cdn2_allcolo.ns312.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    50208, 8780879 req, miss ratio 0.0243, byte miss ratio 0.0243
result/cdn2_allcolo.ns312.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   100417, 8780879 req, miss ratio 0.0165, byte miss ratio 0.0165
