result/tencentBlock.ns22437.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    31081, 1611766 req, miss ratio 0.3032, byte miss ratio 0.3032
result/tencentBlock.ns22437.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    62163, 1611766 req, miss ratio 0.2203, byte miss ratio 0.2203
result/tencentBlock.ns22437.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   124326, 1611766 req, miss ratio 0.1171, byte miss ratio 0.1171
result/tencentBlock.ns22437.oracleGeneral.zst S4LRU(25:25:25:25) cache size      155, 1611766 req, miss ratio 0.3800, byte miss ratio 0.3800
result/tencentBlock.ns22437.oracleGeneral.zst S4LRU(25:25:25:25) cache size      466, 1611766 req, miss ratio 0.3600, byte miss ratio 0.3600
result/tencentBlock.ns22437.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1554, 1611766 req, miss ratio 0.3546, byte miss ratio 0.3546
result/tencentBlock.ns22437.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4662, 1611766 req, miss ratio 0.3533, byte miss ratio 0.3533
result/tencentBlock.ns22437.oracleGeneral.zst S4LRU(25:25:25:25) cache size    15540, 1611766 req, miss ratio 0.3355, byte miss ratio 0.3355
result/tencentBlock.ns22437.oracleGeneral.zst S4LRU(25:25:25:25) cache size    31081, 1611766 req, miss ratio 0.3118, byte miss ratio 0.3118
result/tencentBlock.ns22437.oracleGeneral.zst S4LRU(25:25:25:25) cache size    62163, 1611766 req, miss ratio 0.1821, byte miss ratio 0.1821
result/tencentBlock.ns22437.oracleGeneral.zst S4LRU(25:25:25:25) cache size   124326, 1611766 req, miss ratio 0.1054, byte miss ratio 0.1054
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO-d cache size      155, 1611766 req, miss ratio 0.3624, byte miss ratio 0.3624
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO-d cache size      466, 1611766 req, miss ratio 0.3560, byte miss ratio 0.3560
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO-d cache size     1554, 1611766 req, miss ratio 0.3535, byte miss ratio 0.3535
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO-d cache size     4662, 1611766 req, miss ratio 0.3528, byte miss ratio 0.3528
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO-d cache size    15540, 1611766 req, miss ratio 0.3035, byte miss ratio 0.3035
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO-d cache size    31081, 1611766 req, miss ratio 0.2537, byte miss ratio 0.2537
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO-d cache size    62163, 1611766 req, miss ratio 0.1573, byte miss ratio 0.1573
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO-d cache size   124326, 1611766 req, miss ratio 0.1110, byte miss ratio 0.1110
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO cache size      155, 1611766 req, miss ratio 0.3649, byte miss ratio 0.3649
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO cache size      466, 1611766 req, miss ratio 0.3563, byte miss ratio 0.3563
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO cache size     1554, 1611766 req, miss ratio 0.3535, byte miss ratio 0.3535
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO cache size     4662, 1611766 req, miss ratio 0.3528, byte miss ratio 0.3528
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO cache size    15540, 1611766 req, miss ratio 0.3036, byte miss ratio 0.3036
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO cache size    31081, 1611766 req, miss ratio 0.2524, byte miss ratio 0.2524
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO cache size    62163, 1611766 req, miss ratio 0.1550, byte miss ratio 0.1550
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO cache size   124326, 1611766 req, miss ratio 0.1110, byte miss ratio 0.1110
result/tencentBlock.ns22437.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      155, 1611766 req, miss ratio 0.6658, byte miss ratio 0.6658
result/tencentBlock.ns22437.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      466, 1611766 req, miss ratio 0.7103, byte miss ratio 0.7103
result/tencentBlock.ns22437.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1554, 1611766 req, miss ratio 0.3538, byte miss ratio 0.3538
result/tencentBlock.ns22437.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4662, 1611766 req, miss ratio 0.3245, byte miss ratio 0.3245
result/tencentBlock.ns22437.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    15540, 1611766 req, miss ratio 0.2632, byte miss ratio 0.2632
result/tencentBlock.ns22437.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    31081, 1611766 req, miss ratio 0.1943, byte miss ratio 0.1943
result/tencentBlock.ns22437.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    62163, 1611766 req, miss ratio 0.1221, byte miss ratio 0.1221
result/tencentBlock.ns22437.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   124326, 1611766 req, miss ratio 0.0993, byte miss ratio 0.0993
result/tencentBlock.ns22437.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      155, 1611766 req, miss ratio 0.3701, byte miss ratio 0.3701
result/tencentBlock.ns22437.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      466, 1611766 req, miss ratio 0.3626, byte miss ratio 0.3626
result/tencentBlock.ns22437.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1554, 1611766 req, miss ratio 0.3409, byte miss ratio 0.3409
result/tencentBlock.ns22437.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4662, 1611766 req, miss ratio 0.3201, byte miss ratio 0.3201
result/tencentBlock.ns22437.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    15540, 1611766 req, miss ratio 0.2691, byte miss ratio 0.2691
result/tencentBlock.ns22437.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    31081, 1611766 req, miss ratio 0.2035, byte miss ratio 0.2035
result/tencentBlock.ns22437.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    62163, 1611766 req, miss ratio 0.1288, byte miss ratio 0.1288
result/tencentBlock.ns22437.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   124326, 1611766 req, miss ratio 0.1054, byte miss ratio 0.1054
