result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst B-LRU cache size  1852293, 68896859 req, miss ratio 0.5241, byte miss ratio 0.5241
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst B-LRU cache size  3704586, 68896859 req, miss ratio 0.4090, byte miss ratio 0.4090
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst B-LRU cache size  7409172, 68896859 req, miss ratio 0.2714, byte miss ratio 0.2714
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S3FIFO cache size     9261, 68896859 req, miss ratio 0.4723, byte miss ratio 0.4723
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    27784, 68896859 req, miss ratio 0.4668, byte miss ratio 0.4668
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    92614, 68896859 req, miss ratio 0.4575, byte miss ratio 0.4575
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   277843, 68896859 req, miss ratio 0.4325, byte miss ratio 0.4325
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   926146, 68896859 req, miss ratio 0.3546, byte miss ratio 0.3546
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  1852293, 68896859 req, miss ratio 0.3017, byte miss ratio 0.3017
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  3704586, 68896859 req, miss ratio 0.2090, byte miss ratio 0.2090
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  7409172, 68896859 req, miss ratio 0.1370, byte miss ratio 0.1370
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size     9261, 68896859 req, miss ratio 0.4696, byte miss ratio 0.4696
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    27784, 68896859 req, miss ratio 0.4653, byte miss ratio 0.4653
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    92614, 68896859 req, miss ratio 0.4573, byte miss ratio 0.4573
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   277843, 68896859 req, miss ratio 0.4322, byte miss ratio 0.4322
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   926146, 68896859 req, miss ratio 0.3531, byte miss ratio 0.3531
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  1852293, 68896859 req, miss ratio 0.2940, byte miss ratio 0.2940
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  3704586, 68896859 req, miss ratio 0.2658, byte miss ratio 0.2658
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  7409172, 68896859 req, miss ratio 0.1370, byte miss ratio 0.1370
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     9261, 68896859 req, miss ratio 0.4886, byte miss ratio 0.4886
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    27784, 68896859 req, miss ratio 0.4801, byte miss ratio 0.4801
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    92614, 68896859 req, miss ratio 0.4640, byte miss ratio 0.4640
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   277843, 68896859 req, miss ratio 0.4372, byte miss ratio 0.4372
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   926146, 68896859 req, miss ratio 0.3630, byte miss ratio 0.3630
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1852293, 68896859 req, miss ratio 0.2957, byte miss ratio 0.2957
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  3704586, 68896859 req, miss ratio 0.1921, byte miss ratio 0.1921
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  7409172, 68896859 req, miss ratio 0.1390, byte miss ratio 0.1390
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     9261, 68896859 req, miss ratio 0.4778, byte miss ratio 0.4778
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    27784, 68896859 req, miss ratio 0.4701, byte miss ratio 0.4701
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    92614, 68896859 req, miss ratio 0.4578, byte miss ratio 0.4578
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   277843, 68896859 req, miss ratio 0.4311, byte miss ratio 0.4311
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   926146, 68896859 req, miss ratio 0.3655, byte miss ratio 0.3655
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1852293, 68896859 req, miss ratio 0.2997, byte miss ratio 0.2997
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  3704586, 68896859 req, miss ratio 0.1987, byte miss ratio 0.1987
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  7409172, 68896859 req, miss ratio 0.1519, byte miss ratio 0.1519
