result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst B-LRU cache size    13843, 113499024 req, miss ratio 0.2277, byte miss ratio 0.2277
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst B-LRU cache size    41530, 113499024 req, miss ratio 0.1328, byte miss ratio 0.1328
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst B-LRU cache size   138433, 113499024 req, miss ratio 0.0706, byte miss ratio 0.0706
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst B-LRU cache size   276867, 113499024 req, miss ratio 0.0498, byte miss ratio 0.0498
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst B-LRU cache size   553734, 113499024 req, miss ratio 0.0339, byte miss ratio 0.0339
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst B-LRU cache size  1107469, 113499024 req, miss ratio 0.0249, byte miss ratio 0.0249
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size     1384, 113499024 req, miss ratio 0.5275, byte miss ratio 0.5275
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size     4153, 113499024 req, miss ratio 0.3687, byte miss ratio 0.3687
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    13843, 113499024 req, miss ratio 0.2067, byte miss ratio 0.2067
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    41530, 113499024 req, miss ratio 0.1136, byte miss ratio 0.1136
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   138433, 113499024 req, miss ratio 0.0556, byte miss ratio 0.0556
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   276867, 113499024 req, miss ratio 0.0346, byte miss ratio 0.0346
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   553734, 113499024 req, miss ratio 0.0199, byte miss ratio 0.0199
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  1107469, 113499024 req, miss ratio 0.0129, byte miss ratio 0.0129
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO cache size     1384, 113499024 req, miss ratio 0.5181, byte miss ratio 0.5181
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO cache size     4153, 113499024 req, miss ratio 0.3645, byte miss ratio 0.3645
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    13843, 113499024 req, miss ratio 0.2100, byte miss ratio 0.2100
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    41530, 113499024 req, miss ratio 0.1145, byte miss ratio 0.1145
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   138433, 113499024 req, miss ratio 0.0556, byte miss ratio 0.0556
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   276867, 113499024 req, miss ratio 0.0345, byte miss ratio 0.0345
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   553734, 113499024 req, miss ratio 0.0199, byte miss ratio 0.0199
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  1107469, 113499024 req, miss ratio 0.0128, byte miss ratio 0.0128
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     1384, 113499024 req, miss ratio 0.5712, byte miss ratio 0.5712
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     4153, 113499024 req, miss ratio 0.4044, byte miss ratio 0.4044
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    13843, 113499024 req, miss ratio 0.3820, byte miss ratio 0.3820
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    41530, 113499024 req, miss ratio 0.2375, byte miss ratio 0.2375
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   138433, 113499024 req, miss ratio 0.0667, byte miss ratio 0.0667
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   276867, 113499024 req, miss ratio 0.0372, byte miss ratio 0.0372
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   553734, 113499024 req, miss ratio 0.0207, byte miss ratio 0.0207
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1107469, 113499024 req, miss ratio 0.0134, byte miss ratio 0.0134
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     1384, 113499024 req, miss ratio 0.5390, byte miss ratio 0.5390
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     4153, 113499024 req, miss ratio 0.3906, byte miss ratio 0.3906
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    13843, 113499024 req, miss ratio 0.2328, byte miss ratio 0.2328
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    41530, 113499024 req, miss ratio 0.1259, byte miss ratio 0.1259
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   138433, 113499024 req, miss ratio 0.0674, byte miss ratio 0.0674
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   276867, 113499024 req, miss ratio 0.0346, byte miss ratio 0.0346
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   553734, 113499024 req, miss ratio 0.0203, byte miss ratio 0.0203
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1107469, 113499024 req, miss ratio 0.0135, byte miss ratio 0.0135
