result/io_traces.ns372.oracleGeneral.zst S3FIFO-d-1 cache size   390094, 18400000 req, miss ratio 0.0583, byte miss ratio 0.0583
result/io_traces.ns372.oracleGeneral.zst S3FIFO-d-1 cache size   780188, 18400000 req, miss ratio 0.0537, byte miss ratio 0.0537
result/io_traces.ns372.oracleGeneral.zst LRB cache size      975, 18400000 req, miss ratio 0.6372, byte miss ratio 0.6372
result/io_traces.ns372.oracleGeneral.zst LRB cache size     2925, 18400000 req, miss ratio 0.5906, byte miss ratio 0.5906
result/io_traces.ns372.oracleGeneral.zst LRB cache size     9752, 18400000 req, miss ratio 0.4777, byte miss ratio 0.4777
result/io_traces.ns372.oracleGeneral.zst LRB cache size    29257, 18400000 req, miss ratio 0.1848, byte miss ratio 0.1848
result/io_traces.ns372.oracleGeneral.zst LRB cache size    97523, 18400000 req, miss ratio 0.0707, byte miss ratio 0.0707
result/io_traces.ns372.oracleGeneral.zst LRB cache size   195047, 18400000 req, miss ratio 0.0643, byte miss ratio 0.0643
result/io_traces.ns372.oracleGeneral.zst LRB cache size   390094, 18400000 req, miss ratio 0.0561, byte miss ratio 0.0561
result/io_traces.ns372.oracleGeneral.zst LRB cache size   780188, 18400000 req, miss ratio 0.0538, byte miss ratio 0.0538
result/io_traces.ns372.oracleGeneral.zst S4LRU(25:25:25:25) cache size      975, 18400000 req, miss ratio 0.6506, byte miss ratio 0.6506
result/io_traces.ns372.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2925, 18400000 req, miss ratio 0.5900, byte miss ratio 0.5900
result/io_traces.ns372.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9752, 18400000 req, miss ratio 0.5726, byte miss ratio 0.5726
result/io_traces.ns372.oracleGeneral.zst S4LRU(25:25:25:25) cache size    29257, 18400000 req, miss ratio 0.3834, byte miss ratio 0.3834
result/io_traces.ns372.oracleGeneral.zst S4LRU(25:25:25:25) cache size    97523, 18400000 req, miss ratio 0.0743, byte miss ratio 0.0743
result/io_traces.ns372.oracleGeneral.zst S4LRU(25:25:25:25) cache size   195047, 18400000 req, miss ratio 0.0691, byte miss ratio 0.0691
result/io_traces.ns372.oracleGeneral.zst S4LRU(25:25:25:25) cache size   390094, 18400000 req, miss ratio 0.0589, byte miss ratio 0.0589
result/io_traces.ns372.oracleGeneral.zst S4LRU(25:25:25:25) cache size   780188, 18400000 req, miss ratio 0.0538, byte miss ratio 0.0538
result/io_traces.ns372.oracleGeneral.zst B-LRU cache size      975, 18400000 req, miss ratio 0.6852, byte miss ratio 0.6852
result/io_traces.ns372.oracleGeneral.zst B-LRU cache size     2925, 18400000 req, miss ratio 0.6610, byte miss ratio 0.6610
result/io_traces.ns372.oracleGeneral.zst B-LRU cache size     9752, 18400000 req, miss ratio 0.6203, byte miss ratio 0.6203
result/io_traces.ns372.oracleGeneral.zst B-LRU cache size    29257, 18400000 req, miss ratio 0.3126, byte miss ratio 0.3126
