result/passbird_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  2409211, 496711804 req, miss ratio 0.0138, byte miss ratio 0.0138
result/passbird_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  4818422, 496711804 req, miss ratio 0.0125, byte miss ratio 0.0125
result/passbird_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     6023, 496711804 req, miss ratio 0.0900, byte miss ratio 0.0900
result/passbird_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    18069, 496711804 req, miss ratio 0.0588, byte miss ratio 0.0588
result/passbird_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    60230, 496711804 req, miss ratio 0.0372, byte miss ratio 0.0372
result/passbird_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   180690, 496711804 req, miss ratio 0.0237, byte miss ratio 0.0237
result/passbird_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   602302, 496711804 req, miss ratio 0.0171, byte miss ratio 0.0171
result/passbird_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1204605, 496711804 req, miss ratio 0.0145, byte miss ratio 0.0145
result/passbird_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  2409211, 496711804 req, miss ratio 0.0133, byte miss ratio 0.0133
result/passbird_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  4818422, 496711804 req, miss ratio 0.0126, byte miss ratio 0.0126
