result/cdn2_colo28.ns172.oracleGeneral.zst TwoQ cache size    30810, 31583756 req, miss ratio 0.9803, byte miss ratio 0.9803
result/cdn2_colo28.ns172.oracleGeneral.zst TwoQ cache size    92430, 31583756 req, miss ratio 0.9800, byte miss ratio 0.9800
result/cdn2_colo28.ns172.oracleGeneral.zst TwoQ cache size   308102, 31583756 req, miss ratio 0.9796, byte miss ratio 0.9796
result/cdn2_colo28.ns172.oracleGeneral.zst TwoQ cache size   924306, 31583756 req, miss ratio 0.9791, byte miss ratio 0.9791
result/cdn2_colo28.ns172.oracleGeneral.zst TwoQ cache size  3081021, 31583756 req, miss ratio 0.9782, byte miss ratio 0.9782
result/cdn2_colo28.ns172.oracleGeneral.zst TwoQ cache size  6162043, 31583756 req, miss ratio 0.9774, byte miss ratio 0.9774
result/cdn2_colo28.ns172.oracleGeneral.zst TwoQ cache size 12324087, 31583756 req, miss ratio 0.9766, byte miss ratio 0.9766
result/cdn2_colo28.ns172.oracleGeneral.zst TwoQ cache size 24648175, 31583756 req, miss ratio 0.9757, byte miss ratio 0.9757
result/cdn2_colo28.ns172.oracleGeneral.zst B-LRU cache size    30810, 31583756 req, miss ratio 0.9791, byte miss ratio 0.9791
result/cdn2_colo28.ns172.oracleGeneral.zst B-LRU cache size    92430, 31583756 req, miss ratio 0.9786, byte miss ratio 0.9786
result/cdn2_colo28.ns172.oracleGeneral.zst B-LRU cache size   308102, 31583756 req, miss ratio 0.9786, byte miss ratio 0.9786
result/cdn2_colo28.ns172.oracleGeneral.zst B-LRU cache size   924306, 31583756 req, miss ratio 0.9786, byte miss ratio 0.9786
result/cdn2_colo28.ns172.oracleGeneral.zst B-LRU cache size  3081021, 31583756 req, miss ratio 0.9786, byte miss ratio 0.9786
result/cdn2_colo28.ns172.oracleGeneral.zst B-LRU cache size  6162043, 31583756 req, miss ratio 0.9786, byte miss ratio 0.9786
result/cdn2_colo28.ns172.oracleGeneral.zst B-LRU cache size 12324087, 31583756 req, miss ratio 0.9786, byte miss ratio 0.9786
result/cdn2_colo28.ns172.oracleGeneral.zst B-LRU cache size 24648175, 31583756 req, miss ratio 0.9786, byte miss ratio 0.9786
result/cdn2_colo28.ns172.oracleGeneral.zst S4LRU(25:25:25:25) cache size    30810, 31583756 req, miss ratio 0.9804, byte miss ratio 0.9804
result/cdn2_colo28.ns172.oracleGeneral.zst S4LRU(25:25:25:25) cache size    92430, 31583756 req, miss ratio 0.9801, byte miss ratio 0.9801
result/cdn2_colo28.ns172.oracleGeneral.zst S4LRU(25:25:25:25) cache size   308102, 31583756 req, miss ratio 0.9797, byte miss ratio 0.9797
result/cdn2_colo28.ns172.oracleGeneral.zst S4LRU(25:25:25:25) cache size   924306, 31583756 req, miss ratio 0.9792, byte miss ratio 0.9792
result/cdn2_colo28.ns172.oracleGeneral.zst S4LRU(25:25:25:25) cache size  3081021, 31583756 req, miss ratio 0.9782, byte miss ratio 0.9782
result/cdn2_colo28.ns172.oracleGeneral.zst S4LRU(25:25:25:25) cache size  6162043, 31583756 req, miss ratio 0.9774, byte miss ratio 0.9774
result/cdn2_colo28.ns172.oracleGeneral.zst S4LRU(25:25:25:25) cache size 12324087, 31583756 req, miss ratio 0.9763, byte miss ratio 0.9763
result/cdn2_colo28.ns172.oracleGeneral.zst S4LRU(25:25:25:25) cache size 24648175, 31583756 req, miss ratio 0.9755, byte miss ratio 0.9755
result/cdn2_colo28.ns172.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    30810, 31583756 req, miss ratio 0.9811, byte miss ratio 0.9811
result/cdn2_colo28.ns172.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    92430, 31583756 req, miss ratio 0.9804, byte miss ratio 0.9804
result/cdn2_colo28.ns172.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   308102, 31583756 req, miss ratio 0.9798, byte miss ratio 0.9798
result/cdn2_colo28.ns172.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   924306, 31583756 req, miss ratio 0.9790, byte miss ratio 0.9790
result/cdn2_colo28.ns172.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  3081021, 31583756 req, miss ratio 0.9780, byte miss ratio 0.9780
result/cdn2_colo28.ns172.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  6162043, 31583756 req, miss ratio 0.9771, byte miss ratio 0.9771
result/cdn2_colo28.ns172.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size 12324087, 31583756 req, miss ratio 0.9761, byte miss ratio 0.9761
result/cdn2_colo28.ns172.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size 24648175, 31583756 req, miss ratio 0.9755, byte miss ratio 0.9755
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO cache size    30810, 31583756 req, miss ratio 0.9801, byte miss ratio 0.9801
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO cache size    92430, 31583756 req, miss ratio 0.9798, byte miss ratio 0.9798
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO cache size   308102, 31583756 req, miss ratio 0.9794, byte miss ratio 0.9794
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO cache size   924306, 31583756 req, miss ratio 0.9789, byte miss ratio 0.9789
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO cache size  3081021, 31583756 req, miss ratio 0.9780, byte miss ratio 0.9780
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO cache size  6162043, 31583756 req, miss ratio 0.9772, byte miss ratio 0.9772
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO cache size 12324087, 31583756 req, miss ratio 0.9764, byte miss ratio 0.9764
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO cache size 24648175, 31583756 req, miss ratio 0.9756, byte miss ratio 0.9756
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO-d cache size    30810, 31583756 req, miss ratio 0.9801, byte miss ratio 0.9801
