result/cdn1_sjc.ns397.oracleGeneral.bin.zst TwoQ cache size      680, 21059890 req, miss ratio 0.8841, byte miss ratio 0.8841
result/cdn1_sjc.ns397.oracleGeneral.bin.zst TwoQ cache size     2042, 21059890 req, miss ratio 0.7412, byte miss ratio 0.7412
result/cdn1_sjc.ns397.oracleGeneral.bin.zst TwoQ cache size     6809, 21059890 req, miss ratio 0.4117, byte miss ratio 0.4117
result/cdn1_sjc.ns397.oracleGeneral.bin.zst TwoQ cache size    13618, 21059890 req, miss ratio 0.1875, byte miss ratio 0.1875
result/cdn1_sjc.ns397.oracleGeneral.bin.zst TwoQ cache size    27237, 21059890 req, miss ratio 0.0442, byte miss ratio 0.0442
result/cdn1_sjc.ns397.oracleGeneral.bin.zst TwoQ cache size    54474, 21059890 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn1_sjc.ns397.oracleGeneral.bin.zst B-LRU cache size       68, 21059890 req, miss ratio 0.9627, byte miss ratio 0.9627
result/cdn1_sjc.ns397.oracleGeneral.bin.zst B-LRU cache size      204, 21059890 req, miss ratio 0.9511, byte miss ratio 0.9511
result/cdn1_sjc.ns397.oracleGeneral.bin.zst B-LRU cache size      680, 21059890 req, miss ratio 0.9125, byte miss ratio 0.9125
result/cdn1_sjc.ns397.oracleGeneral.bin.zst B-LRU cache size     2042, 21059890 req, miss ratio 0.8048, byte miss ratio 0.8048
result/cdn1_sjc.ns397.oracleGeneral.bin.zst B-LRU cache size     6809, 21059890 req, miss ratio 0.4657, byte miss ratio 0.4657
result/cdn1_sjc.ns397.oracleGeneral.bin.zst B-LRU cache size    13618, 21059890 req, miss ratio 0.1926, byte miss ratio 0.1926
result/cdn1_sjc.ns397.oracleGeneral.bin.zst B-LRU cache size    27237, 21059890 req, miss ratio 0.0394, byte miss ratio 0.0394
result/cdn1_sjc.ns397.oracleGeneral.bin.zst B-LRU cache size    54474, 21059890 req, miss ratio 0.0066, byte miss ratio 0.0066
result/cdn1_sjc.ns397.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size       68, 21059890 req, miss ratio 0.9627, byte miss ratio 0.9627
result/cdn1_sjc.ns397.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      204, 21059890 req, miss ratio 0.9502, byte miss ratio 0.9502
result/cdn1_sjc.ns397.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      680, 21059890 req, miss ratio 0.9114, byte miss ratio 0.9114
result/cdn1_sjc.ns397.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     2042, 21059890 req, miss ratio 0.7916, byte miss ratio 0.7916
result/cdn1_sjc.ns397.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     6809, 21059890 req, miss ratio 0.4407, byte miss ratio 0.4407
result/cdn1_sjc.ns397.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    13618, 21059890 req, miss ratio 0.1942, byte miss ratio 0.1942
result/cdn1_sjc.ns397.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    27237, 21059890 req, miss ratio 0.0469, byte miss ratio 0.0469
result/cdn1_sjc.ns397.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    54474, 21059890 req, miss ratio 0.0069, byte miss ratio 0.0069
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO cache size       68, 21059890 req, miss ratio 0.9559, byte miss ratio 0.9559
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO cache size      204, 21059890 req, miss ratio 0.9365, byte miss ratio 0.9365
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO cache size      680, 21059890 req, miss ratio 0.8754, byte miss ratio 0.8754
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO cache size     2042, 21059890 req, miss ratio 0.7182, byte miss ratio 0.7182
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO cache size     6809, 21059890 req, miss ratio 0.3729, byte miss ratio 0.3729
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO cache size    13618, 21059890 req, miss ratio 0.1570, byte miss ratio 0.1570
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO cache size    27237, 21059890 req, miss ratio 0.0335, byte miss ratio 0.0335
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO cache size    54474, 21059890 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO-d cache size       68, 21059890 req, miss ratio 0.9620, byte miss ratio 0.9620
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO-d cache size      204, 21059890 req, miss ratio 0.9504, byte miss ratio 0.9504
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO-d cache size      680, 21059890 req, miss ratio 0.9125, byte miss ratio 0.9125
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO-d cache size     2042, 21059890 req, miss ratio 0.8097, byte miss ratio 0.8097
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO-d cache size     6809, 21059890 req, miss ratio 0.4394, byte miss ratio 0.4394
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO-d cache size    13618, 21059890 req, miss ratio 0.1751, byte miss ratio 0.1751
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO-d cache size    27237, 21059890 req, miss ratio 0.0346, byte miss ratio 0.0346
result/cdn1_sjc.ns397.oracleGeneral.bin.zst S3FIFO-d cache size    54474, 21059890 req, miss ratio 0.0044, byte miss ratio 0.0044
result/cdn1_sjc.ns397.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size       68, 21059890 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_sjc.ns397.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      204, 21059890 req, miss ratio 0.9386, byte miss ratio 0.9386
result/cdn1_sjc.ns397.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      680, 21059890 req, miss ratio 0.8677, byte miss ratio 0.8677
result/cdn1_sjc.ns397.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     2042, 21059890 req, miss ratio 0.6939, byte miss ratio 0.6939
result/cdn1_sjc.ns397.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     6809, 21059890 req, miss ratio 0.3387, byte miss ratio 0.3387
result/cdn1_sjc.ns397.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    13618, 21059890 req, miss ratio 0.1374, byte miss ratio 0.1374
result/cdn1_sjc.ns397.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    27237, 21059890 req, miss ratio 0.0277, byte miss ratio 0.0277
result/cdn1_sjc.ns397.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    54474, 21059890 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn1_sjc.ns397.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size       68, 21059890 req, miss ratio 0.9570, byte miss ratio 0.9570
result/cdn1_sjc.ns397.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      204, 21059890 req, miss ratio 0.9370, byte miss ratio 0.9370
result/cdn1_sjc.ns397.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      680, 21059890 req, miss ratio 0.8717, byte miss ratio 0.8717
result/cdn1_sjc.ns397.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     2042, 21059890 req, miss ratio 0.7051, byte miss ratio 0.7051
result/cdn1_sjc.ns397.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     6809, 21059890 req, miss ratio 0.3514, byte miss ratio 0.3514
result/cdn1_sjc.ns397.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    13618, 21059890 req, miss ratio 0.1464, byte miss ratio 0.1464
result/cdn1_sjc.ns397.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    27237, 21059890 req, miss ratio 0.0322, byte miss ratio 0.0322
result/cdn1_sjc.ns397.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    54474, 21059890 req, miss ratio 0.0043, byte miss ratio 0.0043
