result/io_traces.ns433.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7012, 5400000 req, miss ratio 0.2047, byte miss ratio 0.2047
result/io_traces.ns433.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    23376, 5400000 req, miss ratio 0.1328, byte miss ratio 0.1328
result/io_traces.ns433.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    46752, 5400000 req, miss ratio 0.1132, byte miss ratio 0.1132
result/io_traces.ns433.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    93504, 5400000 req, miss ratio 0.0534, byte miss ratio 0.0534
result/io_traces.ns433.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   187008, 5400000 req, miss ratio 0.0454, byte miss ratio 0.0454
result/io_traces.ns433.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      233, 5400000 req, miss ratio 0.4204, byte miss ratio 0.4204
result/io_traces.ns433.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      701, 5400000 req, miss ratio 0.2938, byte miss ratio 0.2938
result/io_traces.ns433.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2337, 5400000 req, miss ratio 0.2200, byte miss ratio 0.2200
result/io_traces.ns433.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7012, 5400000 req, miss ratio 0.2001, byte miss ratio 0.2001
result/io_traces.ns433.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    23376, 5400000 req, miss ratio 0.1355, byte miss ratio 0.1355
result/io_traces.ns433.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    46752, 5400000 req, miss ratio 0.0632, byte miss ratio 0.0632
result/io_traces.ns433.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    93504, 5400000 req, miss ratio 0.0532, byte miss ratio 0.0532
result/io_traces.ns433.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   187008, 5400000 req, miss ratio 0.0472, byte miss ratio 0.0472
