result/io_traces.ns716.oracleGeneral.zst B-LRU cache size    45246, 15600000 req, miss ratio 0.1071, byte miss ratio 0.1071
result/io_traces.ns716.oracleGeneral.zst B-LRU cache size    90492, 15600000 req, miss ratio 0.0479, byte miss ratio 0.0479
result/io_traces.ns716.oracleGeneral.zst B-LRU cache size   180984, 15600000 req, miss ratio 0.0462, byte miss ratio 0.0462
result/io_traces.ns716.oracleGeneral.zst B-LRU cache size   361969, 15600000 req, miss ratio 0.0462, byte miss ratio 0.0462
result/io_traces.ns716.oracleGeneral.zst TwoQ cache size      452, 15600000 req, miss ratio 0.2766, byte miss ratio 0.2766
result/io_traces.ns716.oracleGeneral.zst TwoQ cache size     1357, 15600000 req, miss ratio 0.2676, byte miss ratio 0.2676
result/io_traces.ns716.oracleGeneral.zst TwoQ cache size     4524, 15600000 req, miss ratio 0.2450, byte miss ratio 0.2450
result/io_traces.ns716.oracleGeneral.zst TwoQ cache size    13573, 15600000 req, miss ratio 0.1770, byte miss ratio 0.1770
result/io_traces.ns716.oracleGeneral.zst TwoQ cache size    45246, 15600000 req, miss ratio 0.0820, byte miss ratio 0.0820
result/io_traces.ns716.oracleGeneral.zst TwoQ cache size    90492, 15600000 req, miss ratio 0.0440, byte miss ratio 0.0440
result/io_traces.ns716.oracleGeneral.zst TwoQ cache size   180984, 15600000 req, miss ratio 0.0344, byte miss ratio 0.0344
result/io_traces.ns716.oracleGeneral.zst TwoQ cache size   361969, 15600000 req, miss ratio 0.0310, byte miss ratio 0.0310
result/io_traces.ns716.oracleGeneral.zst S3FIFO cache size      452, 15600000 req, miss ratio 0.2751, byte miss ratio 0.2751
result/io_traces.ns716.oracleGeneral.zst S3FIFO cache size     1357, 15600000 req, miss ratio 0.2645, byte miss ratio 0.2645
result/io_traces.ns716.oracleGeneral.zst S3FIFO cache size     4524, 15600000 req, miss ratio 0.2470, byte miss ratio 0.2470
result/io_traces.ns716.oracleGeneral.zst S3FIFO cache size    13573, 15600000 req, miss ratio 0.1838, byte miss ratio 0.1838
result/io_traces.ns716.oracleGeneral.zst S3FIFO cache size    45246, 15600000 req, miss ratio 0.0807, byte miss ratio 0.0807
result/io_traces.ns716.oracleGeneral.zst S3FIFO cache size    90492, 15600000 req, miss ratio 0.0432, byte miss ratio 0.0432
result/io_traces.ns716.oracleGeneral.zst S3FIFO cache size   180984, 15600000 req, miss ratio 0.0339, byte miss ratio 0.0339
result/io_traces.ns716.oracleGeneral.zst S3FIFO cache size   361969, 15600000 req, miss ratio 0.0291, byte miss ratio 0.0291
result/io_traces.ns716.oracleGeneral.zst S3FIFO-d cache size      452, 15600000 req, miss ratio 0.2738, byte miss ratio 0.2738
result/io_traces.ns716.oracleGeneral.zst S3FIFO-d cache size     1357, 15600000 req, miss ratio 0.2632, byte miss ratio 0.2632
result/io_traces.ns716.oracleGeneral.zst S3FIFO-d cache size     4524, 15600000 req, miss ratio 0.2433, byte miss ratio 0.2433
result/io_traces.ns716.oracleGeneral.zst S3FIFO-d cache size    13573, 15600000 req, miss ratio 0.1830, byte miss ratio 0.1830
result/io_traces.ns716.oracleGeneral.zst S3FIFO-d cache size    45246, 15600000 req, miss ratio 0.0785, byte miss ratio 0.0785
result/io_traces.ns716.oracleGeneral.zst S3FIFO-d cache size    90492, 15600000 req, miss ratio 0.0436, byte miss ratio 0.0436
result/io_traces.ns716.oracleGeneral.zst S3FIFO-d cache size   180984, 15600000 req, miss ratio 0.0333, byte miss ratio 0.0333
result/io_traces.ns716.oracleGeneral.zst S3FIFO-d cache size   361969, 15600000 req, miss ratio 0.0291, byte miss ratio 0.0291
result/io_traces.ns716.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      452, 15600000 req, miss ratio 0.3078, byte miss ratio 0.3078
result/io_traces.ns716.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1357, 15600000 req, miss ratio 0.2903, byte miss ratio 0.2903
result/io_traces.ns716.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4524, 15600000 req, miss ratio 0.2527, byte miss ratio 0.2527
result/io_traces.ns716.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    13573, 15600000 req, miss ratio 0.1802, byte miss ratio 0.1802
result/io_traces.ns716.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    45246, 15600000 req, miss ratio 0.0737, byte miss ratio 0.0737
result/io_traces.ns716.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    90492, 15600000 req, miss ratio 0.0516, byte miss ratio 0.0516
result/io_traces.ns716.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   180984, 15600000 req, miss ratio 0.0453, byte miss ratio 0.0453
result/io_traces.ns716.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   361969, 15600000 req, miss ratio 0.0339, byte miss ratio 0.0339
result/io_traces.ns716.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      452, 15600000 req, miss ratio 0.2904, byte miss ratio 0.2904
result/io_traces.ns716.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1357, 15600000 req, miss ratio 0.2741, byte miss ratio 0.2741
result/io_traces.ns716.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4524, 15600000 req, miss ratio 0.2382, byte miss ratio 0.2382
result/io_traces.ns716.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    13573, 15600000 req, miss ratio 0.1765, byte miss ratio 0.1765
result/io_traces.ns716.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    45246, 15600000 req, miss ratio 0.0748, byte miss ratio 0.0748
result/io_traces.ns716.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    90492, 15600000 req, miss ratio 0.0539, byte miss ratio 0.0539
result/io_traces.ns716.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   180984, 15600000 req, miss ratio 0.0422, byte miss ratio 0.0422
result/io_traces.ns716.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   361969, 15600000 req, miss ratio 0.0341, byte miss ratio 0.0341
