result/io_traces.ns537.oracleGeneral.zst B-LRU cache size     4722, 2200000 req, miss ratio 0.4946, byte miss ratio 0.4946
result/io_traces.ns537.oracleGeneral.zst B-LRU cache size    15742, 2200000 req, miss ratio 0.4314, byte miss ratio 0.4314
result/io_traces.ns537.oracleGeneral.zst B-LRU cache size    31484, 2200000 req, miss ratio 0.3080, byte miss ratio 0.3080
result/io_traces.ns537.oracleGeneral.zst B-LRU cache size    62968, 2200000 req, miss ratio 0.1760, byte miss ratio 0.1760
result/io_traces.ns537.oracleGeneral.zst B-LRU cache size   125937, 2200000 req, miss ratio 0.1388, byte miss ratio 0.1388
result/io_traces.ns537.oracleGeneral.zst S3FIFO cache size      157, 2200000 req, miss ratio 0.5001, byte miss ratio 0.5001
result/io_traces.ns537.oracleGeneral.zst S3FIFO cache size      472, 2200000 req, miss ratio 0.4884, byte miss ratio 0.4884
result/io_traces.ns537.oracleGeneral.zst S3FIFO cache size     1574, 2200000 req, miss ratio 0.4835, byte miss ratio 0.4835
result/io_traces.ns537.oracleGeneral.zst S3FIFO cache size     4722, 2200000 req, miss ratio 0.4286, byte miss ratio 0.4286
result/io_traces.ns537.oracleGeneral.zst S3FIFO cache size    15742, 2200000 req, miss ratio 0.3338, byte miss ratio 0.3338
result/io_traces.ns537.oracleGeneral.zst S3FIFO cache size    31484, 2200000 req, miss ratio 0.2499, byte miss ratio 0.2499
result/io_traces.ns537.oracleGeneral.zst S3FIFO cache size    62968, 2200000 req, miss ratio 0.1209, byte miss ratio 0.1209
result/io_traces.ns537.oracleGeneral.zst S3FIFO cache size   125937, 2200000 req, miss ratio 0.0750, byte miss ratio 0.0750
result/io_traces.ns537.oracleGeneral.zst S3FIFO-d cache size      157, 2200000 req, miss ratio 0.4932, byte miss ratio 0.4932
result/io_traces.ns537.oracleGeneral.zst S3FIFO-d cache size      472, 2200000 req, miss ratio 0.4883, byte miss ratio 0.4883
result/io_traces.ns537.oracleGeneral.zst S3FIFO-d cache size     1574, 2200000 req, miss ratio 0.4834, byte miss ratio 0.4834
result/io_traces.ns537.oracleGeneral.zst S3FIFO-d cache size     4722, 2200000 req, miss ratio 0.4287, byte miss ratio 0.4287
result/io_traces.ns537.oracleGeneral.zst S3FIFO-d cache size    15742, 2200000 req, miss ratio 0.3305, byte miss ratio 0.3305
result/io_traces.ns537.oracleGeneral.zst S3FIFO-d cache size    31484, 2200000 req, miss ratio 0.2589, byte miss ratio 0.2589
result/io_traces.ns537.oracleGeneral.zst S3FIFO-d cache size    62968, 2200000 req, miss ratio 0.1206, byte miss ratio 0.1206
result/io_traces.ns537.oracleGeneral.zst S3FIFO-d cache size   125937, 2200000 req, miss ratio 0.0750, byte miss ratio 0.0750
result/io_traces.ns537.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      157, 2200000 req, miss ratio 0.6222, byte miss ratio 0.6222
result/io_traces.ns537.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      472, 2200000 req, miss ratio 0.5673, byte miss ratio 0.5673
result/io_traces.ns537.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1574, 2200000 req, miss ratio 0.4647, byte miss ratio 0.4647
result/io_traces.ns537.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4722, 2200000 req, miss ratio 0.4142, byte miss ratio 0.4142
result/io_traces.ns537.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    15742, 2200000 req, miss ratio 0.3171, byte miss ratio 0.3171
result/io_traces.ns537.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    31484, 2200000 req, miss ratio 0.2113, byte miss ratio 0.2113
result/io_traces.ns537.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    62968, 2200000 req, miss ratio 0.1199, byte miss ratio 0.1199
result/io_traces.ns537.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   125937, 2200000 req, miss ratio 0.0797, byte miss ratio 0.0797
result/io_traces.ns537.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      157, 2200000 req, miss ratio 0.5146, byte miss ratio 0.5146
result/io_traces.ns537.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      472, 2200000 req, miss ratio 0.4657, byte miss ratio 0.4657
result/io_traces.ns537.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1574, 2200000 req, miss ratio 0.4403, byte miss ratio 0.4403
result/io_traces.ns537.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4722, 2200000 req, miss ratio 0.4113, byte miss ratio 0.4113
result/io_traces.ns537.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    15742, 2200000 req, miss ratio 0.3262, byte miss ratio 0.3262
result/io_traces.ns537.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    31484, 2200000 req, miss ratio 0.2129, byte miss ratio 0.2129
result/io_traces.ns537.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    62968, 2200000 req, miss ratio 0.1240, byte miss ratio 0.1240
result/io_traces.ns537.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   125937, 2200000 req, miss ratio 0.0871, byte miss ratio 0.0871
