result/io_traces.ns232.oracleGeneral.zst LRB cache size   162621, 18800000 req, miss ratio 0.1025, byte miss ratio 0.1025
result/io_traces.ns232.oracleGeneral.zst LRB cache size   325242, 18800000 req, miss ratio 0.0981, byte miss ratio 0.0981
result/io_traces.ns232.oracleGeneral.zst LRB cache size   650484, 18800000 req, miss ratio 0.0932, byte miss ratio 0.0932
result/io_traces.ns232.oracleGeneral.zst LRB cache size  1300969, 18800000 req, miss ratio 0.0871, byte miss ratio 0.0871
result/io_traces.ns232.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1626, 18800000 req, miss ratio 0.1221, byte miss ratio 0.1221
result/io_traces.ns232.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4878, 18800000 req, miss ratio 0.1173, byte miss ratio 0.1173
result/io_traces.ns232.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    16262, 18800000 req, miss ratio 0.1139, byte miss ratio 0.1139
result/io_traces.ns232.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    48786, 18800000 req, miss ratio 0.1102, byte miss ratio 0.1102
result/io_traces.ns232.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   162621, 18800000 req, miss ratio 0.1036, byte miss ratio 0.1036
result/io_traces.ns232.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   325242, 18800000 req, miss ratio 0.0974, byte miss ratio 0.0974
result/io_traces.ns232.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   650484, 18800000 req, miss ratio 0.0921, byte miss ratio 0.0921
result/io_traces.ns232.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1300969, 18800000 req, miss ratio 0.0871, byte miss ratio 0.0871
result/io_traces.ns232.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1626, 18800000 req, miss ratio 0.1166, byte miss ratio 0.1166
result/io_traces.ns232.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4878, 18800000 req, miss ratio 0.1152, byte miss ratio 0.1152
result/io_traces.ns232.oracleGeneral.zst S4LRU(25:25:25:25) cache size    16262, 18800000 req, miss ratio 0.1134, byte miss ratio 0.1134
result/io_traces.ns232.oracleGeneral.zst S4LRU(25:25:25:25) cache size    48786, 18800000 req, miss ratio 0.1098, byte miss ratio 0.1098
result/io_traces.ns232.oracleGeneral.zst S4LRU(25:25:25:25) cache size   162621, 18800000 req, miss ratio 0.1014, byte miss ratio 0.1014
result/io_traces.ns232.oracleGeneral.zst S4LRU(25:25:25:25) cache size   325242, 18800000 req, miss ratio 0.0984, byte miss ratio 0.0984
result/io_traces.ns232.oracleGeneral.zst S4LRU(25:25:25:25) cache size   650484, 18800000 req, miss ratio 0.0917, byte miss ratio 0.0917
result/io_traces.ns232.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1300969, 18800000 req, miss ratio 0.0870, byte miss ratio 0.0870
result/io_traces.ns232.oracleGeneral.zst B-LRU cache size     1626, 18800000 req, miss ratio 0.1197, byte miss ratio 0.1197
result/io_traces.ns232.oracleGeneral.zst B-LRU cache size     4878, 18800000 req, miss ratio 0.1173, byte miss ratio 0.1173
result/io_traces.ns232.oracleGeneral.zst B-LRU cache size    16262, 18800000 req, miss ratio 0.1136, byte miss ratio 0.1136
result/io_traces.ns232.oracleGeneral.zst B-LRU cache size    48786, 18800000 req, miss ratio 0.1095, byte miss ratio 0.1095
result/io_traces.ns232.oracleGeneral.zst B-LRU cache size   162621, 18800000 req, miss ratio 0.1034, byte miss ratio 0.1034
result/io_traces.ns232.oracleGeneral.zst B-LRU cache size   325242, 18800000 req, miss ratio 0.1021, byte miss ratio 0.1021
result/io_traces.ns232.oracleGeneral.zst B-LRU cache size   650484, 18800000 req, miss ratio 0.1021, byte miss ratio 0.1021
result/io_traces.ns232.oracleGeneral.zst B-LRU cache size  1300969, 18800000 req, miss ratio 0.1021, byte miss ratio 0.1021
result/io_traces.ns232.oracleGeneral.zst TwoQ cache size     1626, 18800000 req, miss ratio 0.1176, byte miss ratio 0.1176
result/io_traces.ns232.oracleGeneral.zst TwoQ cache size     4878, 18800000 req, miss ratio 0.1160, byte miss ratio 0.1160
result/io_traces.ns232.oracleGeneral.zst TwoQ cache size    16262, 18800000 req, miss ratio 0.1109, byte miss ratio 0.1109
result/io_traces.ns232.oracleGeneral.zst TwoQ cache size    48786, 18800000 req, miss ratio 0.1098, byte miss ratio 0.1098
result/io_traces.ns232.oracleGeneral.zst TwoQ cache size   162621, 18800000 req, miss ratio 0.1039, byte miss ratio 0.1039
result/io_traces.ns232.oracleGeneral.zst TwoQ cache size   325242, 18800000 req, miss ratio 0.0996, byte miss ratio 0.0996
result/io_traces.ns232.oracleGeneral.zst TwoQ cache size   650484, 18800000 req, miss ratio 0.0945, byte miss ratio 0.0945
result/io_traces.ns232.oracleGeneral.zst TwoQ cache size  1300969, 18800000 req, miss ratio 0.0880, byte miss ratio 0.0880
result/io_traces.ns232.oracleGeneral.zst S3FIFO-d cache size     1626, 18800000 req, miss ratio 0.1164, byte miss ratio 0.1164
result/io_traces.ns232.oracleGeneral.zst S3FIFO-d cache size     4878, 18800000 req, miss ratio 0.1152, byte miss ratio 0.1152
result/io_traces.ns232.oracleGeneral.zst S3FIFO-d cache size    16262, 18800000 req, miss ratio 0.1100, byte miss ratio 0.1100
result/io_traces.ns232.oracleGeneral.zst S3FIFO-d cache size    48786, 18800000 req, miss ratio 0.1081, byte miss ratio 0.1081
result/io_traces.ns232.oracleGeneral.zst S3FIFO-d cache size   162621, 18800000 req, miss ratio 0.1013, byte miss ratio 0.1013
result/io_traces.ns232.oracleGeneral.zst S3FIFO-d cache size   325242, 18800000 req, miss ratio 0.0977, byte miss ratio 0.0977
result/io_traces.ns232.oracleGeneral.zst S3FIFO-d cache size   650484, 18800000 req, miss ratio 0.0928, byte miss ratio 0.0928
result/io_traces.ns232.oracleGeneral.zst S3FIFO-d cache size  1300969, 18800000 req, miss ratio 0.0871, byte miss ratio 0.0871
result/io_traces.ns232.oracleGeneral.zst S3FIFO cache size     1626, 18800000 req, miss ratio 0.1168, byte miss ratio 0.1168
result/io_traces.ns232.oracleGeneral.zst S3FIFO cache size     4878, 18800000 req, miss ratio 0.1152, byte miss ratio 0.1152
result/io_traces.ns232.oracleGeneral.zst S3FIFO cache size    16262, 18800000 req, miss ratio 0.1100, byte miss ratio 0.1100
result/io_traces.ns232.oracleGeneral.zst S3FIFO cache size    48786, 18800000 req, miss ratio 0.1081, byte miss ratio 0.1081
result/io_traces.ns232.oracleGeneral.zst S3FIFO cache size   162621, 18800000 req, miss ratio 0.1013, byte miss ratio 0.1013
result/io_traces.ns232.oracleGeneral.zst S3FIFO cache size   325242, 18800000 req, miss ratio 0.0977, byte miss ratio 0.0977
result/io_traces.ns232.oracleGeneral.zst S3FIFO cache size   650484, 18800000 req, miss ratio 0.0928, byte miss ratio 0.0928
result/io_traces.ns232.oracleGeneral.zst S3FIFO cache size  1300969, 18800000 req, miss ratio 0.0871, byte miss ratio 0.0871
result/io_traces.ns232.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1626, 18800000 req, miss ratio 0.1263, byte miss ratio 0.1263
result/io_traces.ns232.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4878, 18800000 req, miss ratio 0.1184, byte miss ratio 0.1184
result/io_traces.ns232.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    16262, 18800000 req, miss ratio 0.1114, byte miss ratio 0.1114
result/io_traces.ns232.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    48786, 18800000 req, miss ratio 0.1077, byte miss ratio 0.1077
result/io_traces.ns232.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   162621, 18800000 req, miss ratio 0.1024, byte miss ratio 0.1024
result/io_traces.ns232.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   325242, 18800000 req, miss ratio 0.0988, byte miss ratio 0.0988
result/io_traces.ns232.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   650484, 18800000 req, miss ratio 0.0923, byte miss ratio 0.0923
result/io_traces.ns232.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1300969, 18800000 req, miss ratio 0.0872, byte miss ratio 0.0872
result/io_traces.ns232.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1626, 18800000 req, miss ratio 0.1190, byte miss ratio 0.1190
result/io_traces.ns232.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4878, 18800000 req, miss ratio 0.1147, byte miss ratio 0.1147
result/io_traces.ns232.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    16262, 18800000 req, miss ratio 0.1114, byte miss ratio 0.1114
result/io_traces.ns232.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    48786, 18800000 req, miss ratio 0.1079, byte miss ratio 0.1079
result/io_traces.ns232.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   162621, 18800000 req, miss ratio 0.1025, byte miss ratio 0.1025
result/io_traces.ns232.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   325242, 18800000 req, miss ratio 0.0988, byte miss ratio 0.0988
result/io_traces.ns232.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   650484, 18800000 req, miss ratio 0.0930, byte miss ratio 0.0930
result/io_traces.ns232.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1300969, 18800000 req, miss ratio 0.0875, byte miss ratio 0.0875
