result/cdn2_colo28.ns36982.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      604, 4498598 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_colo28.ns36982.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1209, 4498598 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_colo28.ns36982.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2419, 4498598 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns36982.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4838, 4498598 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_colo28.ns36982.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size        6, 4498598 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns36982.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       18, 4498598 req, miss ratio 0.3107, byte miss ratio 0.3107
result/cdn2_colo28.ns36982.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       60, 4498598 req, miss ratio 0.0660, byte miss ratio 0.0660
result/cdn2_colo28.ns36982.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      181, 4498598 req, miss ratio 0.0144, byte miss ratio 0.0144
result/cdn2_colo28.ns36982.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      604, 4498598 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_colo28.ns36982.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1209, 4498598 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_colo28.ns36982.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2419, 4498598 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns36982.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4838, 4498598 req, miss ratio 0.0015, byte miss ratio 0.0015
