result/cdn1_sjc.ns349.oracleGeneral.bin.zst B-LRU cache size    12840, 5749960 req, miss ratio 0.0068, byte miss ratio 0.0068
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO-d cache size       16, 5749960 req, miss ratio 0.6573, byte miss ratio 0.6573
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO-d cache size       48, 5749960 req, miss ratio 0.5569, byte miss ratio 0.5569
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO-d cache size      160, 5749960 req, miss ratio 0.4847, byte miss ratio 0.4847
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO-d cache size      481, 5749960 req, miss ratio 0.4275, byte miss ratio 0.4275
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO-d cache size     1605, 5749960 req, miss ratio 0.3401, byte miss ratio 0.3401
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO-d cache size     3210, 5749960 req, miss ratio 0.2533, byte miss ratio 0.2533
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO-d cache size     6420, 5749960 req, miss ratio 0.1041, byte miss ratio 0.1041
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO-d cache size    12840, 5749960 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO cache size       16, 5749960 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO cache size       48, 5749960 req, miss ratio 0.6283, byte miss ratio 0.6283
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO cache size      160, 5749960 req, miss ratio 0.5162, byte miss ratio 0.5162
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO cache size      481, 5749960 req, miss ratio 0.4363, byte miss ratio 0.4363
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO cache size     1605, 5749960 req, miss ratio 0.3400, byte miss ratio 0.3400
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO cache size     3210, 5749960 req, miss ratio 0.2528, byte miss ratio 0.2528
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO cache size     6420, 5749960 req, miss ratio 0.1031, byte miss ratio 0.1031
result/cdn1_sjc.ns349.oracleGeneral.bin.zst S3FIFO cache size    12840, 5749960 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn1_sjc.ns349.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size       16, 5749960 req, miss ratio 1.0000, byte miss ratio 1.0000
