result/w90.oracleGeneral.bin.zst S3FIFO-d-1 cache size   472024, 4493515 req, miss ratio 0.1338, byte miss ratio 0.1338
result/w90.oracleGeneral.bin.zst LRB cache size      590, 4493515 req, miss ratio 0.8322, byte miss ratio 0.8322
result/w90.oracleGeneral.bin.zst LRB cache size     1770, 4493515 req, miss ratio 0.8033, byte miss ratio 0.8033
result/w90.oracleGeneral.bin.zst LRB cache size     5900, 4493515 req, miss ratio 0.7656, byte miss ratio 0.7656
result/w90.oracleGeneral.bin.zst LRB cache size    17700, 4493515 req, miss ratio 0.6554, byte miss ratio 0.6554
result/w90.oracleGeneral.bin.zst LRB cache size    59003, 4493515 req, miss ratio 0.4072, byte miss ratio 0.4072
result/w90.oracleGeneral.bin.zst LRB cache size   118006, 4493515 req, miss ratio 0.2896, byte miss ratio 0.2896
result/w90.oracleGeneral.bin.zst LRB cache size   236012, 4493515 req, miss ratio 0.2172, byte miss ratio 0.2172
result/w90.oracleGeneral.bin.zst LRB cache size   472024, 4493515 req, miss ratio 0.1339, byte miss ratio 0.1339
result/w90.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      590, 4493515 req, miss ratio 0.8320, byte miss ratio 0.8320
result/w90.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1770, 4493515 req, miss ratio 0.8126, byte miss ratio 0.8126
result/w90.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     5900, 4493515 req, miss ratio 0.7746, byte miss ratio 0.7746
result/w90.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    17700, 4493515 req, miss ratio 0.6324, byte miss ratio 0.6324
result/w90.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    59003, 4493515 req, miss ratio 0.3714, byte miss ratio 0.3714
result/w90.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   118006, 4493515 req, miss ratio 0.2765, byte miss ratio 0.2765
result/w90.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   236012, 4493515 req, miss ratio 0.1873, byte miss ratio 0.1873
result/w90.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   472024, 4493515 req, miss ratio 0.1484, byte miss ratio 0.1484
result/w90.oracleGeneral.bin.zst B-LRU cache size      590, 4493515 req, miss ratio 0.8343, byte miss ratio 0.8343
result/w90.oracleGeneral.bin.zst B-LRU cache size     1770, 4493515 req, miss ratio 0.8165, byte miss ratio 0.8165
result/w90.oracleGeneral.bin.zst B-LRU cache size     5900, 4493515 req, miss ratio 0.7850, byte miss ratio 0.7850
