result/w74.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    29676, 6343762 req, miss ratio 0.1569, byte miss ratio 0.1569
result/w74.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    59353, 6343762 req, miss ratio 0.1008, byte miss ratio 0.1008
result/w74.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   118707, 6343762 req, miss ratio 0.0599, byte miss ratio 0.0599
result/w74.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   237414, 6343762 req, miss ratio 0.0475, byte miss ratio 0.0475
result/w74.oracleGeneral.bin.zst S3FIFO-d cache size      296, 6343762 req, miss ratio 0.2484, byte miss ratio 0.2484
result/w74.oracleGeneral.bin.zst S3FIFO-d cache size      890, 6343762 req, miss ratio 0.2212, byte miss ratio 0.2212
result/w74.oracleGeneral.bin.zst S3FIFO-d cache size     2967, 6343762 req, miss ratio 0.1999, byte miss ratio 0.1999
result/w74.oracleGeneral.bin.zst S3FIFO-d cache size     8903, 6343762 req, miss ratio 0.1843, byte miss ratio 0.1843
result/w74.oracleGeneral.bin.zst S3FIFO-d cache size    29676, 6343762 req, miss ratio 0.1465, byte miss ratio 0.1465
result/w74.oracleGeneral.bin.zst S3FIFO-d cache size    59353, 6343762 req, miss ratio 0.1001, byte miss ratio 0.1001
result/w74.oracleGeneral.bin.zst S3FIFO-d cache size   118707, 6343762 req, miss ratio 0.0604, byte miss ratio 0.0604
result/w74.oracleGeneral.bin.zst S3FIFO-d cache size   237414, 6343762 req, miss ratio 0.0475, byte miss ratio 0.0475
result/w74.oracleGeneral.bin.zst S3FIFO cache size      296, 6343762 req, miss ratio 0.2483, byte miss ratio 0.2483
result/w74.oracleGeneral.bin.zst S3FIFO cache size      890, 6343762 req, miss ratio 0.2210, byte miss ratio 0.2210
result/w74.oracleGeneral.bin.zst S3FIFO cache size     2967, 6343762 req, miss ratio 0.1998, byte miss ratio 0.1998
result/w74.oracleGeneral.bin.zst S3FIFO cache size     8903, 6343762 req, miss ratio 0.1843, byte miss ratio 0.1843
result/w74.oracleGeneral.bin.zst S3FIFO cache size    29676, 6343762 req, miss ratio 0.1471, byte miss ratio 0.1471
result/w74.oracleGeneral.bin.zst S3FIFO cache size    59353, 6343762 req, miss ratio 0.0999, byte miss ratio 0.0999
result/w74.oracleGeneral.bin.zst S3FIFO cache size   118707, 6343762 req, miss ratio 0.0605, byte miss ratio 0.0605
result/w74.oracleGeneral.bin.zst S3FIFO cache size   237414, 6343762 req, miss ratio 0.0475, byte miss ratio 0.0475
result/w74.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      296, 6343762 req, miss ratio 0.2662, byte miss ratio 0.2662
result/w74.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      890, 6343762 req, miss ratio 0.2247, byte miss ratio 0.2247
result/w74.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     2967, 6343762 req, miss ratio 0.1978, byte miss ratio 0.1978
