result/tencentBlock.ns20699.oracleGeneral.zst B-LRU cache size  1367569, 26074680 req, miss ratio 0.2475, byte miss ratio 0.2475
result/tencentBlock.ns20699.oracleGeneral.zst B-LRU cache size  2735138, 26074680 req, miss ratio 0.2286, byte miss ratio 0.2286
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO cache size     3418, 26074680 req, miss ratio 0.5119, byte miss ratio 0.5119
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO cache size    10256, 26074680 req, miss ratio 0.4439, byte miss ratio 0.4439
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO cache size    34189, 26074680 req, miss ratio 0.3943, byte miss ratio 0.3943
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO cache size   102567, 26074680 req, miss ratio 0.3396, byte miss ratio 0.3396
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO cache size   341892, 26074680 req, miss ratio 0.2775, byte miss ratio 0.2775
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO cache size   683784, 26074680 req, miss ratio 0.2350, byte miss ratio 0.2350
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO cache size  1367569, 26074680 req, miss ratio 0.1823, byte miss ratio 0.1823
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO cache size  2735138, 26074680 req, miss ratio 0.1355, byte miss ratio 0.1355
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO-d cache size     3418, 26074680 req, miss ratio 0.5183, byte miss ratio 0.5183
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO-d cache size    10256, 26074680 req, miss ratio 0.4087, byte miss ratio 0.4087
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO-d cache size    34189, 26074680 req, miss ratio 0.3431, byte miss ratio 0.3431
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO-d cache size   102567, 26074680 req, miss ratio 0.3217, byte miss ratio 0.3217
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO-d cache size   341892, 26074680 req, miss ratio 0.2793, byte miss ratio 0.2793
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO-d cache size   683784, 26074680 req, miss ratio 0.2332, byte miss ratio 0.2332
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO-d cache size  1367569, 26074680 req, miss ratio 0.1904, byte miss ratio 0.1904
result/tencentBlock.ns20699.oracleGeneral.zst S3FIFO-d cache size  2735138, 26074680 req, miss ratio 0.1355, byte miss ratio 0.1355
result/tencentBlock.ns20699.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3418, 26074680 req, miss ratio 0.6403, byte miss ratio 0.6403
result/tencentBlock.ns20699.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    10256, 26074680 req, miss ratio 0.5968, byte miss ratio 0.5968
result/tencentBlock.ns20699.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    34189, 26074680 req, miss ratio 0.5617, byte miss ratio 0.5617
