result/tencentBlock.ns15458.oracleGeneral.zst S4LRU(25:25:25:25) cache size      914, 3994636 req, miss ratio 0.2484, byte miss ratio 0.2484
result/tencentBlock.ns15458.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3049, 3994636 req, miss ratio 0.2405, byte miss ratio 0.2405
result/tencentBlock.ns15458.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9148, 3994636 req, miss ratio 0.2209, byte miss ratio 0.2209
result/tencentBlock.ns15458.oracleGeneral.zst S4LRU(25:25:25:25) cache size    30493, 3994636 req, miss ratio 0.1954, byte miss ratio 0.1954
result/tencentBlock.ns15458.oracleGeneral.zst S4LRU(25:25:25:25) cache size    60987, 3994636 req, miss ratio 0.1652, byte miss ratio 0.1652
result/tencentBlock.ns15458.oracleGeneral.zst S4LRU(25:25:25:25) cache size   121974, 3994636 req, miss ratio 0.1204, byte miss ratio 0.1204
result/tencentBlock.ns15458.oracleGeneral.zst S4LRU(25:25:25:25) cache size   243949, 3994636 req, miss ratio 0.0792, byte miss ratio 0.0792
result/tencentBlock.ns15458.oracleGeneral.zst TwoQ cache size      304, 3994636 req, miss ratio 0.2731, byte miss ratio 0.2731
result/tencentBlock.ns15458.oracleGeneral.zst TwoQ cache size      914, 3994636 req, miss ratio 0.2448, byte miss ratio 0.2448
result/tencentBlock.ns15458.oracleGeneral.zst TwoQ cache size     3049, 3994636 req, miss ratio 0.2230, byte miss ratio 0.2230
result/tencentBlock.ns15458.oracleGeneral.zst TwoQ cache size     9148, 3994636 req, miss ratio 0.1981, byte miss ratio 0.1981
result/tencentBlock.ns15458.oracleGeneral.zst TwoQ cache size    30493, 3994636 req, miss ratio 0.1683, byte miss ratio 0.1683
result/tencentBlock.ns15458.oracleGeneral.zst TwoQ cache size    60987, 3994636 req, miss ratio 0.1374, byte miss ratio 0.1374
result/tencentBlock.ns15458.oracleGeneral.zst TwoQ cache size   121974, 3994636 req, miss ratio 0.1063, byte miss ratio 0.1063
result/tencentBlock.ns15458.oracleGeneral.zst TwoQ cache size   243949, 3994636 req, miss ratio 0.0854, byte miss ratio 0.0854
result/tencentBlock.ns15458.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      304, 3994636 req, miss ratio 0.2948, byte miss ratio 0.2948
result/tencentBlock.ns15458.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      914, 3994636 req, miss ratio 0.2592, byte miss ratio 0.2592
result/tencentBlock.ns15458.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3049, 3994636 req, miss ratio 0.2438, byte miss ratio 0.2438
result/tencentBlock.ns15458.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9148, 3994636 req, miss ratio 0.2231, byte miss ratio 0.2231
result/tencentBlock.ns15458.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    30493, 3994636 req, miss ratio 0.2016, byte miss ratio 0.2016
result/tencentBlock.ns15458.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    60987, 3994636 req, miss ratio 0.1830, byte miss ratio 0.1830
result/tencentBlock.ns15458.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   121974, 3994636 req, miss ratio 0.1400, byte miss ratio 0.1400
result/tencentBlock.ns15458.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   243949, 3994636 req, miss ratio 0.0821, byte miss ratio 0.0821
result/tencentBlock.ns15458.oracleGeneral.zst B-LRU cache size      304, 3994636 req, miss ratio 0.3132, byte miss ratio 0.3132
result/tencentBlock.ns15458.oracleGeneral.zst B-LRU cache size      914, 3994636 req, miss ratio 0.2851, byte miss ratio 0.2851
result/tencentBlock.ns15458.oracleGeneral.zst B-LRU cache size     3049, 3994636 req, miss ratio 0.2771, byte miss ratio 0.2771
result/tencentBlock.ns15458.oracleGeneral.zst B-LRU cache size     9148, 3994636 req, miss ratio 0.2505, byte miss ratio 0.2505
result/tencentBlock.ns15458.oracleGeneral.zst B-LRU cache size    30493, 3994636 req, miss ratio 0.2271, byte miss ratio 0.2271
result/tencentBlock.ns15458.oracleGeneral.zst B-LRU cache size    60987, 3994636 req, miss ratio 0.1980, byte miss ratio 0.1980
result/tencentBlock.ns15458.oracleGeneral.zst B-LRU cache size   121974, 3994636 req, miss ratio 0.1453, byte miss ratio 0.1453
result/tencentBlock.ns15458.oracleGeneral.zst B-LRU cache size   243949, 3994636 req, miss ratio 0.1382, byte miss ratio 0.1382
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO cache size      304, 3994636 req, miss ratio 0.2647, byte miss ratio 0.2647
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO cache size      914, 3994636 req, miss ratio 0.2453, byte miss ratio 0.2453
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO cache size     3049, 3994636 req, miss ratio 0.2240, byte miss ratio 0.2240
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO cache size     9148, 3994636 req, miss ratio 0.2106, byte miss ratio 0.2106
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO cache size    30493, 3994636 req, miss ratio 0.1736, byte miss ratio 0.1736
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO cache size    60987, 3994636 req, miss ratio 0.1509, byte miss ratio 0.1509
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO cache size   121974, 3994636 req, miss ratio 0.1058, byte miss ratio 0.1058
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO cache size   243949, 3994636 req, miss ratio 0.0796, byte miss ratio 0.0796
