result/tencentBlock.ns10534.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       87, 2140737 req, miss ratio 0.4509, byte miss ratio 0.4509
result/tencentBlock.ns10534.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      263, 2140737 req, miss ratio 0.2606, byte miss ratio 0.2606
result/tencentBlock.ns10534.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      879, 2140737 req, miss ratio 0.1774, byte miss ratio 0.1774
result/tencentBlock.ns10534.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2638, 2140737 req, miss ratio 0.1517, byte miss ratio 0.1517
result/tencentBlock.ns10534.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     8795, 2140737 req, miss ratio 0.1118, byte miss ratio 0.1118
result/tencentBlock.ns10534.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    17591, 2140737 req, miss ratio 0.0923, byte miss ratio 0.0923
result/tencentBlock.ns10534.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    35183, 2140737 req, miss ratio 0.0714, byte miss ratio 0.0714
result/tencentBlock.ns10534.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    70366, 2140737 req, miss ratio 0.0453, byte miss ratio 0.0453
result/tencentBlock.ns10534.oracleGeneral.zst S4LRU(25:25:25:25) cache size       87, 2140737 req, miss ratio 0.3231, byte miss ratio 0.3231
result/tencentBlock.ns10534.oracleGeneral.zst S4LRU(25:25:25:25) cache size      263, 2140737 req, miss ratio 0.2275, byte miss ratio 0.2275
result/tencentBlock.ns10534.oracleGeneral.zst S4LRU(25:25:25:25) cache size      879, 2140737 req, miss ratio 0.1660, byte miss ratio 0.1660
result/tencentBlock.ns10534.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2638, 2140737 req, miss ratio 0.1459, byte miss ratio 0.1459
result/tencentBlock.ns10534.oracleGeneral.zst S4LRU(25:25:25:25) cache size     8795, 2140737 req, miss ratio 0.1027, byte miss ratio 0.1027
result/tencentBlock.ns10534.oracleGeneral.zst S4LRU(25:25:25:25) cache size    17591, 2140737 req, miss ratio 0.0876, byte miss ratio 0.0876
result/tencentBlock.ns10534.oracleGeneral.zst S4LRU(25:25:25:25) cache size    35183, 2140737 req, miss ratio 0.0643, byte miss ratio 0.0643
result/tencentBlock.ns10534.oracleGeneral.zst S4LRU(25:25:25:25) cache size    70366, 2140737 req, miss ratio 0.0422, byte miss ratio 0.0422
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO-d cache size       87, 2140737 req, miss ratio 0.3127, byte miss ratio 0.3127
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO-d cache size      263, 2140737 req, miss ratio 0.2406, byte miss ratio 0.2406
